,dong,year,total,man,woman,age10,age20,age30,age40,age50,age60
0,원미동,2015,"127,594.05","64,337.61","63,256.44","8,544.60","14,684.72","24,688.96","29,600.13","31,843.45","18,232.18"
1,심곡동,2015,"273,141.94","134,791.07","138,350.86","18,250.83","50,146.39","53,130.49","53,791.98","60,506.62","37,315.62"
2,춘의동,2015,"102,012.09","59,290.92","42,721.17","4,541.21","11,199.32","21,458.21","26,985.16","25,854.78","11,973.41"
3,도당동,2015,"124,726.34","72,614.20","52,112.14","8,115.33","13,483.10","25,230.34","33,264.42","31,039.66","13,593.49"
4,약대동,2015,"67,105.85","39,298.69","27,807.15","3,571.50","7,339.50","14,741.41","17,901.70","16,578.10","6,973.64"
5,소사동,2015,"43,005.25","21,337.85","21,667.41","2,371.94","6,154.61","8,015.69","8,727.55","10,416.96","7,318.51"
6,역곡동,2015,"133,071.54","63,490.58","69,580.96","10,471.51","21,941.85","27,396.24","26,262.67","28,383.87","18,615.40"
7,중동,2015,"753,591.88","358,810.79","394,781.09","57,993.07","110,142.42","170,600.84","173,980.58","161,789.54","79,085.43"
8,상동,2015,"647,222.81","320,395.73","326,827.09","56,880.77","87,507.56","143,694.21","161,099.96","135,391.09","62,649.22"
9,소사본동,2015,"223,125.91","107,041.66","116,084.24","19,202.60","28,113.23","41,562.85","47,661.31","53,711.98","32,873.93"
10,심곡본동,2015,"178,940.67","84,578.15","94,362.52","13,545.98","30,313.01","34,136.05","35,169.68","39,276.46","26,499.49"
11,범박동,2015,"47,391.40","22,370.47","25,020.92","5,713.57","4,630.51","9,739.65","10,842.75","10,277.89","6,187.03"
12,괴안동,2015,"163,030.63","77,994.90","85,035.73","13,582.83","22,416.75","33,924.22","34,276.80","35,572.25","23,257.78"
13,송내동,2015,"189,722.28","92,554.88","97,167.40","16,344.16","25,088.44","38,754.84","42,013.08","42,754.81","24,766.94"
14,옥길동,2015,"15,890.44","8,224.64","7,665.80","1,361.60","1,543.07","3,282.47","3,626.68","3,740.09","2,336.54"
15,계수동,2015,"4,315.78","2,331.90","1,983.87",382.15,375.47,840.04,991.06,"1,086.94",640.12
16,오정동,2015,"118,829.20","70,900.53","47,928.67","7,710.66","13,519.15","25,618.95","31,044.49","28,237.67","12,698.28"
17,여월동,2015,"81,128.74","40,216.94","40,911.80","7,135.81","9,248.21","14,711.65","20,467.68","19,195.11","10,370.29"
18,작동,2015,"34,272.24","17,721.03","16,551.20","2,505.59","3,610.12","6,182.22","8,609.13","8,581.26","4,783.91"
19,원종동,2015,"200,725.17","98,285.33","102,439.83","18,231.34","24,484.33","35,651.74","48,400.79","47,786.49","26,170.48"
20,고강동,2015,"148,784.27","72,913.05","75,871.22","14,060.14","16,531.97","27,156.92","36,143.57","33,835.53","21,056.14"
21,원미동,2016,"130,598.64","62,126.03","68,472.60","9,375.70","15,144.46","23,345.52","28,059.44","32,871.67","21,801.85"
22,심곡동,2016,"284,508.61","137,190.93","147,317.69","20,425.53","48,362.24","51,329.31","54,913.19","64,569.77","44,908.58"
23,춘의동,2016,"81,836.23","44,893.18","36,943.05","4,270.46","8,938.13","15,883.34","20,218.73","21,152.81","11,372.76"
24,도당동,2016,"131,170.94","77,443.78","53,727.16","7,024.81","13,261.50","25,981.66","34,950.69","34,447.05","15,505.23"
25,약대동,2016,"58,825.37","33,444.59","25,380.78","3,508.51","6,175.67","12,185.16","14,998.69","14,911.66","7,045.68"
26,소사동,2016,"51,643.29","24,870.72","26,772.56","3,133.29","6,848.79","9,093.93","10,205.16","12,540.94","9,821.17"
27,역곡동,2016,"137,830.07","64,453.46","73,376.61","11,446.03","21,158.37","25,649.47","26,760.56","29,831.87","22,983.77"
28,중동,2016,"778,941.27","365,738.93","413,202.34","63,751.64","106,671.10","161,920.47","173,760.96","174,649.34","98,187.75"
29,상동,2016,"661,229.92","316,325.18","344,904.74","61,795.65","88,092.57","134,765.66","157,130.32","143,127.36","76,318.36"
30,소사본동,2016,"223,486.23","103,460.92","120,025.31","20,270.01","26,749.66","37,560.89","46,187.44","53,779.37","38,938.86"
31,심곡본동,2016,"174,500.33","80,799.03","93,701.31","14,213.88","25,339.47","30,526.68","34,209.98","39,582.77","30,627.56"
32,범박동,2016,"50,658.40","23,705.86","26,952.55","6,166.43","4,655.96","9,340.84","11,333.32","11,210.50","7,951.35"
33,괴안동,2016,"173,116.59","80,455.17","92,661.42","15,842.79","22,448.07","32,725.95","35,497.92","37,881.01","28,720.85"
34,송내동,2016,"202,197.46","96,168.25","106,029.21","17,499.46","25,618.20","38,690.63","43,610.62","46,256.14","30,522.40"
35,옥길동,2016,"16,587.44","8,362.27","8,225.17","1,571.49","1,560.42","3,109.52","3,664.82","3,846.39","2,834.80"
36,계수동,2016,"5,124.12","2,598.18","2,525.94",546.45,420.70,857.23,"1,118.68","1,250.81",930.25
