sido_code,sigungu_code,emd_code,week_type,FRIN_CG
31,31050,3105051,week,74.16
31,31050,3105052,week,64.88
31,31050,3105053,week,46.56
31,31050,3105054,week,41.03
31,31050,3105055,week,56.28
31,31050,3105056,week,47.5
31,31050,3105057,week,39.26
31,31050,3105058,week,52.11
31,31050,3105059,week,25.22
31,31050,3105060,week,79.39
31,31050,3105061,week,40.63
31,31050,3105062,week,39.63
31,31050,3105063,week,48.68
31,31050,3105064,week,30.35
31,31050,3105065,week,34.9
31,31050,3105066,week,40.1
31,31050,3105067,week,34.29
31,31050,3105068,week,39.08
31,31050,3105069,week,69.6
31,31050,3105070,week,45.85
31,31050,3105071,week,85.01
31,31050,3105072,week,89.22
31,31050,3105073,week,75.26
31,31050,3105074,week,73.87
31,31050,3105075,week,70.77
31,31050,3105076,week,45.28
31,31050,3105077,week,78.09
31,31050,3105078,week,20.47
31,31050,3105079,week,62.12
31,31050,3105080,week,60.35
31,31050,3105081,week,58.46
31,31050,3105082,week,28.92
31,31050,3105083,week,53.27
31,31050,3105084,week,18.36
31,31050,3105085,week,47.33
31,31050,3105086,week,60
