,이름,지번주소,위도,경도
0,클라비스음악학원,경기도 부천시 고강동 480-1번지 스카이빌딩 6층,37.52534205,126.815545
1,라무지카아카데미음악학원,경기도 부천시 고강동 337번지 가람 5동 201호,37.52393338,126.8135801
2,고강비젼스터디보습학원,경기도 부천시 고강동 347-4번지 3층 일부,37.52675787,126.8163446
3,아이빈음악학원,경기도 부천시 고강동 389-4번지 3층 일부,37.52647743,126.8214022
4,고강보습학원,경기도 부천시 고강동 370-9번지 부강빌딩 3층 일부,37.52720103,126.8174069
5,영웅음악학원,경기도 부천시 고강동 350-10번지 3층,37.52839825,126.8167139
6,은하수음악학원,경기도 부천시 고강동 246번지 2층,37.53045347,126.8231574
7,알찬보습학원,경기도 부천시 고강동 292-2번지 제일빌딩 2층 일부,37.52792206,126.811907
8,G(지)탑보습학원,경기도 부천시 고강동 347-1번지 4층,37.52714579,126.8166604
9,한맥보습학원,경기도 부천시 고강동 285-6번지 영용빌딩 3층 일부,37.52853181,126.8157067
10,마루사이버독서실,경기도 부천시 고강동 389-3번지 4층,37.52654009,126.8211305
11,잉글리쉬무무고강제2보습학원,경기도 부천시 고강동 312-1번지 3층,37.52823117,126.8136258
12,하버드플러스보습학원,경기도 부천시 고강동 347-1번지 3층,37.52714579,126.8166604
13,드림+(플러스)보습학원,경기도 부천시 고강동 285번지 가동 2층,37.52895471,126.8153549
14,최강단과보습학원,"경기도 부천시 고강동 377-2번지 2,3층",37.52728445,126.8189
15,바르톡음악학원,"경기도 부천시 고강동 377-25번지 2층, 3층",37.52712224,126.8188778
16,최강단과보습학원,"경기도 부천시 고강동 377-2번지 2,3층",37.52728445,126.8189
17,예일음악학원,경기도 부천시 고강동 318번지 제일시장 11동 2층,37.52839468,126.8144626
18,스터디클럽독서실,"경기도 부천시 고강동 294-4번지 201호,401호",37.52481294,126.8114625
19,고강e(이)해법수학영어보습학원,경기도 부천시 고강동 370-10번지 3층,37.5272547,126.8171579
20,뉴월광음악학원,경기도 부천시 고강동 385-26번지 2층,37.52628498,126.8192984
21,쌤즈잉글리쉬보습학원,경기도 부천시 고강동 382-1번지 보명빌딩 2층,37.52803306,126.8194073
22,해냄에듀뮤엠영어수학보습학원,경기도 부천시 고강동 312번지 정일빌딩 2층,37.52825896,126.8141009
23,부천오정청담에이프릴외국어학원,경기도 부천시 고강동 294-13번지 동방빌딩 201호,37.52453363,126.8114632
24,삼성영어고리울보습학원,경기도 부천시 고강동 325-9번지 2층 일부,37.52681806,126.8261867
25,부천오정와이즈만영재교육보습학원,"경기도 부천시 고강동 294-13번지 동방빌딩 201호 일부,202호",37.52453363,126.8114632
26,MTM(엠티엠)영수단과보습학원,경기도 부천시 고강동 376번지 2층 일 (우측),37.52681408,126.8177134
27,잉글리쉬무무고강보습학원,경기도 부천시 고강동 411-3번지 남평빌딩 3층,37.52742783,126.824262
28,푸르넷보습학원,경기도 부천시 고강동 363-7번지 1층~2층,37.52956456,126.8192904
29,메가플러스보습학원,경기도 부천시 고강동 294-13번지 동방빌딩 302호,37.52453363,126.8114632
30,원플러스보습학원,경기도 부천시 고강동 350-4번지 오성빌딩 3층 일부,37.52883911,126.8163168
31,비상보습학원,경기도 부천시 고강동 399번지 대현맨션 3층,37.52556744,126.8214044
32,그림뜰미술학원,경기도 부천시 고강동 321-2번지 2층,37.5280065,126.8139884
33,육영웅변학원,경기도 부천시 고강동 292번지 한일빌딩 3층 일부,37.52784026,126.811466
34,태멘음악학원,경기도 부천시 고강동 310번지 동호빌딩 4층,37.52794962,126.8122351
35,수주독서실,"경기도 부천시 고강동 312번지 정일빌딩 3층일부,4층",37.52825896,126.8141009
36,오렌지고강독서실,경기도 부천시 고강동 473-1번지 인일빌딩 3층,37.52719848,126.8157892
37,코너스톤어학원,경기도 부천시 고강동 377-4번지 2층일부. 3층,37.52684216,126.8183807
38,한사랑음악학원,경기도 부천시 고강동 398-7번지 성산영광타운 2층 일부,37.52583923,126.8223766
39,빨간펜수학의달인고리울수학교습소,경기도 부천시 고강동 325-9번지 103호,37.52681806,126.8261867
40,피아노치는아이들음악교습소,경기도 부천시 고강동 325-9번지 102호 일부,37.52681806,126.8261867
41,프리즘음악교습소,경기도 부천시 고강동 414번지 2층,37.52645482,126.8242983
42,링크잉글리쉬영어교습소,경기도 부천시 고강동 414-25번지 2층 일부,37.52556213,126.8238253
43,색연필미술교습소,경기도 부천시 고강동 411-3번지 남평빌딩 1층,37.52742783,126.824262
44,그림나무미술교습소,경기도 부천시 고강동 383번지 중원빌딩 1층 일부,37.52784363,126.8192607
45,차수학고리울수학교습소,경기도 부천시 고강동 414-25번지 2층 일부,37.52556213,126.8238253
46,잉글리쉬팩토리영어교습소,경기도 부천시 고강동 470-2번지 부일빌딩 3층 일부,37.52780978,126.8149279
47,정수바둑교습소,경기도 부천시 고강동 310-22번지 2층 일부,37.52781438,126.8121788
48,원리수학교습소,경기도 부천시 고강동 392-21번지 1층 일부,37.52844949,126.8206847
49,봄미술교습소,경기도 부천시 고강동 377-30번지 2층,37.52673434,126.8185733
50,수주해법영어교습소,경기도 부천시 고강동 359번지 2층,37.53011786,126.8216875
51,오늘의수학교습소,경기도 부천시 고강동 377-4번지 2층 일부,37.52684216,126.8183807
52,즐쌤의수학교습소,경기도 부천시 괴안동 170-5번지 1층 일부,37.48607035,126.8171243
53,블루미용학원,경기도 부천시 괴안동 115번지 하이트프라자 201호 일부,37.48312402,126.8114332
54,가온수학교습소,경기도 부천시 괴안동 99-1번지 신일해피트리아파트 101호,37.47951796,126.8101536
55,포네음악교습소,경기도 부천시 괴안동 159-2번지 제이팰리스 1층 102호,37.48168106,126.816208
56,비젼영어교습소,경기도 부천시 괴안동 204-5번지 삼익세라믹아파트 상가동 206호,37.47631542,126.8023273
57,연세수학교습소,경기도 부천시 괴안동 204-5번지 삼익세라믹아파트 상가동 206호 일부,37.47631542,126.8023273
58,스카이컴퓨터교습소,경기도 부천시 괴안동 155-8번지 5층 501호,37.47623442,126.8077653
59,지현음악교습소,경기도 부천시 괴안동 70-13번지 동구빌딩 2층 일부,37.47923285,126.8066269
60,글로리아뮤직(GloriaMusic)음악교습소,경기도 부천시 괴안동 99-1번지 신일해피트리아파트 상가 106호,37.47951796,126.8101536
61,송미주아트톡미술교습소,경기도 부천시 괴안동 164-6번지 염광아파트 2층 일부,37.47609429,126.8047698
62,지석영어교습소,경기도 부천시 괴안동 236-3번지 강남훼미리타운 1층일부,37.47459724,126.8039372
63,클라라음악교습소,경기도 부천시 괴안동 204-6번지 삼익세라믹아파트 상가동 201호,37.47559547,126.8028266
64,탑산소독서실,경기도 부천시 괴안동 109번지 세코프라자 301호,37.48295873,126.8095229
65,일심보습학원,"경기도 부천시 괴안동 173-3번지 3,4층",37.48240025,126.8096035
66,파고다주니어소사어학원,"경기도 부천시 괴안동 89번지 명성프라자 명성프라자 5층일부(501호,502호)",37.47890046,126.8072157
67,반석종로보습학원,경기도 부천시 괴안동 86-3번지 난곡빌딩 3층,37.47715293,126.8074576
68,예인음악학원,경기도 부천시 괴안동 173-3번지 봉봉빌딩 2층,37.48240025,126.8096035
69,지혜음악학원,경기도 부천시 괴안동 130-9번지 3층,37.48437338,126.8151611
70,명문음악학원,경기도 부천시 괴안동 119-9번지 노블하우스 202호,37.48123645,126.8142419
71,에덴피아노학원,경기도 부천시 괴안동 98-8번지 2층,37.47845606,126.8109364
72,글벗O2(오투)독서실,경기도 부천시 괴안동 28-2번지 기풍빌딩 5층 일부,37.47895739,126.8035412
73,창조미술학원,경기도 부천시 괴안동 182-20번지 덕림빌딩 1층,37.48512753,126.8191844
74,아인스보습학원,경기도 부천시 괴안동 125-5번지 인광빌딩 3층 전부,37.4829561,126.8134574
75,목동이현민수학보습학원,경기도 부천시 괴안동 70-13번지 동구빌딩 3층 일부,37.47923285,126.8066269
76,육영독서실,경기도 부천시 괴안동 126-7번지 부안빌딩 4층,37.48348715,126.8131282
77,역곡이용학원,경기도 부천시 괴안동 128번지 302호,37.48481946,126.8124012
78,해밀에듀수학학원,경기도 부천시 괴안동 107-14번지 우성빌딩 2층,37.48184276,126.8102946
79,공부의신보습학원,경기도 부천시 괴안동 100번지 2층,37.4800692,126.8111584
80,켈스러닝보습학원,경기도 부천시 괴안동 71-3번지 2층,37.47889995,126.8069104
81,으뜸보습학원,"경기도 부천시 괴안동 120-6번지 준영빌딩 3층,4층",37.48070539,126.8145711
82,예일음악학원,경기도 부천시 괴안동 175-13번지,37.48537737,126.8176235
83,문지기하모니카실용음악학원,경기도 부천시 괴안동 109-5번지 조양프라자 4층 전체,37.48334751,126.8103472
84,공부습관잡는보습학원,경기도 부천시 괴안동 118-33번지 대성빌딩 3층,37.48167745,126.8139355
85,웨슬리어학원,"경기도 부천시 괴안동 109번지 SECO프라자 202호,302호일부,502호",37.48295873,126.8095229
86,올뮤직실용음악학원,경기도 부천시 괴안동 109-20번지 2층,37.48267983,126.8097723
87,윤진음악학원,경기도 부천시 괴안동 168번지 2층 일부,37.48521085,126.8148764
88,스키마보습학원,"경기도 부천시 괴안동 28-5번지 2층 일부, 3층 일부",37.47890197,126.8027387
89,영어놀이터보습학원,경기도 부천시 괴안동 98-8번지 2층,37.47845606,126.8109364
90,엠베스트SE(에스이)소사본원보습학원,경기도 부천시 괴안동 30-3번지,37.47695447,126.8019412
91,스카이웰어학원,"경기도 부천시 괴안동 89-1번지 2층일부,3층일부",37.47892781,126.8074078
92,아이린보습학원,경기도 부천시 괴안동 28-3번지 태양빌딩 3층 일부 (서쪽),37.47892957,126.8030778
93,현대간호학원,경기도 부천시 괴안동 127-1번지 창성빌딩 4층 일부,37.4843427,126.8128773
94,예원미술학원,경기도 부천시 괴안동 204-5번지 삼익세라믹 상가 202호,37.47631542,126.8023273
95,탑플러스보습학원,경기도 부천시 괴안동 31-1번지 헌철빌딩 4층,37.47867875,126.8039376
96,이레음악학원,경기도 부천시 괴안동 100-26번지 2층 전체,37.47934832,126.8111037
97,퍼펙트보습학원,"경기도 부천시 괴안동 89번지 명성프라자 401호,402호",37.47890046,126.8072157
98,장학독서실,"경기도 부천시 괴안동 155-8번지 세경프라자 5층 502호일부,503,504호",37.47623442,126.8077653
99,SAM&apos;STOWN(쌤스타운)영수보습학원,경기도 부천시 괴안동 30-3번지 가산빌딩 3층 일부,37.47695447,126.8019412
100,찬양음악학원,경기도 부천시 괴안동 99-41번지 2층,37.48037523,126.8109654
101,예음나라음악학원,경기도 부천시 괴안동 71-1번지 3층,37.47887185,126.8062661
102,건설기술산업건축학원,경기도 부천시 괴안동 28-2번지 기풍빌딩 404호,37.47895739,126.8035412
103,건반사랑음악학원,경기도 부천시 괴안동 99-16번지 1층,37.47893353,126.8109012
104,비욘드잉글리쉬어학원,"경기도 부천시 괴안동 248-1번지 5층 501, 502호",37.48001208,126.8148555
105,엠씨독서실,경기도 부천시 괴안동 28-5번지 정석빌딩 3층 일부,37.47890197,126.8027387
106,영동보습학원,경기도 부천시 괴안동 108-4번지 3층,37.48301532,126.8110717
107,반석소사종로엠보습학원,경기도 부천시 괴안동 86-3번지 난곡빌딩 2층,37.47715293,126.8074576
108,목동본보습학원,경기도 부천시 괴안동 70-14번지 남인빌딩 4층,37.47925947,126.8063781
109,피카소미술학원,경기도 부천시 괴안동 70-13번지 동구빌딩 2층 일부,37.47923285,126.8066269
110,KSEM케이쌤보습학원,경기도 부천시 괴안동 183-12번지 2층,37.48476639,126.8187104
111,정직수학보습학원,경기도 부천시 괴안동 109-20번지 4층,37.48267983,126.8097723
112,현진무용학원,경기도 부천시 괴안동 126-1번지 대원빌딩 6층,37.48384742,126.8130482
113,아트앤하트영아트창작미술교습소,경기도 부천시 괴안동 99-1번지 신일해피트리아파트 105호,37.47951796,126.8101536
114,창의적표현미술교습소,경기도 부천시 내동 349-4번지 2층,37.52172621,126.7874322
115,JMJ(제이엠제이)보습학원,경기도 부천시 내동 32번지 3층,37.51773377,126.7725465
116,홀리스타실용음악학원,경기도 부천시 도당동 130-2번지 성남빌딩 2층,37.51953224,126.7949382
117,창조보습학원,경기도 부천시 도당동 40번지 2층,37.5182905,126.7858246
118,도움미술음악학원,경기도 부천시 도당동 43-2번지 4층,37.51940105,126.7870996
119,홍수학영어보습학원,경기도 부천시 도당동 108-1번지 2층 일부,37.51992394,126.7922675
120,and.sum(앤드썸)보습미술학원,경기도 부천시 도당동 131-2번지 대영빌딩 3층 일부,37.51992867,126.7949371
121,한가람보습학원,경기도 부천시 도당동 67-28번지 4층,37.51731596,126.7899673
122,and.sum(앤드썸)보습미술학원,경기도 부천시 도당동 131-2번지 대영빌딩 3층 일부,37.51992867,126.7949371
123,여월음악학원,경기도 부천시 도당동 131-2번지 대영빌딩 2층 일부,37.51992867,126.7949371
124,위즈덤플러스보습미술학원,"경기도 부천시 도당동 264-9번지 1층,2층",37.50603662,126.7855999
125,EDU.ING(에듀아이엔지)보습음악학원,경기도 부천시 도당동 44-2번지 2층 전체,37.51881555,126.7871804
126,EDU.ING(에듀아이엔지)보습음악학원,경기도 부천시 도당동 44-2번지 2층 전체,37.51881555,126.7871804
127,솔리데오음악학원,경기도 부천시 도당동 265-33번지 2층,37.50584696,126.7853517
128,아르떼음악학원,경기도 부천시 도당동 108-9번지 4층,37.51992346,126.7919961
129,도움미술음악학원,경기도 부천시 도당동 43-2번지 4층,37.51940105,126.7870996
130,쇼팽의아이들음악학원,경기도 부천시 도당동 116-6번지 중앙빌딩 3층 302호,37.52062021,126.7936796
131,여월이프렌드보습학원,경기도 부천시 도당동 131-2번지 대영빌딩 2층 일부,37.51992867,126.7949371
132,상아탑독서실,경기도 부천시 도당동 58-2번지 정남프라자 3층(301호)일부,37.51983777,126.7894398
133,성락속셈학원,경기도 부천시 도당동 266-4번지 성원아파트 2층 201호,37.50620365,126.7833488
134,그림나라미술학원,경기도 부천시 도당동 130-6번지 2층,37.51926194,126.794939
135,민족영재보습어학원,"경기도 부천시 도당동 43-2번지 2층,3층",37.51940105,126.7870996
136,도움미술음악학원,경기도 부천시 도당동 43-2번지 4층,37.51940105,126.7870996
137,애덤앤쌜리영어교습소,경기도 부천시 도당동 247-23번지 1층 일부,37.5072852,126.7787425
138,신흥이화피아노교습소,경기도 부천시 도당동 264-20번지,37.50667582,126.7853266
139,도당e(이)플러스영어교습소,경기도 부천시 도당동 58-7번지 3층,37.51995328,126.7885459
