,이름,지번주소,위도,경도,X좌표,Y좌표
0,명칭,경기도 부천시 원미구 소사동 1번지,37.4890357,126.7961195,,
1,부천수석박물관,경기도 부천시 원미구 춘의동 8번지  ,37.503069,126.7988742,,
2,부천펄벅기념관,경기도 부천시 소사구 심곡본동 566번지 9호  ,37.47555895,126.7817081,,
3,한국만화박물관,경기도 부천시 상동 529번지 2호  ,37.51194987,126.7465274,177525.4571,445566.1163
4,부천옹기박물관,경기도 부천시 여월동 318번지 0호  ,37.5125629,126.8026827,182479.0,445693.0
5,부천유럽자기박물관,경기도 부천시 춘의동 8번지 0호  ,37.503069,126.7988742,182093.0,444294.0
6,부천시립박물관,경기도 부천시 여월동 318번지 0호 부천시박물관 ,37.51374313,126.8017552,182479.0,445693.0
7,부천로보파크전시관,경기도 부천시 약대동 193번지 0호  1동 1호,37.5167348,126.7640774,179036.0,446027.0
8,부천수석박물관,경기도 부천시 원미구 춘의동 8번지,37.503069,126.7988742,,
9,부천활박물관,경기도 부천시 춘의동 8번지 0호  ,37.5031637,126.7960837,182093.0,444294.0
10,부천교육박물관,경기도 부천시 춘의동 8번지 0호  ,37.503069,126.7988742,182093.0,444294.0
