,이름,지번주소,위도,경도
0,부천 야구장,경기도 부천시 춘의동 48-25,37.5010914,126.7963577
1,까치울야구장,경기도 부천시 작동 60-8번지,37.507292,126.8192658
2,원미공원테니스장,경기도 부천시 원미동 14-1,37.4984234,126.7957657
3,시청 테니스장,경기도 부천시 중동 1156,37.5028451,126.7658519
4,소사1배수지테니스장,경기도 부천시 소사본동 297-5,37.4694617,126.8040412
5,종합운동장테니스장,경기도 부천시 춘의동 35,37.5042894,126.7960435
6,성주산 생활체육공원 테니스장,경기도 부천시 소사본동 1동 산70-4,37.4724626,126.7889076
7,복사공원테니스장,경기도 부천시 중동 1212,37.4927893,126.7746019
8,석천공원테니스장,경기도 부천시 상동 416번지,37.4955898,126.7602773
9,폐기물처리장내 테니스장,경기도 부천시 대장동 607,37.5418678,126.7662716
10,원미공원테니스장,경기도 부천시 원미동 14-1,37.4984234,126.7957657
11,석천공원테니스장,경기도 부천시 상동 416번지,37.4955898,126.7602773
12,폐기물처리장내 테니스장,경기도 부천시 대장동 607,37.5418678,126.7662716
13,복사공원테니스장,경기도 부천시 중동 1212,37.4927893,126.7746019
14,시청 테니스장,경기도 부천시 중동 1156,37.5028451,126.7658519
15,소사1배수지테니스장,경기도 부천시 소사본동 297-5,37.4694617,126.8040412
16,종합운동장테니스장,경기도 부천시 춘의동 35,37.5042894,126.7960435
17,성주산 생활체육공원 테니스장,경기도 부천시 소사본동 1동 산70-4,37.4724626,126.7889076
18,소사국민체육센터 수영장,경기도 부천시 소사본동 400-1번지,37.4683524,126.7981547
19,오정레포츠센터 수영장,경기도 부천시 오정동 782,37.5288411,126.7959079
20,부천 체육관,경기도 부천시 중동 1024번지,37.5135065,126.7626851
21,서촌 다목적체육관,경기도 부천시 상동 466번지,37.4882604,126.7496046
22,송내사회체육관,경기도 부천시 송내동 457번지,37.4819034,126.7690499
23,검도장,경기도 부천시 춘의동 8번지,37.503069,126.7988742
24,청지회에이스태권스쿨,경기도 부천시 중동 1186번지 건영2차상가 4층 ,37.494182,126.7680504
25,천마체대입시학원,경기도 부천시 상동 541-1번지 603호,37.5050636,126.7536872
26,복싱체육관,경기도 부천시 중동 1033번지 우신빌딩 403호,37.5051199,126.7635263
27,힘찬태권도장,경기도 부천시 삼정동 314-1번지,37.5160092,126.7706854
28,팀태권도,경기도 부천시 중동 5-19번지,37.5063186,126.7774108
29,해동검도장(검도),경기도 부천시 소사본동 400-2번지 복사골빌딩 302호,37.4677934,126.7979414
30,태풍체육관,경기도 부천시 심곡본동 657-6번지 ,37.4811215,126.779352
31,검도교실부천일검관,경기도 부천시 심곡동 160-2번지,37.4885924,126.7850737
32,인성체육관,경기도 부천시 소사본동 409-4번지 제일프라자 301호,37.4729577,126.8041336
33,준 복싱클럽,경기도 부천시 상동 545-2번지 맘모스빌딩 405호,37.50473172,126.7501371
34,경희대충무태권도체육관,경기도 부천시 소사본동 277-12번지 외7필지 한신아파트 상가 404호,37.4739604,126.8003778
35,경기태권도,경기도 부천시 오정동 574-8번지,37.5275885,126.785741
36,MTA태권도장,경기도 부천시 소사본동 244-84번지,37.4747085,126.8005227
37,연세태권도장,경기도 부천시 고강동 399번지 2층,37.5255674,126.8214043
38,TWT 더위닝팀,"경기도 부천시 상동 573-2번지 송림프라자 203,2호",37.49690383,126.7426322
39,연세송일태권도체육관,경기도 부천시 송내동 398-1번지,37.4827085,126.7616644
40,부천시청역PT MS24GYM,경기도 부천시 중동 1033 지하층 101일부호,37.50519187,126.7635821
41,용인대황룡태권도,경기도 부천시 중동 1039-1번지 은하마을주공@상가동 지층1호,37.5074788,126.7671605
42,충호태권도장,경기도 부천시 오정동 571-3 2층 ,37.52658362,126.7860629
43,연세대태권도스포츠YTS본관,경기도 부천시 역곡동 109-19번지 은하빌딩 2층,37.4878214,126.8134564
44,한국체대 백두산태권도장,경기도 부천시 여월동 335번지 206호,37.51128989,126.8064638
45,나토얀태권도,경기도 부천시 원종동 134-7번지 3층,37.5267553,126.8037421
46,용인대 태권도,경기도 부천시 오정동 543번지 401호,37.529482,126.7865161
47,태비태권도,경기도 부천시 중동 1030-4번지 지하1층 ,37.50845249,126.7603367
48,박용호 트레이닝 연구소,경기도 부천시 상동 543-1번지 승재밀레니엄오피스텔 ,37.50398231,126.7536343
49,부천정도태권도,경기도 부천시 송내동 428-20번지,37.4803701,126.7637183
50,역곡경희대태권도체육관,경기도 부천시 역곡동 99-10번지 2층호,37.4900677,126.8096515
51,한국태권도장,경기도 부천시 오정동 140-80번지,37.5229217,126.7959582
