업종명,신고일자,업소명,영업소 주소(도로명),우편번호(도로명),객실 수,소재지 전화,책임동명(광역동)
숙박업(일반),1971-08-12,신신모텔,경기도 부천시 경인로234번길 19 (심곡본동),14713,12, 032- 651-6342,대산동
숙박업(일반),1980-06-05,동성여인숙,경기도 부천시 경인옛로22번길 4 (소사본동),14704,6, 032- 346-9955,소사본동
숙박업(일반),1980-09-17,38리빙텔,경기도 부천시 부일로496번길 18 (심곡동),14644,17,    - 613-2266,심곡동
숙박업(일반),1980-05-27,안성여인숙,경기도 부천시 부일로 440-11 (심곡동),14636,10,    - 668-4420,심곡동
숙박업(일반),1981-10-22,경인장여관,경기도 부천시 경인로194번길 17 (심곡본동),14712,16,--,대산동
숙박업(일반),1981-06-26,썸모텔,경기도 부천시 부일로 465-2 (심곡동),14634,38,    - 652-6401,심곡동
숙박업(일반),1981-12-22,반도장여관,경기도 부천시 조마루로386번길 24 (원미동),14566,19,    - 667-2811,부천동
숙박업(일반),1982-11-17,광명여관,경기도 부천시 경인로194번길 22 (심곡본동),14712,14, 032- 655-5431,대산동
숙박업(일반),1982-11-17,약대모텔,"경기도 부천시 수도로74번길 7, 가동 2-3층 (도당동)",14517,19,    - 675-9865,신중동
숙박업(일반),1982-12-13,보림장여관,경기도 부천시 부천로90번길 50 (원미동),14572,12,032 -652 -8805,심곡동
숙박업(일반),1983-08-26,부천여관,경기도 부천시 부천로10번길 54 (심곡동),14643,11, 032- 655-5487,심곡동
숙박업(일반),1984-03-29,목화여인숙,"경기도 부천시 부일로496번길 19 (심곡동, 지상2,3층)",14643,13,    - 667-5419,심곡동
숙박업(일반),1984-01-09,덕수장여관,경기도 부천시 부천로275번길 46 (도당동),14525,10,    - 675-3354,부천동
숙박업(일반),1984-04-26,수모텔,경기도 부천시 장말로372번길 11 (심곡동),14633,24,    - 655-2735,심곡동
숙박업(일반),1985-09-18,산장여관,경기도 부천시 하우로 327-8 (심곡본동),14750,18,032 -233 -4242,대산동
숙박업(일반),1985-08-02,명성여인숙,경기도 부천시 부일로 444-14 (심곡동),14636,10,    - 653-3969,심곡동
숙박업(일반),1986-11-17,금마차여관,경기도 부천시 호현로497번길 13 (소사본동),14754,23, 032- 347-4343,소사본동
숙박업(일반),1986-01-07,킹모텔,경기도 부천시 부천로9번길 42 (심곡동),14637,14,    - 651-3128,심곡동
숙박업(일반),1986-12-30,문화장여관,경기도 부천시 부천로6번길 35 (심곡동),14644,16,    - 668-2907,심곡동
숙박업(일반),1987-01-24,둥지여관,경기도 부천시 자유로 77 (심곡본동),14710,10, 032- 654-5070,대산동
숙박업(일반),1988-01-12,대우여인숙,경기도 부천시 경인옛로22번길 8 (소사본동),14704,16,--,소사본동
숙박업(일반),1988-08-09,라인모텔,경기도 부천시 소사로776번길 60 (원종동),14420,16, 032- 683-7669,오정동
숙박업(일반),1988-09-21,정원장여관,경기도 부천시 소사로748번길 9 (원종동),14424,19,032 - 672-5021,오정동
숙박업(일반),1988-01-07,파비아관광호텔,"경기도 부천시 부일로 510, 3-5층 (심곡동)",14643,50,032 -614 -7500,심곡동
숙박업(일반),1988-05-04,서울여인숙,경기도 부천시 부일로 482-2 (심곡동),14644,7,    - 613-0725,심곡동
숙박업(일반),1988-06-22,가나여인숙,경기도 부천시 부일로 444 (심곡동),14636,16,    - 662-3198,심곡동
숙박업(일반),1988-08-19,용궁여인숙,경기도 부천시 신흥로22번길 56 (심곡동),14636,17,    - 652-2380,심곡동
숙박업(일반),1988-08-20,송도여인숙,경기도 부천시 신흥로16번길 59 (심곡동),14636,17,    - 651-9563,심곡동
숙박업(일반),1988-08-06,성호모텔,경기도 부천시 부일로 748 (역곡동),14674,38,    - 341-5226,부천동
숙박업(일반),1988-11-26,조이텔모텔,경기도 부천시 역곡로1번길 16 (역곡동),14673,17,    - 345-4960,부천동
숙박업(일반),1988-01-12,레드모텔,경기도 부천시 부천로53번길 23 (심곡동),14633,26,    - 656-9889,심곡동
숙박업(일반),1988-03-03,행운장,경기도 부천시 신흥로22번길 55 (심곡동),14636,18,    - 663-1385,심곡동
숙박업(일반),1988-10-13,초콜릿모텔,"경기도 부천시 부천로23번길 27 (심곡동,,12)",14635,18,    - 652-5593,심곡동
숙박업(일반),1989-04-01,솔뫼여인숙,경기도 부천시 자유로 77-2 (심곡본동),14710,5,--,대산동
숙박업(일반),1989-03-11,모텔블리스,경기도 부천시 원미로13번길 39 (심곡동),14643,21,    - 653-1493,심곡동
숙박업(일반),1990-09-28,황금,경기도 부천시 자유로 79 (심곡본동),14710,16, 032- 664-8537,대산동
숙박업(일반),1990-06-09,솜사탕,경기도 부천시 부광로7번길 17 (괴안동),14676,28,032 -343 -3311,범안동
숙박업(일반),1990-08-23,에이모텔(A모텔),경기도 부천시 원종로80번길 30-2 (원종동),14424,19, 032- 684-5319,오정동
숙박업(일반),1990-04-21,대진여관,경기도 부천시 신흥로22번길 36 (심곡동),14636,14,032 -655 -8770,심곡동
숙박업(일반),1990-10-18,그린파크여관,경기도 부천시 원미로 16 (심곡동),14650,27,    - 657-6633,심곡동
숙박업(일반),1990-12-27,리베라여관,경기도 부천시 원미로13번길 32 (심곡동),14643,30,    - 663-7440,심곡동
숙박업(일반),1991-11-29,오렌지모텔,경기도 부천시 경인로526번길 16 (괴안동),14676,19, 032- 343-4073,범안동
숙박업(일반),1991-09-12,수모텔,경기도 부천시 소사로247번길 16 (소사본동),14704,30, 032- 349-9494,소사본동
숙박업(일반),1991-12-28,쉴모텔,"경기도 부천시 원종로71번길 21 (원종동,,2)",14420,30, 032- 679-0303,오정동
숙박업(일반),1993-10-18,알브호텔,경기도 부천시 소사로776번길 64 (원종동),14420,40,032 - 684-4180,오정동
숙박업(일반),1993-01-13,홍성여인숙,경기도 부천시 부일로 444-16 (심곡동),14636,10,032 -656 -4660,심곡동
숙박업(일반),1994-09-16,구억장여관,경기도 부천시 부천로2번길 43 (심곡동),14643,15,    - 665-6336,심곡동
숙박업(일반),1995-10-31,S(에스)모텔,"경기도 부천시 원종로71번길 6 (원종동,,10)",14420,28,032 - 675-9575,오정동
숙박업(일반),1995-08-14,초콜릿,경기도 부천시 부일로750번길 29 (역곡동),14674,26,032 - 348-0235,부천동
숙박업(일반),1995-12-27,어썸모텔,경기도 부천시 부일로506번길 33 (심곡동),14643,32,032 -611 -1347,심곡동
숙박업(일반),1995-09-22,자바모텔,"경기도 부천시 부천로2번길 47 (심곡동,, 12)",14643,28,    - 666-7564,심곡동
숙박업(일반),1995-12-27,M7,경기도 부천시 부일로506번길 29 (심곡동),14643,31,    - 613-4046,심곡동
숙박업(일반),1996-09-11,코펜하겐모텔,경기도 부천시 성주로269번길 38 (심곡본동),14711,32,032 -664 -5025,대산동
숙박업(일반),1996-12-19,뉴월드파크여관,경기도 부천시 원미로31번길 33 (심곡동),14642,26,    - 666-4347,심곡동
숙박업(일반),1997-02-13,헤라,경기도 부천시 원종로65번길 23 (원종동),14420,32, 032- 672-8861,오정동
숙박업(일반),1997-07-31,돈키호텔,경기도 부천시 원종로65번길 19 (원종동),14420,28,032 - 677-2185,오정동
숙박업(일반),1997-08-18,카스바여관,경기도 부천시 원종로65번길 8 (원종동),14420,32,032 -676 -1217,오정동
숙박업(일반),1997-10-27,하트모텔,경기도 부천시 원종로71번길 17 (원종동),14420,45,032 - 675-1900,오정동
숙박업(일반),1997-12-01,오페라여관,경기도 부천시 원종로65번길 14 (원종동),14420,28,032 - 673-9045,오정동
숙박업(일반),1997-12-01,크리스탈여관,경기도 부천시 원종로71번길 9 (원종동),14420,35,032 - 673-5333,오정동
숙박업(일반),1997-10-02,돈키호텔,"경기도 부천시 부일로432번길 36 (심곡동,, 16)",14636,32,032 - 657-4520,심곡동
숙박업(일반),1998-04-01,리베라여관,경기도 부천시 소사로748번길 21 (원종동),14424,28,032 - 684-6550,오정동
숙박업(일반),1998-01-19,젠투(젠2)모텔,경기도 부천시 신흥로22번길 10 (심곡동),14636,34,    - 651-7691,심곡동
숙박업(일반),1998-07-09,로주모텔,경기도 부천시 상일로122번길 24 (상동),14623,21,    - 322-9891,중동
숙박업(일반),1999-06-21,헤라모텔,경기도 부천시 심곡로9번길 23 (심곡본동),14711,37, 032- 664-2213,대산동
숙박업(일반),1999-09-14,리젠트모텔,경기도 부천시 경인로324번길 9 (소사본동),14754,20, 032-351 -2124,소사본동
숙박업(일반),1999-11-25,프린스여관,경기도 부천시 원종로79번길 21 (원종동),14420,50,032 - 672-4545,오정동
숙박업(일반),1999-06-29,천안여인숙,경기도 부천시 신흥로26번길 50 (심곡동),14636,15,032 -651 -1488,심곡동
숙박업(일반),1999-07-01,금풍여인숙,경기도 부천시 부천로6번길 19 (심곡동),14644,10,    - 655-0806,심곡동
숙박업(일반),1999-10-27,삼성여인숙,경기도 부천시 부일로 526-1 (심곡동),14643,19,    - 651-5037,심곡동
숙박업(일반),1999-10-04,리치모텔,경기도 부천시 역곡로1번길 24 (역곡동),14673,19,    - 341-7887,부천동
숙박업(일반),1999-10-13,힐탑모텔,경기도 부천시 장말로 370 (심곡동),14633,24,032 -655 -0871,심곡동
숙박업(일반),2000-09-05,제이(J)모텔,경기도 부천시 경인로497번길 14 (괴안동),14676,19, 032- 343-1514,범안동
숙박업(일반),2000-09-05,엠모텔,경기도 부천시 경인로348번길 14 (소사본동),14704,28, 032- 345-8801,소사본동
숙박업(일반),2000-12-14,태평장여관,경기도 부천시 자유로 66-1 (심곡본동),14710,15,032 -344 -6969,대산동
숙박업(일반),2000-12-28,로망스,경기도 부천시 경인로 200-7 (심곡본동),14711,38, 032- 612-3135,대산동
숙박업(일반),2000-10-02,노블레스,경기도 부천시 부천로1번길 40 (심곡동),14637,13,032 -661 -9643,심곡동
숙박업(일반),2000-11-14,부림여인숙,경기도 부천시 부일로 430-6 (심곡동),14636,12,    - 656-0504,심곡동
숙박업(일반),2000-01-21,에이플러스(A+),경기도 부천시 부일로233번길 43 (상동),14623,45,    - 326-5306,중동
숙박업(일반),2000-05-15,오투모텔(O2모텔),경기도 부천시 원미로 21-1 (심곡동),14643,29,    - 667-2005,심곡동
숙박업(일반),2000-07-13,모리호텔,경기도 부천시 부흥로307번길 46 (중동),14582,32,    - 325-5800,신중동
숙박업(일반),2000-07-27,호텔(Hotel)요기,경기도 부천시 부일로233번길 21 (상동),14623,20,    - 325-2272,중동
숙박업(일반),2000-08-01,오렌지호텔,경기도 부천시 신흥로22번길 44 (심곡동),14636,26,032 - 663-8977,심곡동
숙박업(일반),2000-09-29,린모텔,경기도 부천시 부일로750번길 31 (역곡동),14674,19,    - 344-6852,부천동
숙박업(일반),2000-10-02,유앤미,경기도 부천시 부천로6번길 30 (심곡동),14644,33,    - 667-9141,심곡동
숙박업(일반),2000-10-02,귀빈장여관,"경기도 부천시 장말로372번길 31 (심곡동, 지상 2, 3, 4층)",14633,13,--,심곡동
숙박업(일반),2000-10-26,Q모텔,경기도 부천시 역곡로2번길 13 (역곡동),14674,24,    - 344-7900,부천동
숙박업(일반),2000-11-14,더 플레이,경기도 부천시 원미로13번길 35 (심곡동),14643,36,    - 666-2308,심곡동
숙박업(일반),2000-12-06,에이플러스호텔,경기도 부천시 원미로13번길 33 (심곡동),14643,36,032 -612 -8758,심곡동
숙박업(일반),2000-12-07,가자,경기도 부천시 부천로10번길 53 (심곡동),14643,20,    - 654-8382,심곡동
숙박업(일반),2001-03-23,오성장여관,경기도 부천시 심곡로10번길 14 (심곡본동),14725,20, 032-612 -5533,대산동
숙박업(일반),2001-05-16,호텔야자 역곡역점,경기도 부천시 경인로497번길 12 (괴안동),14676,30,032 -344 -8866,범안동
숙박업(일반),2001-06-23,세종장여관,경기도 부천시 경인로324번길 14 (소사본동),14754,15, 032- 347-4949,소사본동
숙박업(일반),2001-06-01,이화여인숙,경기도 부천시 경인로216번길 79 (심곡본동),14717,16, 032- 662-5167,대산동
숙박업(일반),2001-09-28,썸모텔,경기도 부천시 부광로7번길 15 (괴안동),14676,32, 032- 345-3955,범안동
숙박업(일반),2001-09-26,리버모텔,경기도 부천시 원종로65번길 22 (원종동),14420,18,032 - 673-1741,오정동
숙박업(일반),2001-10-26,핑크모텔,경기도 부천시 원종로71번길 16 (원종동),14420,18,032 - 673-7832,오정동
숙박업(일반),2001-08-17,호텔시티(HOTEL. CT),경기도 부천시 석천로178번길 12 (중동),14547,45,    - 327-4277,신중동
숙박업(일반),2001-03-17,홍능장여관,경기도 부천시 부일로 428-14 (심곡동),14636,19,    - 664-2935,심곡동
숙박업(일반),2001-08-30,부흥여인숙,경기도 부천시 부천로6번길 20 (심곡동),14644,15,    - 652-6151,심곡동
숙박업(일반),2001-02-22,알프스모텔,"경기도 부천시 부일로199번길 56 (상동,, 406 - 1)",14598,31,    - 324-2929,상동
숙박업(일반),2001-03-17,명동장여관,경기도 부천시 신흥로22번길 45-2 (심곡동),14636,16,    - 651-1221,심곡동
숙박업(일반),2001-03-19,돈키호텔2,경기도 부천시 부천로6번길 58 (심곡동),14643,37,    - 611-7711,심곡동
숙박업(일반),2001-05-07,카카오호텔,"경기도 부천시 부천로29번길 22 (심곡동,, 13)",14634,36,032 - 651-2922,심곡동
숙박업(일반),2001-06-15,호텔벤,경기도 부천시 부일로506번길 30 (심곡동),14643,24,    - 651-0332,심곡동
숙박업(일반),2001-06-21,필모텔,경기도 부천시 역곡로1번길 12 (역곡동),14673,18,    - 349-3358,부천동
숙박업(일반),2001-08-30,고궁여관,경기도 부천시 부일로496번길 29 (심곡동),14643,17,    - 668-4891,심곡동
숙박업(일반),2001-10-26,파라오여관,경기도 부천시 상일로122번길 20 (상동),14623,20,    - 325-9280,중동
숙박업(일반),2001-10-26,골든파크여관,경기도 부천시 부천로6번길 57 (심곡동),14643,26,    - 664-5987,심곡동
숙박업(일반),2001-10-26,밀라노여관,경기도 부천시 부일로518번길 20 (심곡동),14643,21,    - 663-6976,심곡동
숙박업(일반),2001-12-18,레드모텔(RED),경기도 부천시 부일로432번길 20 (심곡동),14636,32,    - 664-8006,심곡동
숙박업(일반),2001-12-21,쥬쥬호텔,경기도 부천시 역곡로1번길 20 (역곡동),14673,30,    - 347-1228,부천동
숙박업(일반),2002-08-21,카라모텔,경기도 부천시 경인로182번길 9 (심곡본동),14725,32, 032- 665-8301,대산동
숙박업(일반),2002-09-10,티파니모텔,경기도 부천시 심곡로9번길 31 (심곡본동),14711,18, 032- 611-3609,대산동
숙박업(일반),2002-09-10,한진장여관,경기도 부천시 호현로497번길 15 (소사본동),14754,12, 032- 346-1443,소사본동
숙박업(일반),2002-09-10,로즈모텔,경기도 부천시 성주로269번길 44 (심곡본동),14711,8, 032- 656-8935,대산동
