명 칭,시 설 명,주요시설,위 치,홈페이지주소 (상세내용 안내)
종합운동장,주경기장,"육상, 축구, 인라인스케이트",경기도 부천시 소사로 482 (춘의동),http://www.best.or.kr/subpage/index/32
종합운동장,주경기장,"각종 강습프로그램, 일반 행사",경기도 부천시 소사로 482(춘의동),http://www.best.or.kr/subpage/index/32
종합운동장,체력단련장,"각종 강습프로그램, 일반 행사",경기도 부천시 소사로 482 (춘의동),http://www.best.or.kr/subpage/index/32
종합운동장,보조경기장,"육상, 축구, 일반 행사",경기도 부천시 소사로 482 (춘의동),http://www.best.or.kr/subpage/index/32
종합운동장,야구장,"야구, 일반 행사",경기도 부천시 소사로 482 (춘의동),http://www.best.or.kr/subpage/index/32
종합운동장,궁도장,"궁도, 체육행사, 일반 행사",경기도 부천시 소사로 482 (춘의동),http://www.best.or.kr/subpage/index/32
종합운동장,인공암벽,암벽,경기도 부천시 소사로 482 (춘의동),http://www.best.or.kr/subpage/index/32
종합운동장,테니스장,테니스,경기도 부천시 소사로 482 (춘의동),http://www.best.or.kr/subpage/index/32
부천체육관,체육관,"농구, 배구, 배드민턴, 핸드볼",경기도 부천시 석천로 293(중동),http://www.best.or.kr/subpage/index/35
부천체육관,체육관,"각종 강습프로그램, 일반 행사",경기도 부천시 석천로 293(중동),http://www.best.or.kr/subpage/index/35
부천체육관,체력단련장,"각종 강습프로그램, 일반 행사",경기도 부천시 석천로 293(중동),http://www.best.or.kr/subpage/index/35
부천체육관,인조잔디구장,"축구, 배구, 족구, 농구, 일반 행사",경기도 부천시 석천로 293(중동),http://www.best.or.kr/subpage/index/35
부천체육관,테니스장,테니스,경기도 부천시 석천로 293(중동),http://www.best.or.kr/subpage/index/35
소사국민체육센터,체육관,"농구, 배드민턴, 탁구",경기도 부천시 소사로 108 (소사본동),http://www.best.or.kr/subpage/index/28
소사국민체육센터,체육관,"각종 강습 프로그램, 일반 행사",경기도 부천시 소사로 108 (소사본동),http://www.best.or.kr/subpage/index/28
소사국민체육센터,체력단련장,"각종 강습프로그램, 일반 행사",경기도 부천시 소사로 108 (소사본동),http://www.best.or.kr/subpage/index/28
소사국민체육센터,수영장,"수영, 각종 강습프로그램",경기도 부천시 소사로 108 (소사본동),http://www.best.or.kr/subpage/index/28
소사국민체육센터,수영장,일반 행사,경기도 부천시 소사로 108 (소사본동),http://www.best.or.kr/subpage/index/28
오정레포츠센터,체육관,"농구, 배드민턴, 탁구",경기도 부천시 상오정로 169 (오정동),http://www.best.or.kr/subpage/index/100005
오정레포츠센터,체육관,"각종 강습 프로그램, 일반 행사",경기도 부천시 상오정로 169 (오정동),http://www.best.or.kr/subpage/index/100005
오정레포츠센터,체력단련장,"각종 강습 프로그램, 일반 행사",경기도 부천시 상오정로 169 (오정동),http://www.best.or.kr/subpage/index/100005
오정레포츠센터,수영장,"수영, 각종 강습프로그램",경기도 부천시 상오정로 169 (오정동),http://www.best.or.kr/subpage/index/100005
오정레포츠센터,수영장,일반 행사,경기도 부천시 상오정로 169 (오정동),http://www.best.or.kr/subpage/index/100005
송내사회체육관,체육관,"배드민턴, 탁구, 농구",경기도 부천시 경인로120번길 45 (송내동),https://snsports.bucheon.go.kr
송내사회체육관,체육관,"각종 강습프로그램, 일반 행사",경기도 부천시 경인로120번길 45 (송내동),https://snsports.bucheon.go.kr
송내사회체육관,체력단련장,"각종 강습프로그램, 일반 행사",경기도 부천시 경인로120번길 45 (송내동),https://snsports.bucheon.go.kr
서촌다목적체육관,체육관,"배드민턴, 탁구, 에어로빅",경기도 부천시 부일로 172(송내동) ,http://www.best.or.kr/subpage/index/38
서촌다목적체육관,체육관,"각종 강습프로그램, 일반 행사",경기도 부천시 부일로 172(송내동) ,http://www.best.or.kr/subpage/index/38
부천배드민턴 전용체육관,체육관,"배드민턴, 일반 행사",경기도 부천시 은성로 2번길 2 (소사본동),http://www.best.or.kr/subpage/index/186
테니스장,원미테니스장,테니스,경기도 부천시 소사로 457 (원미동),http://bcsports.bucheon.go.kr/site/main/index117
테니스장,복사골테니스장,테니스,경기도 부천시 장말로293번길 45 (중동),http://bcsports.bucheon.go.kr/site/main/index117
테니스장,제1배수지 테니스장,테니스,경기도 부천시 소사동로72번길 80 (소사본동),http://bcsports.bucheon.go.kr/site/main/index117
성무정,주경기장,"궁도, 일반행사",경기도 부천시 성무로 43 (심곡본동),http://bcsports.bucheon.go.kr/site/main/index117
원미운동장,주경기장,"육상, 축구, 농구, 족구, 배구",경기도 부천시 소사로 457 (원미동),http://www.best.or.kr/subpage/index/211
원미운동장,주경기장,일반 행사,경기도 부천시 소사로 457 (원미동),http://www.best.or.kr/subpage/index/211
성주산생활체육공원,인조잔디구장,"육상, 축구, 족구, 농구 ",경기도 부천시호현로387번길 38-1(소사본동),http://www.best.or.kr/subpage/index/194
성주산생활체육공원,인조잔디구장,인라인트랙,경기도 부천시호현로387번길 38-1(소사본동),http://www.best.or.kr/subpage/index/194
성주산생활체육공원,테니스장,테니스,경기도 부천시호현로387번길 38-1(소사본동),http://www.best.or.kr/subpage/index/194
북부수자원생태공원,인조잔디구장,축구 ,경기도 부천시 벌말로 220(대장동),http://bcsports.bucheon.go.kr/site/main/index117
북부수자원생태공원,독고탁야구장,야구,경기도 부천시 벌말로 220(대장동),http://bcsports.bucheon.go.kr/site/main/index117
남부수자원생태공원,천연잔디구장,"축구, 일반 행사",경기도 부천시 연동로 89 (옥길동),http://bcsports.bucheon.go.kr/site/main/index117
남부수자원생태공원,풋살경기장,풋살,경기도 부천시 연동로 89 (옥길동),http://bcsports.bucheon.go.kr/site/main/index117
오정대공원,인조잔디구장,"축구, 일반 행사",경기도 부천시 상오정로 183 (오정동),http://www.best.or.kr/subpage/index/209
소사2배수지,천연잔디구장,축구,경기도 부천시 소사로 77 (소사본동),http://www.best.or.kr/subpage/index/211
옥길지구 근린공원2호,인조잔디구장,"축구, 일반행사",경기도 부천시 옥길로56번길 140(옥길동),http://www.best.or.kr/subpage/index/210
역곡공원,인조잔디구장,"축구, 일반행사",경기도 부천시 지봉로51번길 77 (역곡동),http://bcsports.bucheon.go.kr/site/main/index117
역곡공원,풋살경기장,풋살,경기도 부천시 지봉로51번길 77 (역곡동),http://bcsports.bucheon.go.kr/site/main/index117
역곡공원,배드민턴장,배드민턴,경기도 부천시 지봉로51번길 77 (역곡동),http://bcsports.bucheon.go.kr/site/main/index117
송내배수지,배드민턴장,배드민턴,경기도 부천시 마니로33 (송내동),http://bcsports.bucheon.go.kr/site/main/index117
복사골스포츠센터,체육관,"농구, 배드민턴",경기도 부천시 장말로 107 (상동),http://www.best.or.kr/subpage/index/100001
복사골스포츠센터,체육관,"각종 강습프로그램, 일반 행사",경기도 부천시 장말로 107 (상동),http://www.best.or.kr/subpage/index/100001
복사골스포츠센터,체력단련장,"각종 강습프로그램, 일반 행사",경기도 부천시 장말로 107 (상동),http://www.best.or.kr/subpage/index/100001
복사골스포츠센터,수영장,"수영, 각종 강습프로그램",경기도 부천시 장말로 107 (상동),http://www.best.or.kr/subpage/index/100001
복사골스포츠센터,수영장,일반 행사,경기도 부천시 장말로 107 (상동),http://www.best.or.kr/subpage/index/100001
