위 치,면적,조성년도,주요시설내역,지목,소유,비고
경기도 부천시 중3동 1051-5,1200,2003,평의자 등 ,대,시유지,
경기도 부천시 중동 794-16,300,1998,팔굽혀펴기 등 ,대,시유지,
경기도 부천시 중동 705-5,238,1998,체어웨이트 등 4종,대,시유지,
경기도 부천시 중동 682-6,430,2002,파고라 등 4종,대,시유지,
경기도 부천시 중동 773-21,80.8,1997,산수유 등 8종,대,시유지,
경기도 부천시 도당동286-11(1),200,2002,소나무 등 8종,도로,국유지,국토교통부
경기도 부천시 도당동 286-11(2),58,2002,측백나무 등 6종,도로,국유지,국토교통부
경기도 부천시 도당동 214-6,485,2003,통돌의자 등 3종,대,시유지,
경기도 부천시 도당동262-55,42,1998,허리돌리기 등 5종,대,시유지,
경기도 부천시 소사동2-50,150,2001,느티나무 등 8종,전,사유지,성가소비녀회
경기도 부천시 소사동 8-22,420,2003,느티나무 등 9종,대,시유지,
경기도 부천시 소사동 22-42,384,1998,은행나무 등 8종,대,시유지,
경기도 부천시 역곡1동 106-15,223.9,2006,평의자 등 2종,대,시유지,
경기도 부천시 역곡2동 64,96,1998,허리돌리기 등 2종,대,시유지,
경기도 부천시 역곡2동 45-11,569,1998,투수블럭포장 등 2종,대,시유지,
경기도 부천시 역곡2동 409-4,549,2006,정자 등 2종,공,시유지,
경기도 부천시 원미1동 97-7,285,2007,파고라 등 5종,대,시유지,
경기도 부천시 원미1동 153-3,127,1999,파고라 등 2종,대,시유지,
경기도 부천시 원미1동 163-6,169,1999,허리돌리기 등 2종,전,국유지,기획재정부
경기도 부천시 원미1동 151-86,149,1999,팔굽혀펴기 등 6종,임,시유지,
경기도 부천시 원미2동 177-36,111,2011,소나무,대,시유지,
경기도 부천시 원미2동 177-156,437,1998,파고라 등 6종,전,시유지,
경기도 부천시 원미2동 196-4,412.2,2000,허리돌리기 등 4종,대,시유지,
경기도 부천시 원미2동 122-19,184.1,2000,파고라 등 5종,대,시유지,
경기도 부천시 춘의동 168-1,150,2002,"등의자, 산수유 등 6종",대,시유지,
경기도 부천시 춘의동 173-7,180,2002,등의자 등 2종,대,시유지,
경기도 부천시 춘의동 산51,330,2003,어깨돌리기 등 7종,임,시유지,
경기도 부천시 춘의동 38,700,2012,그늘막벤치 등 22종,체,시유지,
경기도 부천시 약대동 52-2,52,1998,정자 등 2종,대,국유지,기획재정부
경기도 부천시 심곡본1동 583-11,204.7,1998,사각파고라외12종,대,시유지,
경기도 부천시 심곡본동 543,198,2003,돌의자외2종,대,사유지,
경기도 부천시 소사본동 148-26,99,2003,원형벤치 외 2종,대,시유지,
경기도 부천시 소사본2동 100-1,182,2001,평의자외5종,잡,국유지,기획재정부
경기도 부천시 괴안동201,252,2002,허리돌리기외6종,대,시유지,
경기도 부천시 괴안동100-11,201.2,1998,조합놀이대외1종,대,시유지,
경기도 부천시 괴안동189-3,117,1998,육각정자외6종,대,시유지,
경기도 부천시 송내1동335-8,148,1998,팔각정자외6종,대,시유지,
경기도 부천시 송내2동569-1,1257,2001,조합놀이대외11종,대,시유지,
경기도 부천시 송내2동594-5,880,1996,등의자외11종,대,시유지,
경기도 부천시 소사본2동115-1,146,2001,등의자외5종,대,시유지,
경기도 부천시 괴안동 99-54,347.6,2006,등의자 외 3종,공원,시유지,
경기도 부천시 소사본동 53,1988,,"시설×, 무궁화 등 7종",공원,시유지,
경기도 부천시 범박동 231,1100,2013,　플랜터 등 9종,대,시유지,
경기도 부천시 송내2동 280-11,2400,2006,,도로,시유지,
경기도 부천시 송내동 670번지,500,2013,파고라 등 9종,도로,시유지,
경기도 부천시 소사본동 212-6,501.8,2015,파고라 등 4종,공원,시유지,
경기도 부천시 소사본동 237,8090,2015,정자 등 6종,전,국유지,국토해양부
경기도 부천시 범박동 8-7,5148,2015,야외무대 등 32종,도로,시유지,
경기도 부천시 고강동 445-16,2335,1997,정자 등7종,임,시유지,
경기도 부천시 고강동302-1,628,2005,평의자 등7종,대,시유지,
경기도 부천시 고강동396-4,175.3,,등의자 등4종,대,시유지,
경기도 부천시 고강동산80-1,1316,2002,등의자 등 8종,대,사유지,
경기도 부천시 고강동산98,660,1999,조합놀이대 등 4종,임,사유지,
경기도 부천시 고강본동401-9,56,1998,등의자 3점,대,시유지,
경기도 부천시 고강본동410-2,542,2000,정자 등 3종,대,시유지,
경기도 부천시 고강본동417-9,274.9,1998,평의자 등 4종,대,시유지,
경기도 부천시 고강본동324-7,4331.2,2004,정자 등 14종,수도용지,"시,도",고리울가로공원
경기도 부천시 내동288,225,1998,소나무 등 3종,대,시유지,
경기도 부천시 내동30,559,1999,조합놀이대등 8종,대,시유지,
경기도 부천시 내동359,604.7,2000,파고라 등 3종,대,시유지,
경기도 부천시 내동54-3,847.5,2001,파고라 등 5종,대,시유지,
경기도 부천시 내동80,628.4,2002,정자 등 2종,대,시유지,
경기도 부천시 삼정동319-3,165,2003,소나무 등 5종,대,시유지,
경기도 부천시 삼정동350-8,312.8,2005,잣나무 등 10종,전,국유지,기획재정부
경기도 부천시 여월동10-36,406,2004,파고라 등 3종 ,대,시유지,
경기도 부천시 여월동2-2,539.5,2005,조합놀이대 등 5종,주차장,시유지,
경기도 부천시 여월동54-3,574,2003,조합놀이대 등 9종,대,시유지,
경기도 부천시 여월동9-3,659.7,1997,등의자 등 6종,대,시유지,
경기도 부천시 오정동140-9,600,2000,소나무 등 7종,대,사유지,
경기도 부천시 오정동505-7,1322,1999,조합놀이대 등 6종,전,시유지,
경기도 부천시 오정동614-6,248.8,2005,잣나무 등 4종,대,시유지,
경기도 부천시 원종동129-57,85,1999,등의자 2점,대,사유지,
경기도 부천시 원종동282-3,76.1,1998,소나무 등 4종,대,시유지,
경기도 부천시 원종동351-7,202,1998,철봉 등 2종 ,대,시유지,
경기도 부천시 원종동352-4,73,1998,측백나무 등 4종,대,시유지,
경기도 부천시 고강동302-8,140.9,1998,조합놀이대 등 3종,대,시유지,
경기도 부천시 여월동 62-15,997,2015,파고라 등 2종,임,시유지,
경기도 부천시 고강동218-7,830,2015,이팝나무 등 7종,도로,시유지,
