업체명,업체소재지(도로명),위반일자,처분확정일자,시작일자,종료일자,위반사유,처분사항
신바람노래연습장,"부천시 부흥로374번길 26-19, 지층(심곡동)",2020-04-29,2020-08-09,2020-08-19,2020-11-16,주류 판매 및 제공(2차)도우미 고용 및 알선(2차),영업정지 90일
뮤노래연습장,"부천시 부일로459번길 29, 3층(심곡동)",2020-08-25,2020-08-25,,,폐업 미신고,직권말소
즈바매노래연습장,부천시 소사로281(소사동),2020-08-25,2020-08-25,,,폐업 미신고,직권말소
수노래연습장,"부천시 부천로29번길 38, 기담빌딩(심곡동)",2020-08-27,2020-08-27,,,폐업 미신고,직권말소
팡 팡 노래연습장,경기도 부천시 부천로122번길 9 2층 (원미동),2020-07-21,2020-08-14,2020-08-15,2020-10-23,제22조 3. 주류를 판매 · 제공하지 아니할 것(1차)제22조 4. 접대부(남녀를 불문한다)를 고용 · 알선하거나 호객행위를 하지 아니할 것(2차),영업정지 70일
정든 노래연습장,"경기도 부천시 장말로 198, 지층 (상동)",2020-05-20,2020-08-07,2020-08-09,2020-09-07,주류 판매·제공(2차),영업정지 30일
나드리노래연습장,경기도 부천시 부일로308번길 28-1 (상동),2020-08-15,2020-08-20,2020-08-22,2020-08-31,주류반입 묵인(1차),영업정지 10일
앵콜노래연습장,"경기도 부천시 부흥로 185, 지층 (중동)",2020-07-31,2020-08-21,2020-08-25,2020-09-03,주류반입 묵인(1차),영업정지 10일
준노래연습장,경기도 부천시 삼작로394 (원종동),,,,,주류 판매·제공 1차,영업정지10일
칸노래연습장,경기도 부천시 삼작로325(여월동),,,,,주류 판매·제공 1차,영업정지10일
