연번,구분,위치,조성면적(㎡),조성년도
1,완충녹지,경기도 부천시 삼정동 196번지 일원,20923.3,1986
2,완충녹지,경기도 부천시 삼정동 151-5일대,2201.3,1996
3,완충녹지,경기도 부천시 삼정동 363-11 ,13303.5,1996
4,완충녹지,경기도 부천시 중동 1025-1번지 일대,6470.7,1991
5,완충녹지,경기도 부천시 중동 1050번지,2130.3,1991
6,완충녹지,경기도 부천시 중동 1174-1번지,1524.3,1991
7,완충녹지,경기도 부천시 중동 1046-6번지 일대,911.1,1991
8,완충녹지,경기도 부천시 상동 419-7 일대,2929.5,1991
9,완충녹지,경기도 부천시 상동 444-13 일대,2352.1,1991
10,완충녹지,경기도 부천시 중동 1209-10 일대,4095.4,1991
11,완충녹지,경기도 부천시 중동 1199-7 일대,4181.2,1991
12,완충녹지,경기도 부천시소사본동 400번지 일대,3607.4,1993
13,완충녹지,경기도 부천시소사본동 401-9번지일대,865.7,1994
14,완충녹지,경기도 부천시 삼정동 365-4번지일원,5323.7,1996
15,완충녹지,경기도 부천시 작동 368-1번지 일원,12148,1995
16,완충녹지,경기도 부천시 작동 354-1번지 일원,22136.9,1995
17,완충녹지,경기도 부천시 작동 377-1번지 일원,14338,1995
18,완충녹지,경기도 부천시 작동 산76-2,6134,1995
19,완충녹지,경기도 부천시 작동 432번지,125,2003
20,완충녹지,경기도 부천시 상동 501-3번지 일원,17031,1998
21,완충녹지,경기도 부천시 상동 515-1번지 일원,2185.4,1998
22,완충녹지,경기도 부천시 상동 500-6번지 일원,14459.8,1998
23,완충녹지,경기도 부천시 상동 526-5번지 일원,7790.4,1998
24,완충녹지,경기도 부천시 상동 527-2번지 일원,4979.4,1998
25,완충녹지,경기도 부천시 상동 525-7번지 일원,8235.9,1998
26,완충녹지,경기도 부천시 상동 528-6번지 일원,5611.7,1998
27,완충녹지,경기도 부천시 상동 550-8번지 일원,8573.9,1998
28,완충녹지,경기도 부천시 상동 571-7번지 일원,11532.8,1998
29,완충녹지,"경기도 부천시 상동 552-1,3,5번지 일원",1342.8,1998
30,완충녹지,경기도 부천시 상동 551-3번지 일원,2178.5,1998
31,완충녹지,"경기도 부천시 상동 566-1,3.5번지 일원",2635.6,1998
32,완충녹지,경기도 부천시 상동 570-4번지 일원,8012,1998
33,완충녹지,"경기도 부천시 상동 570-9,571-8,9,10,11번지 일원",3082.3,1998
34,완충녹지,경기도 부천시 상동 572-4번지 일원,2911.5,1998
35,완충녹지,경기도 부천시 상동 588-5번지 일원,7730.2,1998
36,완충녹지,경기도 부천시 상동 589-2번지 일원,10151.4,1998
37,완충녹지,경기도 부천시 상동 591-2번지 일원,7732.3,1998
38,완충녹지,경기도 부천시 상동 590-2번지 일원,7857.4,1998
39,완충녹지,경기도 부천시 상동 620-2번지 일원,4532.7,1998
40,완충녹지,경기도 부천시 상동 619번지 일원,971.3,1998
41,완충녹지,경기도 부천시 송내동 681-1번지 일원,20884.5,1998
42,완충녹지,경기도 부천시 송내동 696-1번지 일원,15266.4,1998
43,완충녹지,경기도 부천시 상동 579-10번지 일원,968.5,1998
44,완충녹지,경기도 부천시 상동 580-6번지 일원,624.5,1998
45,완충녹지,경기도 부천시 상동 584-4번지 일원,373.6,1998
46,완충녹지,경기도 부천시 상동 700-20번지일원,1664.2,1998
47,완충녹지,경기도 부천시 춘의동 115-3번지 일원,1262.1,2005
48,완충녹지,경기도 부천시 여월동 89-26잡,382,2005
49,완충녹지,경기도 부천시 작동 122-3도,225.8,2005
50,완충녹지,경기도 부천시 작동 122-3도,380,2005
51,완충녹지,경기도 부천시 작동 202-17도,420,2005
52,완충녹지,경기도 부천시 작동 200-2도,173.9,2005
53,완충녹지,경기도 부천시 범박동 154-1,263,2000
54,완충녹지,경기도 부천시 오정동 729-10,3812.2,2001
55,완충녹지,경기도 부천시 여월동 305번지,5571.8,2003
56,완충녹지,경기도 부천시 여월동 308번지,3994.4,2003
57,완충녹지,경기도 부천시 여월동 310번지,3218.6,2003
58,완충녹지,경기도 부천시 여월동 311번지,5676.3,2003
59,완충녹지,경기도 부천시 여월동 319번지,1581.3,2003
60,완충녹지,경기도 부천시 여월동 326번지,1336.4,2003
61,완충녹지,경기도 부천시 작동 391번지,411.9,2003
62,완충녹지,경기도 부천시 작동 397번지,3189.1,2003
63,완충녹지,경기도 부천시 작동 398번지,310.2,2003
64,완충녹지,경기도 부천시 작동 419번지,3060.5,2003
65,완충녹지,경기도 부천시 여월동 346번지,411.8,2003
66,완충녹지,경기도 부천시소사본동 420,1158.4,2001
67,완충녹지,경기도 부천시소사본동 419,274.2,2001
68,완충녹지,경기도 부천시소사본동 418-1,811.9,2001
69,완충녹지,경기도 부천시소사본동 417-1,1013.5,2001
70,완충녹지,경기도 부천시소사본동 411-7,710.6,2001
71,완충녹지,경기도 부천시소사본동 416-1,632.2,2001
72,완충녹지,경기도 부천시소사본동 411-5,1017.6,2001
73,완충녹지,경기도 부천시소사본동 408-3,1048.2,2001
74,완충녹지,경기도 부천시 괴안동 238-10번지,675.4,2001
75,완충녹지,경기도 부천시 괴안동 245번지,3267.3,2005
76,완충녹지,경기도 부천시 괴안동 244번지,6741.5,2005
77,완충녹지,경기도 부천시 괴안동 255번지,1129.6,2005
78,완충녹지,경기도 부천시 괴안동 251-2,931.3,2005
79,완충녹지,경기도 부천시 괴안동 251-4,959.9,2005
80,완충녹지,경기도 부천시 괴안동 251-6,958.8,2005
81,완충녹지,경기도 부천시 괴안동 258-4,367.6,2005
82,완충녹지,경기도 부천시 범박동 205-1,1699.5,2005
83,완충녹지,경기도 부천시 범박동 229,6560.5,2005
84,완충녹지,경기도 부천시 범박동 232-2,4833.3,2005
85,완충녹지,경기도 부천시 범박동 233번지,1955.4,2005
86,완충녹지,경기도 부천시 오정동 719,222,2007
87,완충녹지,경기도 부천시소사본동 407-4,518.9,2001
88,완충녹지,경기도 부천시소사본동 407-2,566.6,2001
89,완충녹지,경기도 부천시 범박동 157-2,287,2001
90,완충녹지,경기도 부천시 괴안동 242-7,227.4,2001
91,완충녹지,경기도 부천시 괴안동 242-13,158.8,2001
92,완충녹지,경기도 부천시 범박동 153-1,2391,2000
93,완충녹지,경기도 부천시 오정동 734,5278,2006
94,완충녹지,경기도 부천시 오정동 741,5142,2006
95,완충녹지,경기도 부천시 오정동 757,8436,2006
96,완충녹지,경기도 부천시 오정동 769,6660,2006
