관리번호,노선명,노선번호,기점,종점,총연장,포장도연장 계(단위:㎞),포장도연장 2차선,포장도연장 4차선,포장도연장 6차선,포장도연장 8차선,미개설도연장(단위:㎞)
1,광로2류2호선,시도1호선(범박-계수),범박동산7-3,계수동371-1,1.633,1.633,,,,1.633,
2,광로2류3호선,시도2호선(고강-삼정),고강동1-2,삼정동9-12,5.25,5.25,,,,5.25, 
3,광로2류4호선,시도3호선(송내-삼정),송내동639-6,삼정동11-17,5.017,5.017,,,,5.017, 
4,광로2류5호선,시도4호선(상동-춘의),상동7-8,춘의동87-4,4.703,4.703,,,,4.703, 
5,광로2류6호선,시도5호선(중동-중동),중동1026-1,중동1026,0.126,0.126,,,,0.126,
6,광로3류1호선,시도6호선(삼정-대장),삼정동9-20,대장동542-1,2.35,2.35,,,,2.35, 
7,광로3류2호선,시도7호선(삼정-삼정),삼정동9-18,삼정동5-6,0.14,0.14,,,,0.14,
8,광로3류4호선,시도8호선(고강동),고강동12-3,고강동12-4,0.098,,,,,,0.098
9,대로1류1호선,시도9호선(송내-괴안),송내동309-10,괴안동206-5,6.81,6.81,,,5.143,1.667, 
10,대로1류2호선,시도10호선(삼정-소사),삼정동320-1,소사동254,4.431,4.431,,,4.431,, 
11,대로1류3호선,시도11호선(소사-상동),심곡동117-7,심곡동440-9,0.264,0.264,,,0.264,, 
12,대로2류1호선,시도12호선(삼정-심곡),삼정동363-2,심곡동177-13,5.853,5.853,,,5.853,, 
13,대로2류2호선,시도13호선(심곡-상동),심곡동126-2,상1동32-23,3.108,3.108,,,3.108,, 
14,대로2류3호선,시도14호선(오정-삼정),오정동345-3,삼정동222-50,0.83,0.83,,,0.83,, 
15,대로2류4호선,시도15호선(역곡-송내),역곡동207-1,송내동313-23,6.256,6.256,,0.454,5.802,, 
16,대로2류5호선,시도16호선(원종-여월),원종동67-21,여월동151-1,3.31,3.31,,3.31,,, 
17,대로3류1호선,시도17호선(내동-중동),내동298,중동773-22,2.971,2.971,,2.971,,, 
18,대로3류2호선,시도18호선(심곡-상1동),심곡동489-8,상1동380-10,4.122,4.122,,4.122,,, 
19,대로3류4호선,시도19호선(역곡역),경인국도,역곡역,0.04,0.04,,0.04,,, 
20,대로3류5호선,시도20호선(소사-작동),소사동332-9,작동336-6,7,7,,7,,, 
21,대로3류6호선,시도21호선(작동-상동),작동산58-11,상동194-61,6.446,3.101,,,3.101,,3.345
22,대로3류7호선,시도22호선(고강-역곡),고강동산34-9,역곡동175-2,4.431,4.431,,4.431,,, 
23,대로3류8호선,시도23호선(고강-고강),고강동267-1,고강동산33-6,0.5,0.5,,0.5,,,
24,대로3류9호선,시도24호선(역곡-옥길),역곡동41-4,옥길동205-7,2.053,0,,,,,2.053
25,대로3류10호선,시도25호선(범박-범박),범박동29-1,범박동76-1,1.93,1.49,,1.49,,,0.44
26,대로3류11호선,시도26호선(도당-오정),도당동309,오정동593-4,0.738,0.738,,0.738,,, 
27,대로3류12호선,시도27호선(중동-약대),중동1027,약대동1001-7,0.788,0.788,,0.788,,, 
28,대로3류13호선,시도28호선(중동-상동),중동1024,상동321-19,3.021,3.021,,3.021,,,  
29,대로3류14호선,시도29호선(중동-중동),중동1169-1,중동1185-2,2.293,2.293,,2.293,,, 
30,대로3류15호선,시도30호선(중동-중동),중동1140-5,중동1134,0.15,0.15,,0.15,,, 
31,대로3류16호선,시도31호선(중동-심곡),중동1208,심곡동314-30,0.287,0.287,,0.287,,,
32,대로3류17호선,시도32호선(상동-상동),상동69-8,상동282-66,0.994,0.994,,0.994,,,
33,대로3류18호선,시도33호선(신흥-약대),신흥동364,약대동192-1,0.503,0.503,,0.503,,,
34,대로3류19호선,시도34호선(신흥-약대),신흥동193,약대동193,0.38,0.38,,0.38,,,
35,중로1류1호선, 시도35호선(중동-도당),중동1080-5,도당동159,1.919,1.919,,1.919,,,
36,중로1류2호선, 시도36호선(중동-원미),중동1170,원미동52-1,3.004,3.004,,3.004,,,
37,중로1류3호선, 시도37호선(오정-삼정),오정동110-8,삼정동29-12,2.85,2.85,,2.85,,,
38,중로1류4호선, 시도38호선(도당-상동),도당동253-1,상동392,3.141,3.141,,3.141,,,
39,중로1류5호선, 시도39호선(심곡-역곡),심곡동125-1,역곡동246-16,2.9,2.9,,2.9,,,
40,중로1류6호선, 시도40호선(중동-중동),중동1030-4,중동1097-2,2.604,2.604,,2.604,,,
41,중로1류7호선, 시도41호선(원종-여월),원종동371-4,여월동105-1,0.604,0.424,,0.424,,,0.18
42,중로1류8호선, 시도42호선(신흥-원종),신흥동59,원종동374,2.78,2.78,,2.78,,,
43,중로1류9호선, 시도43호선(내동-약대),내동323,약대동182-34,0.602,0.602,,0.602,,,
44,중로1류10호선, 시도44호선(중동-중동),중동1157-2,중동1160-3,0.263,0.263,,0.263,,,
45,중로1류11호선, 시도45호선(중동-중동),중동1155,중동1153,0.263,0.263,,0.263,,,
46,중로1류12호선, 시도46호선(상동-상동),상동429-7,상동398,1.015,1.015,,1.015,,,
47,중로1류13호선, 시도47호선(상동-상동),상동414-12,상동400,0.308,0.308,,0.308,,,
48,중로1류14호선, 시도48호선(상동-상동),상동444-13,상동448-2,0.294,0.294,,0.294,,,
49,중로1류15호선, 시도49호선(상동-상동),상동420,상동425-8,0.252,0.252,,0.252,,,
50,중로1류16호선, 시도50호선(원종-오정),원종동166-4,오정동103-16,1.49,1.49,,1.49,,,
51,중로1류17호선, 시도51호선(여월-도당),여월동산37,도당동62,0.555,0.555,,0.555,,,
52,중로1류18호선, 시도52호선(원종-원종),원종동337,원종동산61,1.11,1.11,,1.11,,,
53,중로1류19호선, 시도53호선(오정-오정),오정동125-2,오정동610,1.51,1.09,0.117,0.973,,,0.42
54,중로1류20호선, 시도54호선(역곡-역곡),괴안동195,괴안동182,0.37,0.37,,0.37,,,
55,중로1류21호선, 시도55호선(역곡-역곡),역곡동247,괴안동190-17,0.216,0.216,,0.216,,,
56,중로1류22호선, 시도56호선(원종-고강),원종동8-8,고강동69-3,0.97,0.97,,0.97,,,
57,중로2류1호선, 시도57호선(심곡-춘의),심곡2동124-17,춘의동149-10,2.4,2.4,,2.4,,,
58,중로2류2호선, 시도58호선(역곡-역곡),역곡동77-6,역곡동66-5,0.5,0.5,,0.5,,,
59,중로2류3호선, 시도59호선(내동-도당),내동312,도당동141,1.75,1.75,,1.75,,,
60,중로2류4호선, 시도60호선(도당-약대),도당동99-7,약대동46-7,1.382,1.382,,1.382,,,
61,중로2류5호선, 시도61호선중동-중동),중동1208-8,중동792-1,0.807,0.807,,0.807,,,
62,중로2류6호선, 시도62호선(원미-원미),원미동111-6,원미동177-56,0.84,0.84,,0.84,,,
63,중로2류7호선, 시도63호선(심곡-심곡),심곡동561,심곡동584-5,0.549,0.549,,0.549,,,
64,중로2류8호선, 시도64호선(소사-소사),소사동91-13,소사동136-1,0.28,0.28,,0.28,,,
65,중로2류9호선, 시도65호선(괴안-괴안),괴안동182-2,괴안동179-3,2.1,2.1,,2.1,,,
66,중로2류10호선, 시도66호선(소사-소사),소사동91-13,소사동산60-4,1.99,1.99,,1.99,,,
67,중로2류11호선, 시도67호선(역곡-역곡),역곡동1-18,역곡동190-17,1.734,1.734,0.466,1.268,,,
68,중로2류12호선, 시도68호선(역곡-역곡),역곡동78-12,역곡동111-5,1.48,1.48,1.48,,,,
69,중로2류13호선, 시도69호선(원종-작동),원종동372,작동30-8,1.18,1.18,1.18,,,,
70,중로2류14호선, 시도70호선(송내-상동),송내동352-2,상동881,0.975,0.975,0.975,,,,
