연번,구분,구역명,조합 주소,연락처,정비구역,정비구역 면적,계획 세대수,분양세대수,임대세대수,건축계획 수,건축계획수,건폐율(%),용적률(%),추진위원회 승인일자,정비구역지정,정비구역변경,조합설립인가,사업시행 인가일자,관리처분계획 인가일자,착공,분양승인,준공인가,조합해산,진행단계
1,재개발,중동1-1구역,"경기도 부천시 부일로 322, 3층             ",032-666-5248,중동 780,16143,339,311,28,3,29,21.83,280,2006-11-30,2009-02-09,2016-05-23,2009-07-24,2010-11-01,2015-12-30,2017-03-30,2017-04-05,2019-11-27,,준공(2019.11.27.)
2,재개발,송내1-2구역,"경기도 부천시 경인로 33, 3층            ",032-663-3375,송내동 427-32,40431,831,764,67,8,29,20.72,263,2006-11-30,2008-12-22,2018-07-16,2009-05-08,2010-03-08,2016-05-09,2018-11-27,2018-11-28,,,공사중(공사기간 2018.11 ~ 2021.08)
3,재개발,계수.범박구역,"경기도 부천시 범안로 133, 301",032-345-4472,범박동 1-6번지,295044,3724,3535,189,37,29,16.28,239,2006-05-23,2009-10-26,2018-07-16,2010-05-31,2017-01-31,2018-05-02,2019-08-27,2019-08-28,,,공사중(공사기간 : 2019.09.~ 2023.01)
4,재개발,심곡3-1구역,,,심곡동 194,4413,334,334,,,,65이하,993,,2019-11-25,,,,,,,,,정비구역 지정
5,재개발,삼정1-2구역,"경기도 부천시 중동로 420번길6, 3층         ",032-672-5551,삼정동 284,97261,1997,1837,160,21,22,19.64,246,2006-12-27,2009-04-20,2017-07-10,2009-12-04,2011-12-26,,,,,,정비구역 해제 및 조합설립인가 취소(2018.10.22.)
6,재개발,소사1-1구역,"경기도 부천시 부일로 509, 5층             ",032-347-3551,심곡동 483-6,25881,748,688,60,6,28,24.98,317,2006-12-15,2009-04-20,2018-02-19,2011-06-20,2014-06-30,,,,,,조합설립인가 취소 및 정비구역해제(2018.12.03.)
7,재개발,원종2-1구역,,,오정동139-11,25230,462,425,37,7,14,22.93,224,,2017-07-17,,,,,,,,,정비구역 해제 고시(19.12.09)
8,재개발,괴안2D구역,"경기도 부천시 경인로 553, 2층",032-351-1921,괴안동 189번지 일원,25876,602,536,66,4,36,60,400,2009-06-08,2007-03-12,2019-01-14,2011-10-27,,,,,,,"사업시행인가 유보, 해제절차 진행중"
9,재개발,괴안3D구역,"경기도 부천시 경인로 587번길 18-17, 2층",032-342-5156,괴안동 201번지 일원,38323,759,674,85,6,35,60,275,2009-08-01,2007-03-12,2018-10-29,2011-04-06,2018-11-07,2019-11-05,,,,,관리처분인가
10,재개발,소사3구역,경기도 부천시 부흥로 487,032-344-5834,소사동 48-21번지 일대,76133,1677,1541,136,14,38,21.00 이하,288이하,2006-10-09,2008-03-10,2019-12-30,2008-09-24,,,,,,,사업시행인가 준비중
