시설명,주소,좌석수/면적,사용용도,주요보유장비 및 설비,성명,전화번호,소유기관,비 고
시민회관 대공연장,경기도 부천시 원미구 부일로 365 (중동),1152,대공연장,"무대,조명,영사기,스크린",부천문화재단,032-320-6300,공공기관,
가톨릭대학교,경기도 부천시 원미구 지봉로 43 (역곡동),1500,대공연장,"무대,조명,음향,스크린",가톨릭대학교,032-610-0622,가톨릭대학교,
경기예술고등학교 아트홀,경기도 부천시 원미구 석천로209번길 37 (중동),784,대공연장,"무대,조명,음향,상영,스크린",경기예술고,032-328-0844,경기예술고등학교,
고강복지회관,경기도 부천시 오정구 고리울로 79  (고강동),307,강당,"무대,조명,빔프로젝트,스크린",가톨릭학원,032-677-9090,공공기관,
광원아트홀,경기도 부천시 원미구 길주로 181  (중동),180,카페(공연),"무대, 조명, 앰프, 빔프로젝트",광원아트홀,032-228-3040,민간기관,
괴안근린공원야외공연장,경기도 부천시 소사구 범안로58번길 11 (괴안동),66,야외공연장,"무대, 전기, 의자",부천시(공원과),032-625-3498,공공기관,
내동교회,경기도 부천시 오정구 수도로 183  (내동),150,교육관,"무대, 빔프로젝트, 스크린",내동교회,032-677-5959,종교기관,
노동복지회관,경기도 부천시 오정구 부천로459번길 31  (오정동),156,강당,"무대, 앰프, 빔프로젝트",노동복지회관,032-679-2900,공공기관,
뉴코아부천점소극장(4층),경기도 부천시 원미구 송내대로 239  (상동),150,소공연장,"무대,조명,빔프로젝트,스크린",뉴코아부천점,032-624-8130,민간기관,
대부천성결교회,경기도 부천시 원미구 소사로300번길 57  (소사동),150,교육관,"빔프로젝트,스크린",대부천성결교회,032-349-2190,종교기관,
도당산 벚꽃동산 야외공연장,경기도 부천시 원미구 평천로849번길 25 (도당동),200,야외공연장,"무대, 전기,의자",부천시(문화예술과),032-625-3123,공공기관,
도당산 장미공원 야외공연장,경기도 부천시 원미구 평천로849번길 25 (도당동),200,야외공연장,"무대, 전기",부천시(공원과),032-625-3498,공공기관,
