연번,업종,상호,시설주소(도로명),시설전화번호
1,수영장업,반석수영장,경기도 부천시 계남로 106-1 (중동),032-325-6080
2,수영장업,부천YMCA,경기도 부천시 석천로169번길 42 (중동),032-325-3100
3,수영장업,아쿠아마린키즈스윔 부천점,"경기도 부천시 길주로 246, 부천중동리슈빌엔클래스 지하1층 101호 (중동)",032-322-5444
4,수영장업,블루마린,"경기도 부천시 중동로 168, B06,B08호 (중동, 복사골건영2차상가)",032-666-7977
5,체육도장업,용인대석사한가림태권도장,"경기도 부천시 조마루로 233, 동성상가동 302호 (중동, 미리내마을)",032-322-1109
6,체육도장업,올림픽태권도장,"경기도 부천시 중동로 326, 단지내상가동 302호 (중동)",032-325-5900
7,체육도장업,중흥다윗태권도장,"경기도 부천시 계남로 208, 402호 (중동)",032-323-6588
8,체육도장업,경희태권도체육관,"경기도 부천시 조마루로 137, 3층 (중동, 포도마을 상가동)",032-324-5955
9,체육도장업,미리내 천마 태권도,"경기도 부천시 소향로 228, 201호 (중동, 한신한양금호상가)",032-325-2420
10,체육도장업,용인대금성태권도장,"경기도 부천시 옥산로 81, 2층 (중동)",032-612-0027
11,체육도장업,K.T.M 차오름 태권도장,"경기도 부천시 중동로 329, 덕유마을 상가 지층호 (중동)",
12,체육도장업,신한체육관,"경기도 부천시 평천로696번길 5, 2층 (약대동)",032-676-3050
13,체육도장업,검도스쿨중동점,"경기도 부천시 길주로 273, 605~606호 (중동)",032-322-1331
14,체육도장업,예스복싱클럽,"경기도 부천시 길주로 315, 701~702호 (중동, 뉴월드타워)",032-321-8820
15,체육도장업,경희태권도,"경기도 부천시 조마루로285번길 50, 404호 (중동)",032-327-5688
16,체육도장업,고려태권도,"경기도 부천시 평천로 708, 6층 (약대동)",032-672-1780
17,체육도장업,중동정도태권도장,"경기도 부천시 석천로 107, 상가동 301~302호 (중동, 보람마을 동남아파트)",032-325-8535
18,체육도장업,태비태권도,"경기도 부천시 계남로 104, 지하1층 (중동)",032-324-9047
19,체육도장업,고려라온태권도,"경기도 부천시 부흥로 133, 301호 (중동)",
20,체육도장업,경희대석사비룡태권도장,"경기도 부천시 중동로 168, 404호 (중동)",
21,체육도장업,JWC영어태권도장,"경기도 부천시 길주로 219, 406호 (중동, 드림빌딩)",
22,체육도장업,부천태권도,"경기도 부천시 계남로 127, 302호 (중동)",032-325-9697
23,체육도장업,K.O GYM,"경기도 부천시 중동로254번길 104, 호정프라자 302호 (중동)",
24,체육도장업,용인대S&S태권도장,"경기도 부천시 도약로 112, 101호 (중동, 왕성빌딩)",032-327-3315
25,체육도장업,위브꿈나무태권도,"경기도 부천시 도약로 207, 비동 2층 (약대동)",
26,체육도장업,용인대황룡태권도,"경기도 부천시 계남로 165, 상가동 지층 1호 (중동, 은하마을주공아파트)",
27,체육도장업,고수회하람태권도장,"경기도 부천시 중동로248번길 52, 504호 (중동)",032-324-3223
28,체육도장업,부천한국체대입시,"경기도 부천시 길주로 246, B102호 (중동)",032-327-8663
29,체육도장업,하루태권도장,"경기도 부천시 조마루로 246, 상가 301~302호 (중동)",
30,체육도장업,중동 용인대 태권도,"경기도 부천시 부흥로 256, 5층 502,503호 (중동, 계남아카데미빌딩)",032-611-6479
31,체육도장업,용인대 큰나라 태권도,"경기도 부천시 계남로 202, 지층1호 (중동)",032-321-4665
32,체육도장업,팀태권도,"경기도 부천시 계남로 257, 2층 (중동, 동진빌딩)",
33,체육도장업,김진호복싱,"경기도 부천시 석천로169번길 30, 303호 (중동)",032-323-5858
34,체육도장업,슈퍼아이태권도장,"경기도 부천시 옥산로 71, 201, 203호 (중동, 꿈마을상가)",032-322-2275
35,체육도장업,엠에스24짐,"경기도 부천시 길주로 189, 지하층 101일부호 (중동, 우신빌딩)",
36,체육도장업,버팔로복싱짐,"경기도 부천시 중동로254번길 69, 301,302호 (중동, 뉴월드프라자)",032-329-1212
37,체육도장업,SP복싱무브먼트,"경기도 부천시 석천로184번길 28, 302호 (중동)",032-328-0887
38,체육도장업,부천신중동유도관,"경기도 부천시 도약로 213, 지하1층 (약대동)",
39,체육도장업,K브레인태권도장,"경기도 부천시 평천로 679, 119동 203호 (약대동)",
40,체육도장업,용인대하이유도관,"경기도 부천시 조마루로285번길 60, 상지프라자 4층 405호 (중동)",
41,체육도장업,태아연 진스태권도장,"경기도 부천시 신흥로 150, 위브더스테이트 상가7동 114호 (중동)",032-208-9172
42,체육도장업,GP주짓수멀티짐,"경기도 부천시 길주로 243, 제일프라자 3층 303호 (중동)",
43,골프연습장업,스마일골프,"경기도 부천시 조마루로285번길 50, 골드존타워 801호 (중동)",032-324-2232
44,골프연습장업,일신스크린골프,"경기도 부천시 소향로 131, 지층 (중동, 일신빌딩)",032-328-1118
45,골프연습장업,스카이골프클럽,"경기도 부천시 중동로248번길 86, 6층 (중동, 탑프라자)",
46,골프연습장업,중동드림스크린골프,"경기도 부천시 조마루로291번길 25, 304~309호 (중동, 센타프라자)",032-324-8060
47,골프연습장업,예스골프,"경기도 부천시 석천로169번길 30, 701호 (중동)",
48,골프연습장업,해원골프연습장,"경기도 부천시 중동로248번길 33, 601호 (중동, 신풍프라자)",
49,골프연습장업,애플스크린골프,"경기도 부천시 중동로 244, 305호 (중동, 상록센트럴타워)",032-328-8585
50,골프연습장업,골프튠 아카데미,"경기도 부천시 중동로248번길 105, 조이럭타운 304호 (중동)",
51,골프연습장업,홀인원골프연습장,"경기도 부천시 부흥로303번길 56, 701호 (중동, 우성프라자)",032-329-5858
52,골프연습장업,베스트스크린골프존,"경기도 부천시 소향로 233, 3층 (중동)",032-351-3373
53,골프연습장업,Lee & Park 골프아카데미,"경기도 부천시 중동로 185, 지하1층 (중동)",032-322-7177
