시도명,시군구명,어린이집코드,어린이집명,어린이집유형구분,운영현황,우편번호,상세주소,어린이집전화번호,어린이집팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,보육교직원수,정원수,현원수,위도,경도,통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,제공서비스,데이터기준일자
경기도,부천시,41197000053,ABC몬테소리어린이집,민간,Y,14774,"경기도 부천시 소사로78번길 42 관리동 (소사본동, 풍림아파트)",032-342-5119,032-342-5119,,3,134,0,7,49,44,37.46542117,126.8014233,미운영,1999-06-24,,,,일반,2021-02-15
경기도,부천시,41195000314,DB하이텍 햇살어린이집,직장,Y,14519,"경기도 부천시 수도로 90 (도당동, DB하이텍)",032-680-4457,032-680-4281,,6,470,1,17,85,50,37.51434807,126.7756223,미운영,2011-09-29,,,,시간연장형,2021-02-15
경기도,부천시,41197000071,I-즐거운어린이집,가정,Y,14688,"경기도 부천시 범안로21번길 39 2동 102호 (괴안동, 아주아파트)",032-344-4132,032-344-4132,,3,59,0,9,16,16,37.47995121,126.8095855,미운영,2005-09-12,,,,시간연장형,2021-02-15
경기도,부천시,41197000054,SK아름드리어린이집,가정,Y,14700,"경기도 부천시 소삼로 62 108동 102호 (소사본동, 소사에스케이뷰아파트)",032-341-9020,,http//cafe.daum.net/skangel1004,3,85,0,6,19,18,37.47720853,126.7999157,미운영,2004-09-14,,,,일반,2021-02-15
경기도,부천시,41195000031,가나다어린이집,가정,Y,14579,"경기도 부천시 조마루로 231 929동 101호 (중동, 미리내마을)",032-322-7757,032-322-7757,,4,58,0,6,20,20,37.49977023,126.7694066,미운영,2003-11-19,,,,일반,2021-02-15
경기도,부천시,41190000248,가온누리어린이집,가정,Y,14551,경기도 부천시 계남로340번길 8 (중동),032-663-1486,,,3,79,0,5,20,14,37.50073888,126.7822643,미운영,2014-12-23,,,,일반,2021-02-15
경기도,부천시,41190000280,가톨릭대학교요한어린이집,직장,Y,14662,"경기도 부천시 지봉로 43 1층 (역곡동, 가톨릭대학교 성심교정 창업보육지원센터)",032-710-2078,032-710-2079,,5,129,0,7,48,32,37.48693097,126.8001061,미운영,2018-02-23,,,,일반,2021-02-15
경기도,부천시,41195000178,감나무어린이집,가정,Y,14539,"경기도 부천시 계남로 196 624동 104호 (중동, 중흥마을 주공아파트)",032-323-4580,032-323-4580,http://cafe.daum.net/gam-namoo,3,39,0,6,13,13,37.50664226,126.7708828,미운영,2004-11-03,,,,일반,2021-02-15
경기도,부천시,41195000310,개구쟁이어린이집,가정,Y,14538,"경기도 부천시 석천로 216 512동 103호 (중동, 은하마을 대우,동부아파트)",032-322-4766,032-322-4768,,4,54,0,6,20,19,37.50549526,126.7678569,미운영,2010-04-30,,,,일반,2021-02-15
경기도,부천시,41197000097,개나리어린이집,가정,A,14596,"경기도 부천시 부흥로 100 1520동 103호 (상동, 한아름마을 동성,동아,삼환아파트)",032-321-0096,032-324-0096,,4,54,0,6,16,16,37.49669465,126.7516296,미운영,2004-01-02,2016-10-01,2017-09-30,,일반,2021-02-15
