행정기관,인구수 남자,인구수 여자,구성비 남자,구성비 여자,성비,세대수,세대당인구
심곡동          ,33334,32255,4.02,3.89,103.35,33039,1.99
부천동          ,46100,45652,5.56,5.51,100.98,38463,2.39
중동            ,20927,21433,2.52,2.59,97.64,17288,2.45
신중동          ,63267,67194,7.63,8.11,94.16,52190,2.5
상동            ,43412,44951,5.24,5.42,96.58,30662,2.88
대산동          ,41423,42225,5,5.09,98.1,36016,2.32
소사본동        ,28308,28898,3.41,3.49,97.96,23650,2.42
범안동          ,47579,49323,5.74,5.95,96.46,36979,2.62
성곡동          ,43302,42970,5.22,5.18,100.77,36151,2.39
오정동          ,44260,42134,5.34,5.08,105.05,35836,2.41
