연번,노선명,기점,종점,자전거도로종류,총연장길이(km),분리형 자전거도로(m),분리형 보도(m),분리형 유효폭원(m),비분리형 도로폭원(m),비분리형 유효폭원(m)
1,상이로1R,부일삼거리,구지사거리,겸용도로(분리형),0.27,2,5,3.5,0,0
2,상이로2R,구지사거리,전원사거리,겸용도로(분리형),0.25,2,5,3.5,0,0
3,상이로3R,전원사거리,흥천삼거리,겸용도로(분리형),0.31,2,5,3.5,0,0
4,부일로1R,극동아파트앞교차로,송내역앞교차로,겸용도로(비분리형),0.17,0,0,0,3.5,1.5
5,부일로2R,송내역앞교차로,석천로입구사거리,겸용도로(비분리형),0.51,0,0,0,3.5,1.5
6,부일로3R,솔안공원입구사거리,솔안공원입구사거리,겸용도로(분리형),0.02,2.4,0,2.4,0,0
7,부일로4R,석천로입구사거리,중동사거리,겸용도로(비분리형),0.45,0,0,0,3.8,2.6
8,부일로5R,중동사거리,산우물사거리,겸용도로(분리형),0.63,1.5,4.2,3,0,0
9,부일로6R,산우물사거리,전화국사거리,겸용도로(분리형),0.31,1.2,3.8,2.6,0,0
10,부일로1L,부일삼거리,서촌사거리,겸용도로(분리형),0.28,2,5.5,4.2,0,0
11,부일로2L,송내역앞교차로,솔안공원입구사거리,겸용도로(비분리형),0.19,0,0,0,3.2,1.7
12,부일로3L,솔안공원입구사거리,솔안공원입구사거리,겸용도로(분리형),0.02,2.4,0,2.4,0,0
13,부일로4L,솔안공원입구사거리,석천로입구사거리,겸용도로(비분리형),0.25,0,0,0,3.5,2
14,부일로5L,석천로입구사거리,중동사거리,겸용도로(분리형),0.45,1.5,3.7,2.7,0,0
15,부일로6L,중동사거리,산우물사거리,겸용도로(분리형),0.6,1.5,4,3,0,0
16,부일로7L,산우물사거리,전화국사거리,겸용도로(분리형),0.31,1.3,3.8,2.6,0,0
17,부일로1C,솔안공원입구사거리,솔안공원입구사거리,겸용도로(분리형),0.02,2.4,0,2.4,0,0
18,부일로C,솔안공원입구사거리,솔안공원입구사거리,겸용도로(분리형),0.02,2.4,0,2.4,0,0
19,범안로95번길1R,범박사거리,범박힐스테이트,겸용도로(분리형),0.23,1.5,3,1.8,0,0
20,범안로129번길1R,범박삼거리,범박힐스테이트,겸용도로(비분리형),0.48,0,0,0,1.5,0.8
21,소사로102번길1R,복사초교앞교차로,소사로78번길,겸용도로(분리형),0.27,1.5,2.5,1.8,0,0
22,소사로78번길1L,소사고교앞삼거리,삼성두산아파트,겸용도로(분리형),0.25,1.5,2.6,1.8,0,0
23,소사로78번길2L,삼성두산아파트,소사로102번길,겸용도로(분리형),0.18,1.5,2.6,1.8,0,0
24,소사로1R,소사고교앞삼거리,복사초교앞교차로,겸용도로(분리형),0.21,1.5,4,3,0,0
25,소사로2R,소사동주민센터,부천활박물관,겸용도로(비분리형),1.6,0,0,0,2.5,1.5
26,소사로3R,부천활박물관,부천종합운동장역,겸용도로(분리형),0.5,2.7,8.5,5.5,0,0
27,소사로1L,중앙레포츠공원,부천활박물관,겸용도로(비분리형),0.32,0,0,0,2.5,1.5
