연번,시설명,정원,전화번호,운영주체(위탁법인)
1,LH우리나래,29,032-349-0680,(사)푸른학교
2,가람,29,032-655-0428,이혜란
3,경서,45,032-684-8250,홍재철
4,고강꿈,19,032-672-0196,송영흠
5,고강동,35,032-681-0004,이은형
6,골든벨,29,032-674-1421,장미화
7,그린,29,032-677-3033,김종옥
8,꿈나무,29,032-675-8967,박태연
9,꿈뜰,19,032-611-1355,박정란
10,꿈사랑,29,032-676-9786,전영규
11,녹색,29,032-341-0308,이재화
12,다음,28,032-663-5497,조윤정
13,다정한 ,40,032-348-2234,유정숙
14,더높이,36,032-347-3332,박지훈
15,도담,33,032-341-1573,김유화
16,라이프,35,032-677-3984,이창수
17,모나쉬,19,032-676-8878,이선경
18,민들레,19,032-611-0101,배영옥
19,보람,29,032-328-0193,윤조중
20,부천시민연합 부설 도깨비,29,032-655-6638,박미현
21,부천지역아동센터,29,032-664-9192,최종환
22,비전,25,070-8230-8993,김학의
23,사랑의 ,19,032-657-0153,성양권
24,삼정,29,032-676-0079,대한예수교장로회 한국장로교복지재단
25,새날,40,032-675-0104,(재)성심수도회
26,새롬,37,032-671-2354,김경희
27,샘터,36,032-611-9966,대한예수교장로회총회 복지재단
28,샬롬,29,032-613-3335,정화자
29,서부,45,032-613-7656,송민규
30,성산,40,032-672-8291,전명자
31,세계로 ,29,032-676-7086,김수정
32,소사,19,032-346-9077,위드프렌즈
33,솔로몬 ,25,032-347-0754,임종길
34,솔안,19,070-7404-1318,(사)해피플러스
35,송내,29,032-656-0671,대한예수교장로회 한국장로교복지재단
36,시립옥길,26,032-341-0672,부천시장
37,신광,29,032-657-1615,구자춘
38,심곡,35,032-612-1997,김상훈
39,아름다운,40,032-671-1442,장미화
40,애솔,19,070-7404-1319,(사)해피플러스
41,역곡,29,032-351-0407,박은희
42,영광,29,032-674-5073,조구범
43,영성,19,032-675-0175,조용균
44,예심,39,032-677-5887,김기남
45,오순도순,29,032-661-1829,마종열
46,오정동,29,032-679-5979,(사)일과사람
47,우리세상,29,032-678-0671,(사)나눔과 섬김
48,원미산,19,032-347-5678,이주연
49,원미지역아동센터,41,032-614-8439,강희찬
50,원종,37,032-677-0438,나준경
51,이레,19,070-4964-9737,안호근
52,이웃사랑,45,032-345-2540,배영옥
53,좋은터,37,032-677-1574,이영모
54,지구촌,40,032-201-7736,김옥미
55,충만,19,070-8281-7237,(재)기독교대한감리회유지재단
56,한결,29,032-672-1070,유태욱
57,한세,29,032-614-0691,조경자
58,한우리,34,032-674-0191,강신경
59,한울,29,032-261-1133,한희정
60,해오름공부방,25,032-347-4507,이영옥
61,해피존우리,29,032-668-1318,(사)나눔과섬김
62,행복플러스,29,032-657-0192,최정인
