연월일,까치울역계,까치울역승차,까치울역하차,부천종합운동장역계,부천종합운동장역승차,부천종합운동장역하차,춘의역계,춘의역승차,춘의역하차,신중동역계,신중동역승차,신중동역하차,부천시청역계,부천시청역승차,부천시청역하차,상동역계,상동역승차,상동역하차
2012-10-1,6894,3578,3316,7056,3547,3509,8941,4606,4335,18979,9711,9268,18877,9561,9316,20136,10341,9795
2012-11-1,6889,3628,3261,7418,3831,3587,10139,5176,4963,19320,9730,9590,18898,9533,9365,20278,10233,10045
2012-12-1,6941,3672,3269,7534,3931,3603,10809,5512,5297,21070,10631,10439,20294,10228,10066,22347,11176,11171
2013-1-1,6717,3543,3174,7670,4005,3665,11167,5675,5492,20854,10504,10350,19540,9813,9727,21511,10760,10751
2013-2-1,6935,3686,3249,7724,4036,3688,11426,5803,5623,21009,10568,10441,20050,10058,9992,21640,10823,10817
2013-3-1,7655,4039,3616,8859,4630,4229,12111,6153,5958,22122,11084,11038,20379,10212,10167,23020,11474,11546
2013-4-1,8365,4445,3920,10769,5577,5192,13396,6778,6618,23109,11590,11519,20977,10491,10486,23590,11748,11842
2013-5-1,8724,4598,4126,9794,5123,4671,12974,6575,6399,23658,11850,11808,21367,10675,10692,23786,11835,11951
2013-6-1,8266,4345,3921,9121,4774,4347,12600,6391,6209,22909,11483,11426,20529,10255,10274,23233,11518,11715
2013-7-1,8047,4240,3807,8765,4602,4163,12646,6432,6214,23142,11589,11553,21111,10566,10545,23321,11555,11766
2013-8-1,7878,4139,3739,8539,4485,4054,11941,6084,5857,22586,11304,11282,20118,10043,10075,22772,11251,11521
2013-9-1,8115,4278,3837,8851,4662,4189,12179,6212,5967,22393,11218,11175,19744,9825,9919,22302,11014,11288
2013-10-1,9634,5084,4550,9961,5230,4731,13465,6852,6613,25109,12587,12522,21885,10944,10941,25181,12453,12728
2013-11-1,9170,4873,4297,9894,5175,4719,13639,6921,6718,25749,12903,12846,22692,11323,11369,26198,12969,13229
2013-12-1,8958,4762,4196,9572,5022,4550,13364,6803,6561,26297,13244,13053,23371,11665,11706,26925,13350,13575
2014-1-1,8213,4364,3849,8877,4645,4232,12705,6447,6258,24467,12305,12162,21534,10713,10821,24677,12224,12453
2014-2-1,8718,4629,4089,9427,4932,4495,13641,6926,6715,25818,13001,12817,23221,11599,11622,26487,13138,13349
2014-3-1,9638,5108,4530,10419,5446,4973,14088,7154,6934,26899,13523,13376,23333,11647,11686,27225,13419,13806
2014-4-1,10707,5676,5031,13174,6808,6366,15231,7690,7541,27807,13968,13839,24044,11973,12071,27435,13541,13894
2014-5-1,10606,5583,5023,10746,5612,5134,14116,7157,6959,26859,13481,13378,23683,11763,11920,27076,13367,13709
2014-6-1,10084,5304,4780,10349,5417,4932,14208,7193,7015,26079,13066,13013,22888,11374,11514,26005,12843,13162
2014-7-1,10087,5307,4780,10138,5294,4844,14164,7190,6974,27072,13582,13490,24339,12083,12256,27037,13335,13702
2014-8-1,9540,5004,4536,9439,4921,4518,13086,6657,6429,25409,12731,12678,22568,11211,11357,25540,12603,12937
2014-9-1,10122,5332,4790,11021,5725,5296,13897,7076,6821,26252,13168,13084,23150,11499,11651,26085,12831,13254
2014-10-1,11483,6051,5432,10713,5610,5103,14560,7385,7175,27655,13873,13782,24225,12032,12193,27574,13565,14009
2014-11-1,10550,5574,4976,10531,5498,5033,14321,7290,7031,27432,13771,13661,24239,12027,12212,27700,13670,14030
2014-12-1,10444,5539,4905,10293,5392,4901,14699,7450,7249,28871,14515,14356,25635,12742,12893,29389,14541,14848
2015-1-1,9659,5094,4565,9734,5070,4664,14173,7184,6989,27199,13631,13568,23856,11830,12026,27433,13594,13839
2015-2-1,9185,4864,4321,9310,4850,4460,13627,6904,6723,25609,12862,12747,22979,11406,11573,25815,12776,13039
2015-3-1,11074,5885,5189,11057,5750,5307,15384,7787,7597,28908,14501,14407,25186,12473,12713,28884,14218,14666
