시설구분,시설명,도로명주소,전화번호
장애인거주시설(법인),부천혜림원,경기도 부천시 경인로304번길 26 (심곡본동),032-666-7990
장애인거주시설(법인),부천혜림요양원,경기도 부천시 경인로304번길 26 (심곡본동),032-666-7990
장애인거주시설(개인),로뎀나무,경기도 부천시  성주로 132 (송내동),032-652-5002
장애인거주시설(공동),사랑의샘(공동생활가정),"경기도 부천시 석천로 107, 1124동 303호(중동,보람마을동남아파트)",032-325-3465
장애인거주시설(공동),기쁨의샘(공동생활가정),"경기도 부천시  조마루로 135, 826동 104호(중동,포도마을아파트)",032-322-3306
장애인거주시설(공동),부천혜림공동생활가정1호,"경기도 부천시 성주로 66, 5동 904호(송내동, 동신아파트)",032-654-5830
장애인거주시설(공동),부천혜림공동생활가정2호,"경기도 부천시 소사로102번길 67, 111동 301호(소사본동, 소사주공1단지아파트)",032-345-9826
장애인거주시설(공동),부천혜림공동생활가정3호,"경기도 부천시 소사로102번길 67, 109동 1006호(소사본동, 소사주공1단지아파트)",032-346-1213
장애인거주시설(공동),부천혜림공동생활가정4호,"경기도 부천시 경인로150번길 67, 101동201호(송내동)",032-654-5830
장애인거주시설(공동),부천혜림공동생활가정5호,"경기도 부천시 심중로114번가길 31, 301호 (중동)",032-661-0324
장애인직업재활시설,부천시장애인직업재활시설,경기도 부천시 부천로 342 (도당동),032-671-2500
장애인직업재활시설,샘물자리직업재활시설,"경기도 부천시 석천로38번길 5 (상동, 한성빌딩2,3층)",032-662-2755
장애인직업재활시설,부천혜림직업재활시설,경기도 부천시 경인로304번길 26 (심곡본동),032-611-7994
장애인직업재활시설,사랑이야기직업재활시설,"경기도 부천시 부흥로 12, 501호, 502호(상동,대림프라자)",032-719-2369
장애인지역사회재활시설,부천시장애인종합복지관,경기도 부천시 역곡로 367 (작동),032-670-1230
장애인지역사회재활시설,부천시장애인종합복지관주간보호시설,경기도 부천시  역곡로 367 (작동),032-670-1270
장애인지역사회재활시설,그루터기장애인주간보호시설,"경기도 부천시 소향로 37번길13-22, 402호(상동, 에이원프라자)",032-322-6644
장애인지역사회재활시설,실로암장애인주간보호시설,"경기도 부천시 소향로 35(상동, 서해프라자 801호)",032-328-0339
장애인지역사회재활시설,아름다운집주간보호시설,"경기도 부천시 소향로 13번길 14-16(상동, 대맥프라자 703호)",032-348-9292
장애인지역사회재활시설,우리동네부천주간보호시설,경기도 부천시 심곡로9번길 46 (심곡본동),032-665-6603
장애인지역사회재활시설,희망주간보호시설,경기도 부천시 부천로86번길 18 (심곡동),032-665-7007
장애인지역사회재활시설,하늘아래주간보호시설,"경기도 부천시  범안로 54(괴안동, 그린프라자 303호)",032-349-6828
장애인지역사회재활시설,부천사랑터주간보호시설,"경기도 부천시 길주로 267 (중동, 무광오피스텔301호)",032-215-8749
장애인지역사회재활시설,물댄동산주간보호시설,"경기도 부천시 경인로 392번길 25(소사본동, 다상빌라 102호)",032-345-6966
장애인지역사회재활시설,안다미장애인주간보호시설,"경기도 부천시 상동로117번길 49(상동, 아트프라자501호)",032-216-1202
장애인지역사회재활시설,해밀도서관,경기도 부천시 옥산로10번길 4 (중동),032-650-4600
장애인지역사회재활시설,부천시장애인생활이동지원센터,경기도 부천시 옥산로10번길 4 (중동),032-667-6633
장애인지역사회재활시설,부천시수어통역센터,경기도 부천시 상이로39번길 7-20 (상동),032-328-5018
