시군명,구/읍면동명,업종구분명,시설명,교습과정명,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
부천시,고강동,학교교과교습학원,클라비스음악학원,음악,경기도 부천시 고강동 480-1번지 스카이빌딩 6층,경기도 부천시 오정구 역곡로 457 6층 (고강동),37.52534205,126.815545
부천시,고강동,학교교과교습학원,라무지카아카데미음악학원,음악,경기도 부천시 고강동 337번지 가람 5동 201호,경기도 부천시 오정구 원종로 122 가람5 201 (고강동),37.52393338,126.8135801
부천시,고강동,학교교과교습학원,고강비젼스터디보습학원,보습,경기도 부천시 고강동 347-4번지 3층 일부,"경기도 부천시 오정구 역곡로 474, 3층일부 (고강동)",37.52675787,126.8163446
부천시,고강동,학교교과교습학원,아이빈음악학원,음악,경기도 부천시 고강동 389-4번지 3층 일부,경기도 부천시 오정구 고리울로52번길 14 3층일부 (고강동),37.52647743,126.8214022
부천시,고강동,학교교과교습학원,고강보습학원,보습,경기도 부천시 고강동 370-9번지 부강빌딩 3층 일부,경기도 부천시 오정구 역곡로482번길 25 3층 일부 (고강동),37.52720103,126.8174069
부천시,고강동,학교교과교습학원,영웅음악학원,음악,경기도 부천시 고강동 350-10번지 3층,경기도 부천시 오정구 고리울로7번길 15 3층 (고강동),37.52839825,126.8167139
부천시,고강동,학교교과교습학원,은하수음악학원,음악,경기도 부천시 고강동 246번지 2층,"경기도 부천시 오정구 고강로170번길 23, 2층 (고강동)",37.53045347,126.8231574
부천시,고강동,학교교과교습학원,알찬보습학원,보습,경기도 부천시 고강동 292-2번지 제일빌딩 2층 일부,경기도 부천시 오정구 고강로72번길 40 2층 일부,37.52792206,126.811907
부천시,고강동,학교교과교습학원,G(지)탑보습학원,보습,경기도 부천시 고강동 347-1번지 4층,"경기도 부천시 오정구 고리울로8번길 16, 4층 (고강동)",37.52714579,126.8166604
부천시,고강동,학교교과교습학원,한맥보습학원,보습,경기도 부천시 고강동 285-6번지 영용빌딩 3층 일부,"경기도 부천시 역곡로 491, 3층 일부 (고강동)",37.52853181,126.8157067
부천시,고강동,학교교과교습학원,마루사이버독서실,독서실(유아/초·중·고),경기도 부천시 고강동 389-3번지 4층,경기도 부천시 오정구 고리울로40번길 13-13 4층 (고강동),37.52654009,126.8211305
부천시,고강동,학교교과교습학원,잉글리쉬무무고강제2보습학원,보습,경기도 부천시 고강동 312-1번지 3층,"경기도 부천시 오정구 원종로119번길 96, 3층 (고강동)",37.52823117,126.8136258
부천시,고강동,학교교과교습학원,하버드플러스보습학원,보습,경기도 부천시 고강동 347-1번지 3층,"경기도 부천시 오정구 고리울로8번길 16, 3층 (고강동)",37.52714579,126.8166604
부천시,고강동,학교교과교습학원,드림+(플러스)보습학원,보습,경기도 부천시 고강동 285번지 가동 2층,경기도 부천시 오정구 역곡로497번길 11 가동 2층 (고강동),37.52895471,126.8153549
부천시,고강동,학교교과교습학원,최강단과보습학원,실용외국어(유아/초·중·고),"경기도 부천시 고강동 377-2번지 2,3층","경기도 부천시 오정구 고리울로 28 2,3층",37.52728445,126.8189
부천시,고강동,학교교과교습학원,바르톡음악학원,음악,"경기도 부천시 고강동 377-25번지 2층, 3층","경기도 부천시 오정구 고리울로28번길 8 2층, 3층",37.52712224,126.8188778
부천시,고강동,학교교과교습학원,최강단과보습학원,보습,"경기도 부천시 고강동 377-2번지 2,3층","경기도 부천시 오정구 고리울로 28 2,3층",37.52728445,126.8189
부천시,고강동,학교교과교습학원,예일음악학원,음악,경기도 부천시 고강동 318번지 제일시장 11동 2층,경기도 부천시 오정구 고강로92번길 41 제일시장 11동 2층 (고강동),37.52839468,126.8144626
부천시,고강동,학교교과교습학원,스터디클럽독서실,독서실(유아/초·중·고),"경기도 부천시 고강동 294-4번지 201호,401호","경기도 부천시 오정구 성지로 66, 201호,401호 (고강동)",37.52481294,126.8114625
부천시,고강동,학교교과교습학원,고강e(이)해법수학영어보습학원,보습,경기도 부천시 고강동 370-10번지 3층,"경기도 부천시 역곡로482번길 21, 3층 (고강동)",37.5272547,126.8171579
