시군명,공동주택명,읍면동,지번,사용검사일자,동수,세대수,의무관리대상여부
부천시,2차한양수자인아파트(201동),역곡동,33,2006-10-27,1,54,N
부천시,5차 동문아파트,원종동,121,1998-07-30,6,216,N
부천시,BYC 부천 위더스빌,송내동,577-1,2016-01-04,1,163,Y
부천시,KS건영 아느칸빌,심곡동,Nov-36,2004-08-11,1,28,N
부천시,SJ성진힐스,약대동,137-1,2018-10-25,1,40,N
부천시,e-좋은아침,삼정동,276,2007-08-30,1,96,N
부천시,e편한세상 부천심곡,심곡본동,820-2,2018-09-20,6,354,Y
부천시,가야아파트,고강동,409-1,1989-02-27,2,60,N
부천시,가온팰리스,심곡동,382-6,2015-02-09,1,186,Y
부천시,거산아파트,괴안동,171-8,1992-10-12,7,260,N
부천시,건부아파트,심곡동,Jan-95,1983-05-11,2,90,N
부천시,건우3차아파트,송내동,328-1,1986-06-14,1,40,N
부천시,건우로얄아파트,작동,Feb-75,1987-10-19,1,30,N
부천시,건우아파트,고강동,307,1986-12-03,3,190,N
부천시,건우아파트,송내동,339-1,1984-12-10,2,120,N
부천시,건우아파트,송내동,331-4,1985-12-27,2,105,N
부천시,건우아파트,역곡동,21,1983-12-29,2,104,N
부천시,건우아파트,원종동,361-2,1986-12-29,1,30,N
부천시,건일아파트,고강동,367-5,1987-09-25,1,30,N
부천시,경인아파트,원종동,341-3,1988-07-20,2,90,N
부천시,계남랑데뷰,내동,352,2017-08-29,1,48,N
부천시,"고강1차,2차아파트",고강동,246-5,1986-06-03,9,338,Y
부천시,고강아파트,고강동,249,1986-10-08,5,210,N
부천시,광성상가아파트,춘의동,127,1994-01-07,1,147,N
부천시,광성아파트,원종동,131,1986-10-04,2,110,N
부천시,광희아파트,심곡본동,617-140,1981-05-20,6,130,N
부천시,괴안동 금광포란재아파트,괴안동,Apr-89,2006-11-06,2,99,N
부천시,국경아파트,괴안동,Feb-73,1988-02-12,1,45,N
부천시,"그린타운 금호,한양아파트",중동,1185-2,1994-06-17,13,712,Y
부천시,"그린타운 삼성,우성1차아파트",중동,1182,1993-09-16,12,592,Y
부천시,그린타운 우성2차아파트,중동,1184-6,1994-12-16,5,340,Y
부천시,그린타운 한신아파트,중동,1183,1993-09-28,11,474,Y
부천시,근영아파트,송내동,593-5,1982-10-27,1,20,N
부천시,근화아파트,도당동,134-2,1994-04-14,2,84,N
부천시,금강마을아파트,중동,1030,1995-11-10,19,1962,Y
부천시,금강맨숀,역곡동,19,1983-05-19,7,98,N
부천시,금강아파트,소사동,16-19,1983-12-28,2,51,N
부천시,금강아파트,심곡본동,620-4,1984-11-12,3,100,N
부천시,금보아파트,여월동,Nov-53,1989-05-27,1,40,N
부천시,기용아파트,원종동,212-4,1989-10-12,1,60,N
부천시,길성그랑프리텔,원종동,284-3,2020-03-05,3,155,Y
부천시,꿈동산마을 신안아파트,상동,445,1994-06-11,9,668,Y
부천시,"꿈마을 건영,서안아파트",중동,1102,1994-02-25,8,492,Y
부천시,꿈마을 동아아파트,중동,1103,1994-07-29,8,382,Y
부천시,"꿈마을 삼환,한진아파트",중동,1104,1994-07-09,10,698,Y
부천시,남향아파트,괴안동,117-7,2007-10-18,1,40,N
부천시,네오빌,괴안동,129,2002-02-28,1,208,Y
부천시,누리안아파트,오정동,590-2,2007-11-28,1,81,N
부천시,뉴서울 송내동아파트,송내동,368,1995-10-31,9,971,Y
부천시,뉴월드아파트,역곡동,97,2002-09-17,1,46,N
부천시,다온하브,심곡동,458-2,2005-03-05,1,283,Y
부천시,다정한마을 금강KCC아파트,상동,500-2,2003-02-15,5,560,Y
부천시,다정한마을 삼성래미안아파트,상동,500-4,2002-09-24,9,718,Y
부천시,다정한마을 상동뜨란채아파트,상동,500-1,2002-10-17,8,588,Y
부천시,다정한마을 쌍용아파트,상동,500-5,2003-02-15,8,561,Y
부천시,당진정우아파트,원종동,292,1989-07-24,1,30,N
부천시,대건아파트,도당동,Apr-50,1998-04-16,1,36,N
부천시,대덕아파트,작동,Jan-71,1987-10-23,1,30,N
부천시,대도아파트,원종동,213-2,1988-03-17,1,70,N
부천시,대림e편한세상1차아파트,역곡동,202-1,2004-03-24,3,249,Y
부천시,대림방배아파트,심곡동,107-5,1985-09-20,1,24,N
부천시,대명앙뜨레빌아파트,역곡동,414,2010-05-31,1,80,N
부천시,대보아파트,송내동,336-7,1988-03-28,1,30,N
부천시,대성아파트,괴안동,175-6,1988-12-06,1,40,N
부천시,대성아파트,괴안동,120-12,1986-12-29,1,35,N
부천시,대성아파트,소사본동,Mar-55,1987-12-31,1,45,N
부천시,대성아파트,원종동,273-6,1987-12-15,1,25,N
부천시,대신아파트,중동,852-2,1984-08-02,1,40,N
부천시,대양아파트,송내동,299-16,1987-05-19,1,30,N
부천시,대은팰리스뷰아파트,소사본동,Feb-55,2010-10-06,1,42,N
부천시,대진빌라,심곡본동,803,1986-07-19,6,124,N
부천시,대진아파트,고강동,309-2,1991-07-06,1,55,N
부천시,대진아파트,괴안동,171-6,1987-04-20,6,290,N
부천시,대진아파트,송내동,338,1985-09-23,2,90,N
부천시,대진아파트,역곡동,227-2,1983-11-25,2,60,N
부천시,대진아파트,역곡동,22-1,1983-12-01,2,60,N
부천시,대풍푸른들아파트,원종동,May-67,2008-03-06,1,68,N
부천시,대한아파트,송내동,463-60,1994-10-22,1,161,Y
부천시,대현8차아파트,괴안동,107-11,1987-12-04,1,30,N
부천시,대현아파트,괴안동,118,1987-12-04,1,50,N
부천시,대현아파트,괴안동,102-2,1985-09-10,2,36,N
