집계일자,시군명,구분명,전화번호안내,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
2021-12-01,동두천시,동두천시치매안심센터,031-860-3395,11344,경기도 동두천시 중앙로 167,경기도 동두천시 생연동 714-9,37.89661147,127.0517171
2021-12-01,동두천시,농업기술정보센터,031-860-3326,11340,경기도 동두천시 강변서로 349,경기도 동두천시 상패동 307-7,37.89630485,127.0435672
2021-12-01,동두천시,어수정작은도서관,031-860-3275,11328,경기도 동두천시 중앙로 283,경기도 동두천시 생연동 605-4,37.90677664,127.0541529
2021-12-01,동두천시,운동장작은도서관,031-860-3295,11319,경기도 동두천시 어등로 50,경기도 동두천시 생연동 80,37.89938432,127.0696877
2021-12-01,동두천시,남산모루작은도서관,031-866-7970,11337,경기도 동두천시 상패로 138,경기도 동두천시 상패동 20-1,37.91211561,127.0513424
2021-12-01,동두천시,동두천커뮤니센터,031-860-2275,11324,경기도 동두천시 중앙로361번길 19,경기도 동두천시 보산동 426-34,37.91400227,127.0568827
2021-12-01,동두천시,소요동행정복지센터,031-860-3154,11307,경기도 동두천시 평화로 2706,경기도 동두천시 동두천동 262,37.92948972,127.0572543
2021-12-01,동두천시,종합운동장,031-860-3330,11320,경기도 동두천시 어등로 45,경기도 동두천시 생연동 70,37.90083977,127.0704987
2021-12-01,동두천시,자유수호평화박물관,031-860-3330,11307,경기도 동두천시 평화로2910번길 96-63,경기도 동두천시 상봉암동 162-10,37.94250187,127.0660561
2021-12-01,동두천시,두드림뮤직센터,031-860-2727,11324,경기도 동두천시 상패로216번길 42,경기도 동두천시 보산동 429-4,37.91584622,127.0565068
2021-12-01,동두천시,EM센터,031-860-2102,11302,경기도 동두천시 강변로 872,경기도 동두천시 동두천동 432-1,37.94229789,127.0563815
2021-12-01,동두천시,광암동다목적회관,031-860-3094,11322,경기도 동두천시 광암로61번길 21,경기도 동두천시 광암동 183-2,37.89373486,127.0891779
2021-12-01,동두천시,재활용센터,031-860-2102,11302,경기도 동두천시 강변로 872,경기도 동두천시 동두천동 432-1,37.94229789,127.0563815
2021-12-01,동두천시,동두천국민체육센터,031-860-3276,11360,경기도 동두천시 천보산로 688,경기도 동두천시 탑동동 799,37.89056124,127.0921526
2021-12-01,동두천시,동두천시의회,031-860-2525,11317,경기도 동두천시 방죽로 23,경기도 동두천시 생연동 457-9,37.90341068,127.0615412
2021-12-01,동두천시,생연1동행정복지센터,031-860-3013,11318,경기도 동두천시 장고갯로 140,경기도 동두천시 생연동 216-2,37.90739411,127.0658974
2021-12-01,동두천시,생연2동행정복지센터,031-860-3033,11331,경기도 동두천시 생연로 95,경기도 동두천시 생연동 810-5,37.90121789,127.0499055
2021-12-01,동두천시,중앙동행정복지센터,031-860-3053,11328,경기도 동두천시 생연로 172,경기도 동두천시 생연동 587-16,37.90775728,127.0532394
2021-12-01,동두천시,보산동행정복지센터,031-860-3073,11309,경기도 동두천시 싸리말로 28,경기도 동두천시 보산동 314-5,37.91764210,127.0613165
2021-12-01,동두천시,불현동행정복지센터,031-860-3094,11358,경기도 동두천시 행선로 123,경기도 동두천시 생연동 348,37.89851268,127.0624376
2021-12-01,동두천시,송내동행정복지센터,031-860-3134,11350,경기도 동두천시 동두천로 97,경기도 동두천시 지행동 722-3,37.89020657,127.0539089
2021-12-01,동두천시,상패동행정복지센터,031-860-3175,11340,경기도 동두천시 어수로 8,경기도 동두천시 상패동 122-2,37.90537169,127.0442776
2021-12-01,동두천시,보건소,031-860-3372,11344,경기도 동두천시 중앙로 167,경기도 동두천시 생연동 714-9,37.89661147,127.0517171
2021-12-01,동두천시,시민회관,031-860-3242,11340,경기도 동두천시 어수로 4,경기도 동두천시 상패동 122,37.90526403,127.0430631
2021-12-01,동두천시,평생교육원,031-860-3311,11350,경기도 동두천시 중앙로 110-18,경기도 동두천시 지행동 722-1,37.89088078,127.0532318
