공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
목동 근린공원,근린공원,경기도 가평군 북면 화악산로 45-16,경기도 가평군 북면 목동리 913-1번지,37.889351,127.549663,43113,"테니스장, 게이트볼장","야유회장, 어린이놀이터, 전망대, 휴게광장","도로, 주차장, 산책로","야생화화원, 조경녹지,",전시장,1974-12-26,경기도 가평군청,031-580-2372,2020-04-24
참전비 공원,근린공원,경기도 가평군 가평읍 읍내리 365-1,경기도 가평군 가평읍 읍내리 365-1,37.825655,127.515879,3300,-,"잔디밭, 벤치, 광장",-,조경녹지,-,1971-06-03,경기도 가평군청,031-580-2372,2020-04-24
호명호수공원,문화공원,경기도 가평군 청평면 상지로64번길 77,경기도 가평군 청평면 상천리 산392-1번지,37.765523,127.458932,241538,-,"광장, 산책로, 지당, 화계, 폭포, 휴게쉼터","화장실, 나들센터","전시회랑, 숲속공연장, 야외교실",농특산물체험장,2007-06-11,경기도 가평군청,031-580-2512,2020-04-24
가평 체육공원,체육공원,경기도 가평군 가평읍 문화로 131,경기도 가평군 가평읍 대곡리 316번지,37.822958,127.507268,108512,"실내체육관, 인조잔디구장3, 풋살장, 체력단련장","광장, 잔디광장","주차장4, 화장실",조경휴게지,나비원,2003-01-08,경기도 가평군청,031-580-2503,2020-04-24
다목적 체육공원,체육공원,경기도 가평군 상면 비룡로 2251,경기도 가평군 상면 연하리 546-25번지,37.803807,127.347213,25421,"축구장, 농구장, 게이트볼장, 체력단련장","잔디밭, 휴게쉼터, 광장","주차장, 관리실, 음수대",-,-,2009-09-10,경기도 가평군청,031-580-2503,2020-04-24
하면 어린이공원,어린이공원,경기도 가평군 조종면 현리 477-71,경기도 가평군 조종면 현리 477-71,37.811145,127.350656,1540,"주민체육시설, 운동시설","어린이놀이터, 조합놀이대, 휴게쉼터, 파고라, 등의자",주차장,-,"휀스, 도로",2015-08-21,경기도 가평군청,031-580-2344,2020-04-24
제4호 문화공원,문화공원,경기도 가평군 가평읍 달전리 705,경기도 가평군 가평읍 달전리 705,37.809285,127.522118,1763.7,,"놀이마당, 조합놀이대","잔디마당, 가제보, 평의자",-,"산책로, 중앙광장",2011-03-17,경기도 가평군청,031-580-2512,2020-04-24
가평 근린공원,근린공원,경기도 가평군 가평읍 장터길 14,경기도 가평군 가평읍 읍내리 395-1번지,37.828741,127.515613,23558,,"레일바이크, 매표소","화장실, 주차장",-,"화단, 파고라",2015-01-30,경기도 가평군청,031-580-2372,2020-04-24
제5호 문화공원,문화공원,경기도 가평군 가평읍 대곡리 243-16,경기도 가평군 가평읍 대곡리 243-16,37.826385,127.513082,3000,,,,어린이놀이체험시설,"잔디마당, 소나무동산, 휴게마당",2016-12-26,경기도 가평군청,031-580-4325,2020-04-24
제6호 문화공원,문화공원,경기도 가평군 가평읍 대곡리 144-14,경기도 가평군 가평읍 대곡리 144-14,37.821949,127.513015,1783,,,,,휴게마당,2016-12-26,경기도 가평군청,031-580-4325,2020-04-24
설악 체육공원,체육공원,경기도 가평군 설악면 자잠로 53-88,경기도 가평군 설악면 선촌리 32-4번지,37.684544,127.490246,44241,"테니스장, 축구장","휴식공간, 광장","관리사무소, 주차장",-,-,2009-09-10,경기도 가평군청,031-580-2503,2020-04-24
행신 7(소만),어린이공원,경기도 고양시 덕양구 화신로 42,경기도 고양시 덕양구 행신동 782번지,37.61652686,126.8404084,1501.3,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
행신 9(행복),어린이공원,경기도 고양시 덕양구 소만로 42,경기도 고양시 덕양구 행신동 792번지,37.61677906,126.8438132,1500.1,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
가라뫼,근린공원,,경기도 고양시 덕양구 행신동 800,37.61471614,126.8440441,10682,다목적운동장+체력단련시설,,,,,1990-12-08,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
밤나무(능곡),어린이공원,,경기도 고양시 덕양구 행신동 898,37.62797086,126.8384877,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
자작나무,어린이공원,,경기도 고양시 덕양구 행신동 906,37.62610342,126.8432835,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
참나무(능곡),어린이공원,경기도 고양시 덕양구 충장로152번길 39,경기도 고양시 덕양구 행신동 934번지 햇빛마을20단지아파트,37.62483133,126.838474,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
벚나무(능곡),어린이공원,경기도 고양시 덕양구 행신로279번길 84,경기도 고양시 덕양구 행신동 970번지,37.62219264,126.8427752,1500,,조합놀이대 등,화장실,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
살구나무,어린이공원,,경기도 고양시 덕양구 행신동 975,37.61897283,126.8404331,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
행신,근린공원,,경기도 고양시 덕양구 행신동 978,37.61919277,126.8366268,20395,농구장+체력단련시설,,,,,1992-12-28,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
서정,근린공원,,"경기도 고양시 덕양구 행신동 1071,1071-1",37.61883364,126.850922,30236,다목적운동장+게이트볼장+인라인스케이트장+체력단련시설,,,,,2003-11-12,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
행주산성,역사공원,,경기도 고양시 덕양구 행주외동 61,37.59564306,126.8254805,689730,,,,,,1971-09-27,경기도 고양시 행주산성관리사업소,031-8075-4640,2020-05-15
향동어린이1,어린이공원,,경기도 고양시 덕양구 향동동 135-6,37.60191332,126.8912592,1590,,,,,,2009-12-30,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
햇살공원,어린이공원,경기도 고양시 덕양구 행신로 278,경기도 고양시 덕양구 행신동 1074-1번지,37.61977212,126.8450412,1570,,조합놀이대 등,화장실,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
서정나루공원,어린이공원,,경기도 고양시 덕양구 행신동 1088-1,37.61471947,126.8465358,1512,,조합놀이대 등,,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
서두물,근린공원,,경기도 고양시 덕양구 행신동 1092-1,37.61744579,126.850653,16811,,,,,,2003-11-12,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
서정어린이공원,어린이공원,,경기도 고양시 덕양구 행신동 1096-1,37.61485758,126.8487894,1508,,조합놀이대 등,,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
