시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,
초등학교,석천초등학교,경기도 부천시 계남로 29,경기도 부천시 상3동 525-4,37.51039,126.752342,부천원미경찰서,Y,14,16,부천시
초등학교,약대초등학교,경기도 부천시  약대동 113,경기도 부천시 약대동 113,37.514258,126.773249,부천원미경찰서,Y,13,7,부천시
초등학교,중흥초등학교,경기도 부천시 계남로 214,경기도 부천시 중3동 1053,37.506355,126.773163,부천원미경찰서,Y,9,16,부천시
초등학교,상도초등학교,경기도 부천시 장말로 149,경기도 부천시 상동 418,37.494161,126.75908,부천원미경찰서,Y,10,14,부천시
초등학교,동곡초등학교,경기도 부천시 안곡로 240,경기도 부천시 역곡1동 227-3,37.489435,126.817506,부천원미경찰서,Y,18,16,부천시
초등학교,상원초등학교,경기도 부천시 부흥로 93,경기도 부천시 상동 570-7,37.497975,126.753374,부천원미경찰서,Y,9,22,부천시
초등학교,복사초교,경기도 부천시  소사본3동 404,경기도 부천시 소사본3동 404,37.46748,126.798148,부천원미경찰서,Y,8,12,부천시
초등학교,일신초교,경기도 부천시 범안로96번길 26,경기도 부천시 범박동 153-8,37.474037,126.80676,부천원미경찰서,Y,4,13,부천시
초등학교,소안초교,경기도 부천시 소사동로72번길 29,경기도 부천시 소사본동 409-9,37.473531,126.801341,부천원미경찰서,Y,20,9,부천시
유치원,반석유치원,경기도 부천시 원미로143번길 6,경기도 부천시 원미동 54-8번지,37.495432,126.791266,부천원미경찰서,Y,5,6,부천시
유치원,무지개유치원,경기도 부천시  괴안동 120-3,경기도 부천시 괴안동 120-3,37.48075,126.813946,부천원미경찰서,Y,3,8,부천시
어린이집,부천삼성어린이집,경기도 부천시 성오로 29,경기도 부천시 여월동 10-39,37.516954,126.803271,부천원미경찰서,Y,5,5,부천시
초등학교,덕산초교,경기도 부천시 오정로252번길 91,경기도 부천시 오정동 115-3,37.528322,126.795928,부천원미경찰서,Y,16,9,부천시
유치원,사랑아트유치원,경기도 부천시 석천로110번길 61,경기도 부천시 중동 595-8번지,37.496765,126.765065,부천원미경찰서,Y,4,6,부천시
유치원,오정유치원,경기도 부천시 원종로9번길 44,경기도 부천시 원종동 138-14번지,37.526006,126.801249,부천원미경찰서,Y,9,6,부천시
유치원,지혜샘유치원,경기도 부천시 오정로211번길 64,경기도 부천시 오정동 718번지,37.529805,126.781547,부천원미경찰서,Y,5,6,부천시
유치원,청심유치원,경기도 부천시 조마루로85번길 18,경기도 부천시 상동 557-1번지,37.501031,126.75347,부천원미경찰서,Y,3,6,부천시
초등학교,계남초등학교,경기도 부천시 조마루로 255,경기도 부천시 중1동 1180,37.498639,126.772001,부천원미경찰서,Y,8,12,부천시
초등학교,부곡초등학교,경기도 부천시 부흥로272번길 31,경기도 부천시 중2동 1211,37.49348,126.773204,부천원미경찰서,Y,18,12,부천시
초등학교,부명초등학교,경기도 부천시 조마루로 200,경기도 부천시 중1동 1176-1,37.498191,126.765312,부천원미경찰서,Y,10,14,부천시
초등학교,부일초등학교,경기도 부천시 원미로182번길 15,경기도 부천시 원미동 13,37.499065,126.794136,부천원미경찰서,Y,9,7,부천시
초등학교,부천초등학교,경기도 부천시 평천로 670,경기도 부천시 약대동 30,37.514497,126.765112,부천원미경찰서,Y,16,22,부천시
초등학교,상인초등학교,경기도 부천시 도약로 61,경기도 부천시 상3동 500-3,37.51264,126.756421,부천원미경찰서,Y,18,16,부천시
초등학교,신흥초등학교,경기도 부천시 길주로391번길 71,경기도 부천시 도당동 265-2,37.506645,126.78465,부천원미경찰서,Y,17,16,부천시
초등학교,심곡초등학교,경기도 부천시 장말로 309,경기도 부천시 심곡3동 300,37.491755,126.776376,부천원미경찰서,Y,19,12,부천시
초등학교,옥산초등학교,경기도 부천시 길주로 327,경기도 부천시 중3동 1080-2,37.503096,126.779561,부천원미경찰서,Y,3,7,부천시
초등학교,중앙초등학교,경기도 부천시 옥산로 30,경기도 부천시 중2동 1099-1,37.496196,126.78232,부천원미경찰서,Y,10,12,부천시
초등학교,상일초등학교,경기도 부천시 조마루로 69,경기도 부천시 상1동 550-4,37.488776,126.751638,부천원미경찰서,Y,9,22,부천시
초등학교,상미초등학교,경기도 부천시  상1동 585,경기도 부천시 상1동 585,37.488776,126.751638,부천원미경찰서,Y,9,16,부천시
초등학교,중동초등학교,경기도 부천시 심중로75번길 37,경기도 부천시 중동 1290,37.49177,126.769127,부천원미경찰서,Y,8,12,부천시
초등학교,창영초교,경기도 부천시 안곡로 22,경기도 부천시 괴안동 32,37.477792,126.804823,부천원미경찰서,Y,8,12,부천시
초등학교,산들초등학교,경기도 부천시 옥길로 31,경기도 부천시 옥길동 770,37.495452,126.780997,부천원미경찰서,Y,4,16,부천시
초등학교,범박초교,경기도 부천시  범박동 47,경기도 부천시 범박동 47,37.471144,126.810265,부천원미경찰서,Y,10,7,부천시
초등학교,부천남초교,경기도 부천시 경인로 238-7,경기도 부천시 심곡본동 674,37.482847,126.781914,부천원미경찰서,Y,9,7,부천시
초등학교,소사초교,경기도 부천시  소사본3동 184-1,경기도 부천시 소사본3동 184-1,37.475043,126.795811,부천원미경찰서,Y,23,8,부천시
초등학교,부원초교,경기도 부천시 호현로 460,경기도 부천시 소사본동 1동 143-6,37.478673,126.793096,부천원미경찰서,Y,9,7,부천시
초등학교,도원초교,경기도 부천시 마니로 13,경기도 부천시 심곡본1동 802,37.477315,126.773152,부천원미경찰서,Y,15,7,부천시
초등학교,솔안초교,경기도 부천시 경인로1185번길 32,경기도 부천시 송내동 704-9,37.485101,126.751801,부천원미경찰서,Y,22,7,부천시
유치원,소림사유치원,경기도 부천시 경인로216번길 106,경기도 부천시 심곡본1동 642-3,37.478622,126.778489,부천원미경찰서,Y,5,6,부천시
유치원,혜성유치원,경기도 부천시 범안로7번길 77,경기도 부천시 괴안동 110-25,37.482468,126.809249,부천원미경찰서,Y,3,6,부천시
유치원,대장유치원,경기도 부천시  소사본3동 403,경기도 부천시 소사본3동 403,37.467523,126.800657,부천원미경찰서,Y,4,11,부천시
유치원,백조유치원,경기도 부천시 원종로35번길 16,경기도 부천시 원종동 228-3,37.524738,126.804142,부천원미경찰서,Y,5,6,부천시
유치원,진호유치원,경기도 부천시 삼작로410번길 59,경기도 부천시 원종동 352,37.517221,126.807464,부천원미경찰서,Y,5,6,부천시
유치원,효성유치원,경기도 부천시 삼작로496번길 10-3,경기도 부천시 작동 48-2,37.518013,126.816297,부천원미경찰서,Y,5,6,부천시
