자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
안산대학교,무인대여소,경기도 안산시 상록구 안산대학로 155 ,경기도 안산시 상록구 일동 752,37.309045,126.873635,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,20,20,N,,N,1544-6339,안산도시공사,2017-02-24
한양연립,무인대여소,경기도 안산시 단원구 관산5길 26,경기도 안산시 단원구 원곡동 826,37.324586,126.797535,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,18,18,N,,N,1544-6339,안산도시공사,2017-02-24
충효입구삼거리,무인대여소,,경기도 안산시 단원구 고잔동 630,37.329361,126.829735,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,20,20,N,,N,1544-6339,안산도시공사,2017-02-24
한양대앞역(농수산물 도매시장),무인대여소,경기도 안산시 상록구 충장로 337,경기도 안산시 상록구 이동 211-5,37.310159,126.853641,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,20,20,N,,N,1544-6339,안산도시공사,2017-02-24
조각공원,무인대여소,경기도 안산시 상록구 성호로 189,경기도 안산시 상록구 부곡동 741,37.320494,126.857111,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,20,20,N,,N,1544-6339,안산도시공사,2017-02-24
화랑유원지 제2주차장,무인대여소,,경기도 안산시 단원구 초지동 617,37.325391,126.809414,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,30,30,N,,N,1544-6339,안산도시공사,2017-02-24
신둔천 자전거대여소,유인대여소,,경기도 이천시 송정동 427,37.30259965,127.4391636,10:00,18:00,"매주 월요일, 명절 당일",유료,"1인용: 30분 1,500원 60분 2,000원, 추가 10분당 1,000원2인용 30분 2,000원 60분 3,000원 추가 10분당 1,000원5인승 30분 10,000원 60분 20,000원 추가 10분당 3,000원8인승 30분 15,000원 60분 25,000원 추가 10분당 3,000원1인승전기자전거 30분 7,000원 60분 12,000원 추가 10분당 2,000원2인승 전기자전거 30분 12,000원 60분 20,000원 추가 10분당 2,000원깡통트레일러 30분 6,000원 60분 10,000원 추가10분당 2,000원장애인, 노인 50 할인",100,,Y,수동식,Y,031-631-7874,이천시장애인자립생활센터,2020-07-06
복하천 자전거대여소,유인대여소,경기도 이천시 경충대로2422번길 17,경기도 이천시 진리동 140,37.268432751,127.460353997,10:00,18:00,"매주 월요일, 명절 당일",유료,"1인용: 30분 1,500원 60분 2,000원, 추가 10분당 1,000원2인용 30분 2,000원 60분 3,000원 추가 10분당 1,000원5인승 30분 10,000원 60분 20,000원 추가 10분당 3,000원8인승 30분 15,000원 60분 25,000원 추가 10분당 3,000원1인승전기자전거 30분 7,000원 60분 12,000원 추가 10분당 2,000원2인승 전기자전거 30분 12,000원 60분 20,000원 추가 10분당 2,000원깡통트레일러 30분 6,000원 60분 10,000원 추가10분당 2,000원장애인, 노인 51 할인",101,,Y,수동식,Y,031-631-7875,이천시장애인자립생활센터,2020-07-06
정왕역 공공자전거대여소,유인대여소,경기도 시흥시 마유로418번길 15,경기도 시흥시 정왕동 2325-12번지,37.3517770699,126.7430095453,07:00,20:00,주말 휴무,무료,무료,133,11,Y,기계식,N,031-310-3138,경기도 시흥시청,2020-06-02
월곶역 공공자전거대여소,유인대여소,경기도 시흥시 월곶중앙로14번길 56,경기도 시흥시 월곶동 992-8번지,37.3918137935,126.7427087885,09:00,20:00,"매주 월요일,화요일 휴무",무료,무료,118,,Y,기계식,N,031-310-3138,경기도 시흥시청,2020-06-02
