"시군구별","보험료분위별","가입자구분별","항목","단위","2019 년",
"종로구","계","계","세대수","세대","82125",
"종로구","계","계","평균보험료","원","136792",
"종로구","계","계","적용인구","명","146309",
"종로구","계","직장","가입자","명","53273",
"종로구","계","직장","평균보험료","원","142769",
"종로구","계","직장","적용인구","명","99012",
"종로구","계","근로자","가입자","명","49226",
"종로구","계","근로자","평균보험료","원","137905",
"종로구","계","근로자","적용인구","명","89297",
"종로구","계","공교","가입자","명","4047",
"종로구","계","공교","평균보험료","원","201941",
"종로구","계","공교","적용인구","명","9715",
"종로구","계","지역","세대수","세대","28852",
"종로구","계","지역","평균보험료","원","125755",
"종로구","계","지역","적용인구","명","47297",
"종로구","1분위","계","세대수","세대","8125",
"종로구","1분위","계","평균보험료","원","24881",
"종로구","1분위","계","적용인구","명","12058",
"종로구","1분위","직장","가입자","명","6011",
"종로구","1분위","직장","평균보험료","원","30845",
"종로구","1분위","직장","적용인구","명","9359",
"종로구","1분위","근로자","가입자","명","6004",
"종로구","1분위","근로자","평균보험료","원","30836",
"종로구","1분위","근로자","적용인구","명","9348",
"종로구","1분위","공교","가입자","명","7",
"종로구","1분위","공교","평균보험료","원","37951",
"종로구","1분위","공교","적용인구","명","11",
"종로구","1분위","지역","세대수","세대","2114",
"종로구","1분위","지역","평균보험료","원","7923",
"종로구","1분위","지역","적용인구","명","2699",
"종로구","2분위","계","세대수","세대","7007",
"종로구","2분위","계","평균보험료","원","37749",
"종로구","2분위","계","적용인구","명","10271",
"종로구","2분위","직장","가입자","명","4472",
"종로구","2분위","직장","평균보험료","원","51789",
"종로구","2분위","직장","적용인구","명","7089",
"종로구","2분위","근로자","가입자","명","4460",
"종로구","2분위","근로자","평균보험료","원","51787",
"종로구","2분위","근로자","적용인구","명","7068",
"종로구","2분위","공교","가입자","명","12",
"종로구","2분위","공교","평균보험료","원","52647",
"종로구","2분위","공교","적용인구","명","21",
"종로구","2분위","지역","세대수","세대","2535",
"종로구","2분위","지역","평균보험료","원","12981",
"종로구","2분위","지역","적용인구","명","3182",
"종로구","3분위","계","세대수","세대","7940",
"종로구","3분위","계","평균보험료","원","41729",
"종로구","3분위","계","적용인구","명","11150",
"종로구","3분위","직장","가입자","명","4832",
"종로구","3분위","직장","평균보험료","원","59011",
"종로구","3분위","직장","적용인구","명","7310",
"종로구","3분위","근로자","가입자","명","4802",
"종로구","3분위","근로자","평균보험료","원","59006",
"종로구","3분위","근로자","적용인구","명","7270",
"종로구","3분위","공교","가입자","명","30",
"종로구","3분위","공교","평균보험료","원","59774",
"종로구","3분위","공교","적용인구","명","40",
"종로구","3분위","지역","세대수","세대","3108",
"종로구","3분위","지역","평균보험료","원","14860",
"종로구","3분위","지역","적용인구","명","3840",
"종로구","4분위","계","세대수","세대","7663",
"종로구","4분위","계","평균보험료","원","51488",
"종로구","4분위","계","적용인구","명","11226",
"종로구","4분위","직장","가입자","명","4807",
"종로구","4분위","직장","평균보험료","원","66462",
"종로구","4분위","직장","적용인구","명","7317",
"종로구","4분위","근로자","가입자","명","4731",
"종로구","4분위","근로자","평균보험료","원","66457",
"종로구","4분위","근로자","적용인구","명","7224",
"종로구","4분위","공교","가입자","명","76",
"종로구","4분위","공교","평균보험료","원","66739",
"종로구","4분위","공교","적용인구","명","93",
"종로구","4분위","지역","세대수","세대","2856",
"종로구","4분위","지역","평균보험료","원","26286",
"종로구","4분위","지역","적용인구","명","3909",
"종로구","5분위","계","세대수","세대","7157",
"종로구","5분위","계","평균보험료","원","66840",
"종로구","5분위","계","적용인구","명","11298",
"종로구","5분위","직장","가입자","명","4766",
"종로구","5분위","직장","평균보험료","원","77342",
"종로구","5분위","직장","적용인구","명","7542",
"종로구","5분위","근로자","가입자","명","4607",
"종로구","5분위","근로자","평균보험료","원","77313",
"종로구","5분위","근로자","적용인구","명","7335",
"종로구","5분위","공교","가입자","명","159",
"종로구","5분위","공교","평균보험료","원","78190",
"종로구","5분위","공교","적용인구","명","207",
"종로구","5분위","지역","세대수","세대","2391",
"종로구","5분위","지역","평균보험료","원","45906",
"종로구","5분위","지역","적용인구","명","3756",
"종로구","6분위","계","세대수","세대","6719",
"종로구","6분위","계","평균보험료","원","86022",
"종로구","6분위","계","적용인구","명","11344",
