시군명,시설구분명,시설명,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
부천시,야구시설,부천 야구장,경기도 부천시 춘의동 48-25,,37.5010914,126.7963577
부천시,야구시설,까치울야구장,경기도 부천시 작동 60-8번지,경기도 부천시 길주로 691,37.507292,126.8192658
부천시,테니스,원미공원테니스장,경기도 부천시 원미동 14-1,경기도 부천시 소사로 457 (원미동),37.4984234,126.7957657
부천시,테니스,시청 테니스장,경기도 부천시 중동 1156,,37.5028451,126.7658519
부천시,테니스,소사1배수지테니스장,경기도 부천시 소사본동 297-5,,37.4694617,126.8040412
부천시,테니스,종합운동장테니스장,경기도 부천시 춘의동 35,경기도 부천시 길주로 486 (춘의동),37.5042894,126.7960435
부천시,테니스,성주산 생활체육공원 테니스장,경기도 부천시 소사본동 1동 산70-4,,37.4724626,126.7889076
부천시,테니스,복사공원테니스장,경기도 부천시 중동 1212,경기도 부천시 장말로293번길 45 (중동),37.4927893,126.7746019
부천시,테니스,석천공원테니스장,경기도 부천시 상동 416번지,경기도 부천시 석천로 85-1 (상동),37.4955898,126.7602773
부천시,테니스,폐기물처리장내 테니스장,경기도 부천시 대장동 607,경기도 부천시 벌말로 122 (대장동),37.5418678,126.7662716
부천시,테니스,원미공원테니스장,경기도 부천시 원미동 14-1,경기도 부천시 소사로 457 (원미동),37.4984234,126.7957657
부천시,테니스,석천공원테니스장,경기도 부천시 상동 416번지,경기도 부천시 석천로 85-1 (상동),37.4955898,126.7602773
부천시,테니스,폐기물처리장내 테니스장,경기도 부천시 대장동 607,경기도 부천시 벌말로 122 (대장동),37.5418678,126.7662716
부천시,테니스,복사공원테니스장,경기도 부천시 중동 1212,경기도 부천시 장말로293번길 45 (중동),37.4927893,126.7746019
부천시,테니스,시청 테니스장,경기도 부천시 중동 1156,,37.5028451,126.7658519
부천시,테니스,소사1배수지테니스장,경기도 부천시 소사본동 297-5,,37.4694617,126.8040412
부천시,테니스,종합운동장테니스장,경기도 부천시 춘의동 35,경기도 부천시 길주로 486 (춘의동),37.5042894,126.7960435
부천시,테니스,성주산 생활체육공원 테니스장,경기도 부천시 소사본동 1동 산70-4,,37.4724626,126.7889076
부천시,수영장,소사국민체육센터 수영장,경기도 부천시 소사본동 400-1번지,경기도 부천시 소사로 108,37.4683524,126.7981547
부천시,수영장,오정레포츠센터 수영장,경기도 부천시 오정동 782,,37.5288411,126.7959079
부천시,구기체육관,부천 체육관,경기도 부천시 중동 1024번지,경기도 부천시 석천로 293,37.5135065,126.7626851
부천시,구기체육관,서촌 다목적체육관,경기도 부천시 상동 466번지,경기도 부천시 부일로 172,37.4882604,126.7496046
부천시,구기체육관,송내사회체육관,경기도 부천시 송내동 457번지,경기도 부천시 경인로120번길 45,37.4819034,126.7690499
부천시,투기,검도장,경기도 부천시 춘의동 8번지,경기도 부천시 소사로 482,37.503069,126.7988742
부천시,체육도장업,청지회에이스태권스쿨,경기도 부천시 중동 1186번지 건영2차상가 4층 ,"경기도 부천시 중동로 166, 4층 (중동, 건영2차상가)",37.494182,126.7680504
부천시,체육도장업,천마체대입시학원,경기도 부천시 상동 541-1번지 603호,"경기도 부천시 상동로 90, 603호 (상동, 메가플러스빌딩)",37.5050636,126.7536872
부천시,체육도장업,복싱체육관,경기도 부천시 중동 1033번지 우신빌딩 403호,"경기도 부천시 길주로 189, 403호 (중동, 우신빌딩)",37.5051199,126.7635263
부천시,체육도장업,힘찬태권도장,경기도 부천시 삼정동 314-1번지,"경기도 부천시 평천로721번길 21, 2층 (삼정동)",37.5160092,126.7706854
부천시,체육도장업,팀태권도,경기도 부천시 중동 5-19번지,"경기도 부천시 계남로 257, 2층 (중동, 동진빌딩)",37.5063186,126.7774108
부천시,체육도장업,해동검도장(검도),경기도 부천시 소사본동 400-2번지 복사골빌딩 302호,"경기도 부천시 소사로 102,  302호 (소사본동,복사골빌딩)",37.4677934,126.7979414
부천시,체육도장업,태풍체육관,경기도 부천시 심곡본동 657-6번지 ,경기도 부천시 경인로216번길 47 (심곡본동),37.4811215,126.779352
부천시,체육도장업,검도교실부천일검관,경기도 부천시 심곡동 160-2번지,경기도 부천시 부천로54번길 26  (심곡동),37.4885924,126.7850737
부천시,체육도장업,인성체육관,경기도 부천시 소사본동 409-4번지 제일프라자 301호,"경기도 부천시 은성로 132,  301호 (소사본동,제일프라자)",37.4729577,126.8041336
부천시,체육도장업,준 복싱클럽,경기도 부천시 상동 545-2번지 맘모스빌딩 405호,"경기도 부천시 소향로13번길 28-14, 405호 (상동, 맘모스빌딩)",37.50473172,126.7501371
부천시,체육도장업,경희대충무태권도체육관,경기도 부천시 소사본동 277-12번지 외7필지 한신아파트 상가 404호,,37.4739604,126.8003778
부천시,체육도장업,경기태권도,경기도 부천시 오정동 574-8번지,경기도 부천시 오정로232번길 26  (오정동),37.5275885,126.785741
부천시,체육도장업,MTA태권도장,경기도 부천시 소사본동 244-84번지,경기도 부천시 은성로 88-1 (소사본동),37.4747085,126.8005227
부천시,체육도장업,연세태권도장,경기도 부천시 고강동 399번지 2층,"경기도 부천시 고리울로52번길 35  (고강동,2층)",37.5255674,126.8214043
부천시,체육도장업,TWT 더위닝팀,"경기도 부천시 상동 573-2번지 송림프라자 203,2호","경기도 부천시 부흥로 2, 203,204호 (상동, 송림프라자)",37.49690383,126.7426322
부천시,체육도장업,연세송일태권도체육관,경기도 부천시 송내동 398-1번지,경기도 부천시 경인로60번길 20  (송내동),37.4827085,126.7616644
부천시,체육도장업,부천시청역PT MS24GYM,경기도 부천시 중동 1033 지하층 101일부호,"경기도 부천시 길주로 189, 지하층 101일부호 (중동, 우신빌딩)",37.50519187,126.7635821
