학교명,학교급구분,설립형태,소재지지번주소,소재지도로명주소,시도교육청명,교육지원청명,위도,경도
상인초등학교,초등학교,공립,경기도 부천시 상동 500-3,경기도 부천시 도약로 61,경기도교육청,경기도부천교육지원청,37.51273671,126.7564812
상동초등학교,초등학교,공립,경기도 부천시 상동 391-1,경기도 부천시 부흥로 70,경기도교육청,경기도부천교육지원청,37.49687804,126.750145
원미초등학교,초등학교,공립,경기도 부천시 심곡동 184,경기도 부천시 부흥로 423,경기도교육청,경기도부천교육지원청,37.48932141,126.7874697
부천동초등학교,초등학교,공립,경기도 부천시 역곡동 31,경기도 부천시 지봉로51번길 22,경기도교육청,경기도부천교육지원청,37.48808766,126.8042903
상지초등학교,초등학교,공립,경기도 부천시 중동 758,경기도 부천시 장말로 189,경기도교육청,경기도부천교육지원청,37.49360921,126.7635261
부광초등학교,초등학교,공립,경기도 부천시 중동 1029-3,경기도 부천시 석천로209번길 40,경기도교육청,경기도부천교육지원청,37.50685895,126.7620722
옥산초등학교,초등학교,공립,경기도 부천시 중동 1080-2,경기도 부천시 길주로 327,경기도교육청,경기도부천교육지원청,37.50314461,126.779464
성곡초등학교,초등학교,공립,경기도 부천시 여월동 325,경기도 부천시 오정구 여월로 75,경기도교육청,경기도부천교육지원청,37.51296385,126.8056436
고강초등학교,초등학교,공립,경기도 부천시 고강동 384,경기도 부천시 역곡로482번길 57,경기도교육청,경기도부천교육지원청,37.52674884,126.8201717
부천덕산초등학교,초등학교,공립,경기도 부천시 오정동 113-2,경기도 부천시 오정로252번길 91,경기도교육청,경기도부천교육지원청,37.53000945,126.7906706
원종초등학교,초등학교,공립,경기도 부천시 원종동 368,경기도 부천시 삼작로410번길 38,경기도교육청,경기도부천교육지원청,37.51813361,126.8065009
솔안초등학교,초등학교,공립,경기도 부천시 송내동 702-1,경기도 부천시 경인로1185번길 27,경기도교육청,경기도부천교육지원청,37.4856524,126.7509585
부원초등학교,초등학교,공립,경기도 부천시 소사본동 145-1,경기도 부천시 호현로447번길 14,경기도교육청,경기도부천교육지원청,37.47819553,126.7914321
부천부안초등학교,초등학교,공립,경기도 부천시 괴안동 103,경기도 부천시 소사구 경인로484번길 75,경기도교육청,경기도부천교육지원청,37.48009255,126.8119649
성주초등학교,초등학교,공립,경기도 부천시 송내동 486,경기도 부천시 소사구 성주로 118,경기도교육청,경기도부천교육지원청,37.47860961,126.7691474
상미초등학교,초등학교,공립,경기도 부천시 상동 588-7,경기도 부천시 상이로 64,경기도교육청,경기도부천교육지원청,37.49474229,126.7445553
상원초등학교,초등학교,공립,경기도 부천시 상동 570-7,경기도 부천시 부흥로 93,경기도교육청,경기도부천교육지원청,37.49819639,126.7533673
부천역곡초등학교,초등학교,공립,경기도 부천시 역곡동 178-17,경기도 부천시 역곡로65번길 12(역곡동),경기도교육청,경기도부천교육지원청,37.49079242,126.8074778
도당초등학교,초등학교,공립,경기도 부천시 도당동 106,경기도 부천시 삼작로268번길 21,경기도교육청,경기도부천교육지원청,37.51951631,126.7919242
부천신흥초등학교,초등학교,공립,경기도 부천시 도당동 265-2,경기도 부천시 길주로 391,경기도교육청,경기도부천교육지원청,37.5037875,126.7858841
부인초등학교,초등학교,공립,경기도 부천시 상동 398-3,경기도 부천시 신상로 16,경기도교육청,경기도부천교육지원청,37.48980258,126.7487452
송내초등학교,초등학교,공립,경기도 부천시 상동 430,경기도 부천시 석천로 27,경기도교육청,경기도부천교육지원청,37.49057152,126.7591783
약대초등학교,초등학교,공립,경기도 부천시 약대동 112,경기도 부천시 수도로66번길 14,경기도교육청,경기도부천교육지원청,37.51348639,126.7726546
부천초등학교,초등학교,공립,경기도 부천시 약대동 30,경기도 부천시 원미구 평천로 670(약대동),경기도교육청,경기도부천교육지원청,37.51416824,126.764863
동곡초등학교,초등학교,공립,경기도 부천시 역곡동 227,경기도 부천시 안곡로 248,경기도교육청,경기도부천교육지원청,37.49056826,126.8169705
부일초등학교,초등학교,공립,경기도 부천시 원미동 13-2,경기도 부천시 원미로182번길 31,경기도교육청,경기도부천교육지원청,37.49850436,126.7946794
부천북초등학교,초등학교,공립,경기도 부천시 원미동 99-1,경기도 부천시 원미구 원미로131번길 35,경기도교육청,경기도부천교육지원청,37.49366102,126.7881525
부천서초등학교,초등학교,공립,경기도 부천시 중동 815,경기도 부천시 부일로330번길 30,경기도교육청,경기도부천교육지원청,37.4876468,126.7656999
부천중원초등학교,초등학교,공립,경기도 부천시 중동 1026,경기도 부천시 원미구 석천로 273,경기도교육청,경기도부천교육지원청,37.51207048,126.7637974
부천부흥초등학교,초등학교,공립,경기도 부천시 중동 1038-2,경기도 부천시 계남로 154,경기도교육청,경기도부천교육지원청,37.5075617,126.7663647
중흥초등학교,초등학교,공립,경기도 부천시 중동 1053,경기도 부천시 계남로 214,경기도교육청,경기도부천교육지원청,37.50670279,126.7732296
부천중앙초등학교,초등학교,공립,경기도 부천시 중동 1099-1,경기도 부천시 옥산로 30,경기도교육청,경기도부천교육지원청,37.49649802,126.7818244
신도초등학교,초등학교,공립,경기도 부천시 중동 1172-1,경기도 부천시 부흥로 137,경기도교육청,경기도부천교육지원청,37.49782975,126.7581224
부명초등학교,초등학교,공립,경기도 부천시 중동 1176-1,경기도 부천시 조마루로 200,경기도교육청,경기도부천교육지원청,37.49781107,126.765227
계남초등학교,초등학교,공립,경기도 부천시 중동 1180,경기도 부천시 조마루로 255,경기도교육청,경기도부천교육지원청,37.49900744,126.7721163
부천부곡초등학교,초등학교,공립,경기도 부천시 중동 1211,경기도 부천시 부흥로272번길 31,경기도교육청,경기도부천교육지원청,37.4940837,126.7731935
부천수주초등학교,초등학교,공립,경기도 부천시 고강동 275-2,경기도 부천시 고강로 99,경기도교육청,경기도부천교육지원청,37.53119011,126.8150836
고리울초등학교,초등학교,공립,경기도 부천시 고강동 325-4,경기도 부천시 고리울로 93,경기도교육청,경기도부천교육지원청,37.52727514,126.8270819
부천삼정초등학교,초등학교,공립,경기도 부천시 삼정동 301,경기도 부천시 오정구 중동로 436,경기도교육청,경기도부천교육지원청,37.51891902,126.7707913
부천여월초등학교,초등학교,공립,경기도 부천시 여월동 47,경기도 부천시 성곡로63번길 23,경기도교육청,경기도부천교육지원청,37.51812066,126.7966901
부천대명초등학교,초등학교,공립,경기도 부천시 오정동 127-8,경기도 부천시 성오로 160,경기도교육청,경기도부천교육지원청,37.52825573,126.7973532
부천원일초등학교,초등학교,공립,경기도 부천시 원종동 104-3,경기도 부천시 소사로819번길 46,경기도교육청,경기도부천교육지원청,37.53028913,126.8028233
오정초등학교,초등학교,공립,경기도 부천시 원종동 247,경기도 부천시 소사로794번길 48,경기도교육청,경기도부천교육지원청,37.52717118,126.8075377
까치울초등학교,초등학교,공립,경기도 부천시 작동 125-6,경기도 부천시 역곡로324번길 14,경기도교육청,경기도부천교육지원청,37.51375276,126.814168
부천송일초등학교,초등학교,공립,경기도 부천시 송내동 397,경기도 부천시 경인로60번길 19,경기도교육청,경기도부천교육지원청,37.48293104,126.7625338
범박초등학교,초등학교,공립,경기도 부천시 범박동 산21-23,경기도 부천시 범박로 1,경기도교육청,경기도부천교육지원청,37.47028206,126.8113198
창영초등학교,초등학교,공립,경기도 부천시 괴안동 238-11,경기도 부천시 은성로 109-26,경기도교육청,경기도부천교육지원청,37.47517479,126.804885
소사초등학교,초등학교,공립,경기도 부천시 소사본동 193,경기도 부천시 은성로 58,경기도교육청,경기도부천교육지원청,37.47360683,126.7973336
복사초등학교,초등학교,공립,경기도 부천시 소사본동 405,경기도 부천시 소사로 96,경기도교육청,경기도부천교육지원청,37.46710109,126.7991925
부천남초등학교,초등학교,공립,경기도 부천시 심곡본동 731,경기도 부천시 성주로270번길 16-1,경기도교육청,경기도부천교육지원청,37.48140527,126.7826249
도원초등학교,초등학교,공립,경기도 부천시 심곡본동 802,경기도 부천시 소사구 마니로 13,경기도교육청,경기도부천교육지원청,37.47707381,126.7729625
부천양지초등학교,초등학교,공립,경기도 부천시 괴안동 42-17,경기도 부천시 안곡로 130,경기도교육청,경기도부천교육지원청,37.48058185,126.8155119
부천일신초등학교,초등학교,공립,경기도 부천시 범박동 153-8,경기도 부천시 범안로96번길 26,경기도교육청,경기도부천교육지원청,37.47357381,126.8070034
소일초등학교,초등학교,공립,경기도 부천시 소사본동 401-1,경기도 부천시 소사로102번길 78,경기도교육청,경기도부천교육지원청,37.46920297,126.8025316
부천덕산초등학교대장분교장,초등학교,공립,경기도 부천시 대장동 196-1,경기도 부천시 대장로 92,경기도교육청,경기도부천교육지원청,37.54221655,126.7911549
심곡초등학교,초등학교,공립,경기도 부천시 심곡동 300,경기도 부천시 장말로 309,경기도교육청,경기도부천교육지원청,37.49194919,126.7764042
중동초등학교,초등학교,공립,경기도 부천시 중동 1290,경기도 부천시 심중로75번길 37,경기도교육청,경기도부천교육지원청,37.4900314,126.7694207
심원초등학교,초등학교,공립,경기도 부천시 중동 1097,경기도 부천시 옥산로 66,경기도교육청,경기도부천교육지원청,37.49943267,126.781208
