날짜,자전거대여량,대여소명
2017-03,234,상동역
2017-04,225,상동역
2017-05,304,상동역
2017-06,343,상동역
2017-07,363,상동역
2017-08,519,상동역
2017-09,165,상동역
2017-10,379,상동역
2017-11,308,상동역
2017-12,142,상동역
2018-03,404,상동역
2018-04,356,상동역
2018-05,420,상동역
2018-06,419,상동역
2018-07,467,상동역
2018-08,491,상동역
2018-09,489,상동역
2018-10,501,상동역
2018-11,311,상동역
2018-12,128,상동역
2019-03,313,상동역
2019-04,415,상동역
2019-05,542,상동역
2019-06,455,상동역
2019-07,633,상동역
2019-08,709,상동역
2019-09,560,상동역
2019-10,548,상동역
2019-11,391,상동역
2019-12,215,상동역
2017-03,212,시청역
2017-04,285,시청역
2017-05,388,시청역
2017-06,484,시청역
2017-07,484,시청역
2017-08,432,시청역
2017-09,821,시청역
2017-10,458,시청역
2017-11,327,시청역
2017-12,136,시청역
2018-03,373,시청역
2018-04,445,시청역
2018-05,512,시청역
2018-06,544,시청역
2018-07,565,시청역
2018-08,636,시청역
2018-09,605,시청역
2018-10,689,시청역
2018-11,418,시청역
2018-12,224,시청역
2019-03,444,시청역
2019-04,468,시청역
2019-05,618,시청역
2019-06,612,시청역
2019-07,601,시청역
2019-08,703,시청역
2019-09,622,시청역
2019-10,640,시청역
2019-11,447,시청역
2019-12,319,시청역
2017-03,160,신중동역
2017-04,203,신중동역
2017-05,317,신중동역
2017-06,280,신중동역
2017-07,302,신중동역
2017-08,382,신중동역
2017-09,147,신중동역
2017-10,304,신중동역
2017-11,298,신중동역
2017-12,112,신중동역
2018-03,272,신중동역
2018-04,289,신중동역
2018-05,286,신중동역
2018-06,329,신중동역
2018-07,381,신중동역
2018-08,405,신중동역
2018-09,370,신중동역
2018-10,400,신중동역
2018-11,257,신중동역
2018-12,129,신중동역
2019-03,206,신중동역
2019-04,301,신중동역
2019-05,371,신중동역
2019-06,358,신중동역
2019-07,424,신중동역
2019-08,524,신중동역
2019-09,460,신중동역
2019-10,408,신중동역
2019-11,314,신중동역
2019-12,188,신중동역
2017-03,90,부천역
2017-04,125,부천역
2017-05,137,부천역
2017-06,174,부천역
2017-07,145,부천역
2017-08,239,부천역
2017-09,82,부천역
2017-10,146,부천역
2017-11,120,부천역
2017-12,87,부천역
2018-03,271,부천역
2018-04,309,부천역
2018-05,244,부천역
2018-06,228,부천역
2018-07,227,부천역
2018-08,302,부천역
2018-09,266,부천역
2018-10,332,부천역
2018-11,142,부천역
2018-12,56,부천역
2019-03,168,부천역
2019-04,207,부천역
2019-05,247,부천역
2019-06,415,부천역
2019-07,388,부천역
2019-08,393,부천역
2019-09,329,부천역
2019-10,392,부천역
2019-11,184,부천역
2019-12,91,부천역
2017-03,40,송내역
2017-04,72,송내역
2017-05,92,송내역
2017-06,114,송내역
2017-07,114,송내역
2017-08,136,송내역
2017-09,48,송내역
2017-10,111,송내역
2017-11,151,송내역
2017-12,45,송내역
2018-03,146,송내역
2018-04,164,송내역
2018-05,191,송내역
2018-06,198,송내역
2018-07,180,송내역
2018-08,192,송내역
2018-09,163,송내역
2018-10,170,송내역
2018-11,94,송내역
2018-12,37,송내역
2019-03,135,송내역
2019-04,161,송내역
2019-05,214,송내역
2019-06,157,송내역
2019-07,254,송내역
2019-08,225,송내역
2019-09,236,송내역
2019-10,197,송내역
2019-11,144,송내역
2019-12,91,송내역
2017-03,140,부천시청
2017-04,206,부천시청
2017-05,168,부천시청
2017-06,264,부천시청
2017-07,160,부천시청
2017-08,199,부천시청
2017-09,79,부천시청
2017-10,241,부천시청
2017-11,223,부천시청
2017-12,82,부천시청
2018-03,95,부천시청
2018-04,154,부천시청
2018-05,151,부천시청
2018-06,142,부천시청
2018-07,143,부천시청
2018-08,119,부천시청
2018-09,134,부천시청
2018-10,140,부천시청
2018-11,86,부천시청
2018-12,53,부천시청
2019-03,57,부천시청
2019-04,58,부천시청
2019-05,123,부천시청
2019-06,114,부천시청
2019-07,107,부천시청
2019-08,124,부천시청
2019-09,109,부천시청
2019-10,151,부천시청
2019-11,104,부천시청
2019-12,44,부천시청
2017-03,0,굴포천
2017-04,0,굴포천
2017-05,0,굴포천
2017-06,101,굴포천
2017-07,103,굴포천
2017-08,68,굴포천
2017-09,13,굴포천
2017-10,48,굴포천
2017-11,73,굴포천
2017-12,0,굴포천
2018-03,70,굴포천
2018-04,80,굴포천
2018-05,139,굴포천
2018-06,121,굴포천
2018-07,72,굴포천
2018-08,46,굴포천
2018-09,154,굴포천
2018-10,113,굴포천
2018-11,82,굴포천
2018-12,0,굴포천
2019-03,85,굴포천
2019-04,105,굴포천
2019-05,107,굴포천
2019-06,155,굴포천
2019-07,64,굴포천
2019-08,94,굴포천
2019-09,125,굴포천
2019-10,231,굴포천
2019-11,117,굴포천
2019-12,7,굴포천
