,정류소id,정류소명,노선id,최소배차,최대배차,첫차시간,막차시간
0,211000062.0,KCC스위첸아파트.한신아파트,210000073,13,17,05:20,23:15
0,211000062.0,KCC스위첸아파트.한신아파트,210000006,7,15,05:00,00:10
0,211000062.0,KCC스위첸아파트.한신아파트,210000004,5,10,05:15,00:00
0,211000062.0,KCC스위첸아파트.한신아파트,210000007,7,15,04:40,00:10
0,211000062.0,KCC스위첸아파트.한신아파트,210000038,7,10,05:45,00:00
0,212000004.0,KEB하나은행도당동지점,210000026,15,20,05:10,23:30
0,212000004.0,KEB하나은행도당동지점,210000002,5,12,05:00,23:30
0,212000004.0,KEB하나은행도당동지점,210000042,13,25,05:25,00:10
0,212000004.0,KEB하나은행도당동지점,210000069,13,25,05:20,00:05
0,212000004.0,KEB하나은행도당동지점,210000036,7,15,05:50,00:20
0,210000373.0,KEB하나은행도당동지점,210000026,15,20,05:10,23:30
0,210000373.0,KEB하나은행도당동지점,210000002,5,12,05:00,23:30
0,210000373.0,KEB하나은행도당동지점,210000042,13,25,05:25,00:10
0,210000373.0,KEB하나은행도당동지점,210000069,13,25,05:20,00:05
0,210000373.0,KEB하나은행도당동지점,210000036,7,15,05:50,00:20
0,210000101.0,KT부천지사,218000007,10,15,05:50,00:25
0,210000101.0,KT부천지사,210000013,13,20,05:25,23:25
0,210000101.0,KT부천지사,210000001,6,10,04:50,00:00
0,210000101.0,KT부천지사,210000038,7,10,05:45,00:00
0,210000101.0,KT부천지사,210000024,7,20,04:50,23:05
0,210000101.0,KT부천지사,212000002,8,15,05:25,01:20
0,210000365.0,KT부천지사,218000007,10,15,05:50,00:25
0,210000365.0,KT부천지사,210000013,13,20,05:25,23:25
0,210000365.0,KT부천지사,210000001,6,10,04:50,00:00
0,210000365.0,KT부천지사,210000038,7,10,05:45,00:00
0,210000365.0,KT부천지사,210000024,7,20,04:50,23:05
0,210000365.0,KT부천지사,212000002,8,15,05:25,01:20
0,210000013.0,KT부천지사사거리,210000033,5,12,05:48,23:45
0,210000013.0,KT부천지사사거리,224000004,10,15,06:05,00:00
0,210000013.0,KT부천지사사거리,224000028,10,15,06:20,23:40
0,210000013.0,KT부천지사사거리,224000005,20,30,06:00,00:00
0,210000013.0,KT부천지사사거리,210000019,10,15,05:25,23:55
0,210000013.0,KT부천지사사거리,210000057,12,20,05:40,00:10
0,210000013.0,KT부천지사사거리,217000006,8,12,05:15,23:30
0,210000003.0,KT부천지사사거리,210000033,5,12,05:48,23:45
0,210000003.0,KT부천지사사거리,224000004,10,15,06:05,00:00
0,210000003.0,KT부천지사사거리,224000028,10,15,06:20,23:40
0,210000003.0,KT부천지사사거리,216000019,10,20,05:30,23:40
0,210000003.0,KT부천지사사거리,224000005,20,30,06:00,00:00
0,210000003.0,KT부천지사사거리,210000019,10,15,05:25,23:55
0,210000003.0,KT부천지사사거리,210000057,12,20,05:40,00:10
0,210000003.0,KT부천지사사거리,217000006,8,12,05:15,23:30
0,210000003.0,KT부천지사사거리,212000002,8,15,05:25,01:20
0,210000353.0,KT북부천지사.365안전교육장,210000027,10,20,05:50,23:40
0,210000353.0,KT북부천지사.365안전교육장,210000029,20,30,05:45,23:40
0,210000353.0,KT북부천지사.365안전교육장,210000001,6,10,04:50,00:00
0,210000353.0,KT북부천지사.365안전교육장,210000069,13,25,05:20,00:05
0,210000353.0,KT북부천지사.365안전교육장,210000043,10,20,05:20,23:30
0,210000353.0,KT북부천지사.365안전교육장,210000034,10,15,06:00,00:02
0,210000353.0,KT북부천지사.365안전교육장,210000012,4,12,05:16,00:25
0,210000351.0,KT북부천지사.365안전교육장,210000027,10,20,05:50,23:40
0,210000351.0,KT북부천지사.365안전교육장,210000029,20,30,05:45,23:40
0,210000351.0,KT북부천지사.365안전교육장,210000001,6,10,04:50,00:00
0,210000351.0,KT북부천지사.365안전교육장,210000069,13,25,05:20,00:05
0,210000351.0,KT북부천지사.365안전교육장,210000043,10,20,05:20,23:30
0,210000351.0,KT북부천지사.365안전교육장,210000034,10,15,06:00,00:02
0,210000351.0,KT북부천지사.365안전교육장,210000012,4,12,05:16,00:25
0,210000525.0,KT중동지사,,,,,
0,210000551.0,KT중동지사,,,,,
0,210000433.0,SB마트,,,,,
0,211000266.0,SK뷰아파트,210000062,12,14,05:15,23:30
0,211000238.0,SK뷰아파트,210000062,12,14,05:15,23:30
0,210000582.0,e편한세상1.3차아파트,,,,,
0,210000584.0,e편한세상1.3차아파트,,,,,
0,210000593.0,e편한세상1차아파트,,,,,
0,210000583.0,e편한세상2차.예원아파트,,,,,
0,210000599.0,e편한세상2차.예원아파트,,,,,
0,210000589.0,e편한세상4차아파트,,,,,
0,212000358.0,가구전시장,210000041,28,30,05:30,23:55
0,212000358.0,가구전시장,210000072,20,30,06:00,00:10
0,212000358.0,가구전시장,210000098,0,0,00:00,00:00
0,212000325.0,가구전시장,210000041,28,30,05:30,23:55
0,212000325.0,가구전시장,210000072,20,30,06:00,00:10
0,212000325.0,가구전시장,210000098,0,0,00:00,00:00
0,210000421.0,가톨릭대학교,210000062,12,14,05:15,23:30
0,210000036.0,가톨릭대학교입구.보람쉬움아파트,210000027,10,20,05:50,23:40
0,210000036.0,가톨릭대학교입구.보람쉬움아파트,210000014,5,20,05:00,00:05
0,210000036.0,가톨릭대학교입구.보람쉬움아파트,210000009,10,11,05:30,23:30
0,210000309.0,가톨릭대학교입구.보람쉬움아파트,210000027,10,20,05:50,23:40
0,210000309.0,가톨릭대학교입구.보람쉬움아파트,210000014,5,20,05:00,00:05
0,210000309.0,가톨릭대학교입구.보람쉬움아파트,210000009,10,11,05:30,23:30
0,210000422.0,가톨릭대학교정문,210000062,12,14,05:15,23:30
0,210000273.0,강남시장,210000026,15,20,05:10,23:30
0,210000269.0,강남시장,210000026,15,20,05:10,23:30
0,210000044.0,경기국제통상고.포도마을뉴서울.중앙공원,210000002,5,12,05:00,23:30
0,210000044.0,경기국제통상고.포도마을뉴서울.중앙공원,210000064,8,10,05:00,23:30
