,정류소id,val,정류소명,위도,경도
0,210000001.0,164.0,삼산체육관역.영상문화단지정문,37.5077667,126.7421
1,210000003.0,784.0,KT부천지사사거리,37.4859333,126.7764667
2,210000004.0,935.0,부천대학교,37.4886833,126.7770333
3,210000005.0,935.0,부천소방서.부천대학사거리,37.4915,126.7776833
4,210000006.0,572.0,기업은행.위브더스테이트5단지,37.49835,126.7772167
5,210000008.0,127.0,영상단지후문,37.5092333,126.7492
6,210000009.0,291.0,상동역5번출구.상동지하차도,37.50605,126.7519333
7,210000010.0,586.0,위브더스테이트5단지,37.4985,126.7777333
8,210000011.0,935.0,부천소방서.부천대학사거리,37.4911333,126.7780333
9,210000012.0,935.0,부천대학교,37.4883833,126.7774333
10,210000013.0,607.0,KT부천지사사거리,37.48575,126.7767333
11,210000016.0,427.0,소명여중고입구,37.4883833,126.7900333
12,210000017.0,321.0,부천성모병원입구,37.4862667,126.7905167
13,210000018.0,174.0,역곡역.역곡북부시장입구,37.48615,126.8121167
14,210000019.0,174.0,역곡1동주민센터입구,37.4883833,126.8162667
15,210000021.0,321.0,부천성모병원입구,37.4861167,126.7903333
16,210000024.0,177.0,당아래,37.5045167,126.7948333
17,210000025.0,177.0,당아래,37.5046667,126.7950167
18,210000026.0,92.0,덕유마을,37.5105833,126.766
19,210000027.0,92.0,팰리스카운티.장말문예사거리,37.4924667,126.76775
20,210000028.0,92.0,부천중학교,37.4923,126.7687333
21,210000029.0,92.0,상공회의소,37.4917333,126.7726833
22,210000030.0,92.0,심곡초등학교,37.4912667,126.7760833
23,210000031.0,92.0,부천대후문,37.4908333,126.7789833
24,210000032.0,92.0,세일병원입구,37.4904167,126.7819
25,210000033.0,266.0,대화아파트,37.4842667,126.7960833
26,210000034.0,266.0,금강맨션,37.4840167,126.7998333
27,210000035.0,266.0,대진아파트,37.4835333,126.8015667
28,210000036.0,266.0,가톨릭대학교입구.보람쉬움아파트,37.4836333,126.8043833
29,210000037.0,506.0,부천세무서,37.5075333,126.77525
30,210000038.0,218.0,부천교육지원청.부천세무서,37.5067833,126.7740167
31,210000039.0,218.0,설악마을.중흥마을,37.50715,126.77115
32,210000040.0,218.0,중흥고교,37.5075667,126.7679167
