,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
223,202103,7호선,까치울,1,0,3741,713,10429,3886,31650,5969,39394,9368,17812,4915,9566,4928,8760,6331,9502,7171,9489,7283,8530,7668,9295,8185,9855,11640,10781,18177,10509,29145,5899,26055,4363,15386,3741,13089,2579,13428,638,5698,0,31,0,0,0,0,0,0,20210403
243,202103,7호선,상동,2,0,4162,1735,14777,4488,40742,11527,35614,27033,17485,25537,12598,14045,13401,13923,15205,16118,15200,16790,15756,17608,17258,17303,20413,19371,22858,27883,27484,41794,17249,37448,14978,19158,17015,14196,16069,14967,3415,8928,12,777,0,0,0,0,0,0,20210403
248,202103,7호선,신중동,2,0,5127,1854,16089,5642,46401,15053,43426,45797,21899,25109,15372,14827,15145,12026,15808,14205,16430,15742,16155,13947,17053,16934,19984,19376,26450,27124,41589,44954,18303,41711,18902,19639,13247,16278,11965,17038,2200,10826,5,220,0,0,0,0,0,0,20210403
262,202103,7호선,춘의,1,0,4838,1232,9352,6732,23662,29024,24926,51724,12926,17754,8934,7627,7806,5879,8369,6541,8864,8044,8374,6656,9124,8104,11519,8649,27073,12274,42107,19875,16435,17528,9763,11194,8439,10056,4724,9197,1026,5225,1,35,0,0,0,0,0,0,20210403
439,202103,경인선,소사,1087,48,17080,2783,16157,5799,36226,7364,31819,11504,19733,8603,15457,8933,13723,9879,14296,11442,13407,11328,12022,11823,11927,12531,12597,16534,14686,21931,12508,30476,7374,27169,5220,15879,4629,15383,3561,14476,1200,7967,31,936,0,0,0,0,0,0,20210403
441,202103,경인선,역곡,814,10,26399,4035,43544,11019,121623,12968,114495,32788,58549,30395,38376,24782,34395,25677,36981,28690,36314,30125,31752,31591,32520,32536,38285,49406,42706,65763,36473,109975,22401,96623,17904,54771,16732,48360,14364,50579,3518,21185,53,874,0,0,0,0,0,0,20210403
447,202103,경인선,중동,702,13,10576,1294,16311,4343,43928,5839,32927,12884,17444,7898,12737,7214,11946,7721,12718,9271,12118,9834,10459,10381,10395,11488,11642,14845,12361,19676,12771,30804,6947,29772,5018,16769,4157,14185,3125,14625,955,7265,81,1074,0,0,0,0,0,0,20210403
826,202102,7호선,까치울,0,0,2863,559,7906,3187,23552,4196,30069,6339,13845,3932,8010,3650,7209,4762,7955,5695,7823,5808,7078,6220,7195,6688,7432,9481,8094,13805,7840,23127,4168,20807,3577,12863,3225,12595,1826,9165,407,3383,1,9,0,0,0,0,0,0,20210303
846,202102,7호선,상동,2,1,3167,1426,11409,3762,29808,8600,28214,21260,13721,21034,10406,11293,11316,12262,13255,13710,13122,15230,13498,15144,15090,15194,17343,15973,18745,21361,23530,32416,14305,29591,14159,15268,16392,13429,8273,11408,2026,5772,6,394,0,0,0,0,0,0,20210303
851,202102,7호선,신중동,3,0,4047,1445,12262,4799,34952,11448,34189,35650,17121,20918,12887,12270,12568,9521,14114,12164,13683,14159,14199,12398,14788,14491,16387,16126,21154,21402,33963,34896,15137,32397,16594,15706,12364,15616,7033,12516,1550,6952,0,189,0,0,0,0,0,0,20210303
