,명 칭,위 치
0,종합운동장,경기도 부천시 소사로 482(춘의동)
1,부천체육관,경기도 부천시 석천로 293(중동)
2,소사국민체육센터,경기도 부천시 소사로 108 (소사본동)
3,오정레포츠센터,경기도 부천시 상오정로 169 (오정동)
4,송내사회체육관,경기도 부천시 경인로120번길 45 (송내동)
5,서촌다목적체육관,경기도 부천시 부일로 172(송내동) 
6,부천배드민턴 전용체육관,경기도 부천시 은성로 2번길 2 (소사본동)
7,테니스장,경기도 부천시 소사로 457 (원미동)
8,테니스장,경기도 부천시 장말로293번길 45 (중동)
9,테니스장,경기도 부천시 소사동로72번길 80 (소사본동)
10,성무정,경기도 부천시 성무로 43 (심곡본동)
11,원미운동장,경기도 부천시 소사로 457 (원미동)
12,성주산생활체육공원,경기도 부천시호현로387번길 38-1(소사본동)
13,북부수자원생태공원,경기도 부천시 벌말로 220(대장동)
14,남부수자원생태공원,경기도 부천시 연동로 89 (옥길동)
15,오정대공원,경기도 부천시 상오정로 183 (오정동)
16,소사2배수지,경기도 부천시 소사로 77 (소사본동)
17,옥길지구 근린공원2호,경기도 부천시 옥길로56번길 140(옥길동)
18,역곡공원,경기도 부천시 지봉로51번길 77 (역곡동)
19,송내배수지,경기도 부천시 마니로33 (송내동)
20,복사골스포츠센터,경기도 부천시 장말로 107 (상동)
