,Month,강수,강수형태,기온,풍속,풍향,자전거대여소명,학원_5분이내수,학원_5분이내거리최소,학원_5분이내거리평균,학원_5분이내거리최대,버스_5분이내수,버스_5분이내거리최소,버스_5분이내거리평균,버스_5분이내거리최대,콘서트장_5분이내수,콘서트장_5분이내거리최소,콘서트장_5분이내거리평균,콘서트장_5분이내거리최대,공공시설_5분이내수,공공시설_5분이내거리최소,공공시설_5분이내거리평균,공공시설_5분이내거리최대,홀_5분이내수,홀_5분이내거리최소,홀_5분이내거리평균,홀_5분이내거리최대,미술관박물관(전시시설)_5분이내수,미술관박물관(전시시설)_5분이내거리최소,미술관박물관(전시시설)_5분이내거리평균,미술관박물관(전시시설)_5분이내거리최대,학교_5분이내수,학교_5분이내거리최소,학교_5분이내거리평균,학교_5분이내거리최대,체육시설_5분이내수,체육시설_5분이내거리최소,체육시설_5분이내거리평균,체육시설_5분이내거리최대,스타벅스_5분이내수,스타벅스_5분이내거리최소,스타벅스_5분이내거리평균,스타벅스_5분이내거리최대,부동산_5분이내수,부동산_5분이내거리최소,부동산_5분이내거리평균,부동산_5분이내거리최대,학문/교육_5분이내수,학문/교육_5분이내거리최소,학문/교육_5분이내거리평균,학문/교육_5분이내거리최대,음식점_5분이내수,음식점_5분이내거리최소,음식점_5분이내거리평균,음식점_5분이내거리최대,생활서비스_5분이내수,생활서비스_5분이내거리최소,생활서비스_5분이내거리평균,생활서비스_5분이내거리최대,소매점_5분이내수,소매점_5분이내거리최소,소매점_5분이내거리평균,소매점_5분이내거리최대,스포츠_5분이내수,스포츠_5분이내거리최소,스포츠_5분이내거리평균,스포츠_5분이내거리최대,숙박_5분이내수,숙박_5분이내거리최소,숙박_5분이내거리평균,숙박_5분이내거리최대,관광/여가/오락_5분이내수,관광/여가/오락_5분이내거리최소,관광/여가/오락_5분이내거리평균,관광/여가/오락_5분이내거리최대,지하철 역_5분이내수,지하철 역_5분이내거리최소,지하철 역_5분이내거리평균,지하철 역_5분이내거리최대,청소년 수련시설_5분이내수,청소년 수련시설_5분이내거리최소,청소년 수련시설_5분이내거리평균,청소년 수련시설_5분이내거리최대,자전거대여량
0,17-Mar,0.012096774,0.036290323,6.563172043,0.94422043,238.6814516,상동역,263,0.000708897,0.002220011,0.00395224,23,0.000541186,0.002559065,0.003993488,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,0,0.0025,0.0025,0.0025,30,0.000883232,0.002080834,0.0039522,3,0.000322377,0.00181635,0.003221575,69,0.001035862,0.00268478,0.003915722,316,0.000314811,0.00224105,0.004073281,514,0.000314811,0.002471582,0.004073281,264,0.000314811,0.002397049,0.004073281,635,0.000314811,0.002498759,0.004073281,7,0.001598286,0.002745191,0.003542996,10,0.002399571,0.00276052,0.00361051,99,0.000757387,0.002345624,0.003811875,1,0.003158012,0.003158012,0.003158012,0,0.0025,0.0025,0.0025,234
1,17-Apr,0.074166667,0.055555556,13.50166665,1.083333333,220.9541667,상동역,263,0.000708897,0.002220011,0.00395224,23,0.000541186,0.002559065,0.003993488,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,0,0.0025,0.0025,0.0025,30,0.000883232,0.002080834,0.0039522,3,0.000322377,0.00181635,0.003221575,69,0.001035862,0.00268478,0.003915722,316,0.000314811,0.00224105,0.004073281,514,0.000314811,0.002471582,0.004073281,264,0.000314811,0.002397049,0.004073281,635,0.000314811,0.002498759,0.004073281,7,0.001598286,0.002745191,0.003542996,10,0.002399571,0.00276052,0.00361051,99,0.000757387,0.002345624,0.003811875,1,0.003158012,0.003158012,0.003158012,0,0.0025,0.0025,0.0025,225
2,17-May,0.027016129,0.037634409,18.49327955,0.996102151,237.0645161,상동역,263,0.000708897,0.002220011,0.00395224,23,0.000541186,0.002559065,0.003993488,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,0,0.0025,0.0025,0.0025,30,0.000883232,0.002080834,0.0039522,3,0.000322377,0.00181635,0.003221575,69,0.001035862,0.00268478,0.003915722,316,0.000314811,0.00224105,0.004073281,514,0.000314811,0.002471582,0.004073281,264,0.000314811,0.002397049,0.004073281,635,0.000314811,0.002498759,0.004073281,7,0.001598286,0.002745191,0.003542996,10,0.002399571,0.00276052,0.00361051,99,0.000757387,0.002345624,0.003811875,1,0.003158012,0.003158012,0.003158012,0,0.0025,0.0025,0.0025,304
3,17-Jun,0.055555556,0.0,22.89027779,0.988055556,226.5194444,상동역,263,0.000708897,0.002220011,0.00395224,23,0.000541186,0.002559065,0.003993488,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,0,0.0025,0.0025,0.0025,30,0.000883232,0.002080834,0.0039522,3,0.000322377,0.00181635,0.003221575,69,0.001035862,0.00268478,0.003915722,316,0.000314811,0.00224105,0.004073281,514,0.000314811,0.002471582,0.004073281,264,0.000314811,0.002397049,0.004073281,635,0.000314811,0.002498759,0.004073281,7,0.001598286,0.002745191,0.003542996,10,0.002399571,0.00276052,0.00361051,99,0.000757387,0.002345624,0.003811875,1,0.003158012,0.003158012,0.003158012,0,0.0025,0.0025,0.0025,343
4,17-Jul,0.663844083,0.0,26.81908601,0.983333333,205.8051075,상동역,263,0.000708897,0.002220011,0.00395224,23,0.000541186,0.002559065,0.003993488,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,0,0.0025,0.0025,0.0025,30,0.000883232,0.002080834,0.0039522,3,0.000322377,0.00181635,0.003221575,69,0.001035862,0.00268478,0.003915722,316,0.000314811,0.00224105,0.004073281,514,0.000314811,0.002471582,0.004073281,264,0.000314811,0.002397049,0.004073281,635,0.000314811,0.002498759,0.004073281,7,0.001598286,0.002745191,0.003542996,10,0.002399571,0.00276052,0.00361051,99,0.000757387,0.002345624,0.003811875,1,0.003158012,0.003158012,0.003158012,0,0.0025,0.0025,0.0025,363
5,17-Aug,0.182392474,0.0,25.99610214,1.053629032,179.8319892,상동역,263,0.000708897,0.002220011,0.00395224,23,0.000541186,0.002559065,0.003993488,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,0,0.0025,0.0025,0.0025,30,0.000883232,0.002080834,0.0039522,3,0.000322377,0.00181635,0.003221575,69,0.001035862,0.00268478,0.003915722,316,0.000314811,0.00224105,0.004073281,514,0.000314811,0.002471582,0.004073281,264,0.000314811,0.002397049,0.004073281,635,0.000314811,0.002498759,0.004073281,7,0.001598286,0.002745191,0.003542996,10,0.002399571,0.00276052,0.00361051,99,0.000757387,0.002345624,0.003811875,1,0.003158012,0.003158012,0.003158012,0,0.0025,0.0025,0.0025,519
6,17-Sep,0.039583333,0.0,22.03819445,0.874861111,196.2486111,상동역,263,0.000708897,0.002220011,0.00395224,23,0.000541186,0.002559065,0.003993488,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,0,0.0025,0.0025,0.0025,30,0.000883232,0.002080834,0.0039522,3,0.000322377,0.00181635,0.003221575,69,0.001035862,0.00268478,0.003915722,316,0.000314811,0.00224105,0.004073281,514,0.000314811,0.002471582,0.004073281,264,0.000314811,0.002397049,0.004073281,635,0.000314811,0.002498759,0.004073281,7,0.001598286,0.002745191,0.003542996,10,0.002399571,0.00276052,0.00361051,99,0.000757387,0.002345624,0.003811875,1,0.003158012,0.003158012,0.003158012,0,0.0025,0.0025,0.0025,165
7,17-Oct,0.033198925,0.043010753,15.67190859,0.870698925,201.1236559,상동역,263,0.000708897,0.002220011,0.00395224,23,0.000541186,0.002559065,0.003993488,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,0,0.0025,0.0025,0.0025,30,0.000883232,0.002080834,0.0039522,3,0.000322377,0.00181635,0.003221575,69,0.001035862,0.00268478,0.003915722,316,0.000314811,0.00224105,0.004073281,514,0.000314811,0.002471582,0.004073281,264,0.000314811,0.002397049,0.004073281,635,0.000314811,0.002498759,0.004073281,7,0.001598286,0.002745191,0.003542996,10,0.002399571,0.00276052,0.00361051,99,0.000757387,0.002345624,0.003811875,1,0.003158012,0.003158012,0.003158012,0,0.0025,0.0025,0.0025,379
8,17-Nov,0.055833333,0.079166667,5.852222221,1.190555556,228.4013889,상동역,263,0.000708897,0.002220011,0.00395224,23,0.000541186,0.002559065,0.003993488,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,0,0.0025,0.0025,0.0025,30,0.000883232,0.002080834,0.0039522,3,0.000322377,0.00181635,0.003221575,69,0.001035862,0.00268478,0.003915722,316,0.000314811,0.00224105,0.004073281,514,0.000314811,0.002471582,0.004073281,264,0.000314811,0.002397049,0.004073281,635,0.000314811,0.002498759,0.004073281,7,0.001598286,0.002745191,0.003542996,10,0.002399571,0.00276052,0.00361051,99,0.000757387,0.002345624,0.003811875,1,0.003158012,0.003158012,0.003158012,0,0.0025,0.0025,0.0025,308
9,17-Dec,0.027956989,0.182795699,-1.099596774,1.091129032,233.6303763,상동역,263,0.000708897,0.002220011,0.00395224,23,0.000541186,0.002559065,0.003993488,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,1,0.003187164,0.003187164,0.003187164,0,0.0025,0.0025,0.0025,0,0.0025,0.0025,0.0025,30,0.000883232,0.002080834,0.0039522,3,0.000322377,0.00181635,0.003221575,69,0.001035862,0.00268478,0.003915722,316,0.000314811,0.00224105,0.004073281,514,0.000314811,0.002471582,0.004073281,264,0.000314811,0.002397049,0.004073281,635,0.000314811,0.002498759,0.004073281,7,0.001598286,0.002745191,0.003542996,10,0.002399571,0.00276052,0.00361051,99,0.000757387,0.002345624,0.003811875,1,0.003158012,0.003158012,0.003158012,0,0.0025,0.0025,0.0025,142
