,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소
36,주부토주먹고기,음식,한식,한식/백반/한정식,126.784834421432,37.4850158410041,경기도 부천시 부천로10번길 33
63,삼천리자전거,소매,운동/경기용품소매,자전거판매,126.80453913587,37.5256644172175,경기도 부천시 소사로 779
92,화성목욕탕,생활서비스,대중목욕탕/휴게,욕탕업-종합,126.786554381176,37.5282561688977,경기도 부천시 부천로476번나길 55
102,홈쿡,음식,분식,라면김밥분식,126.762071535382,37.5043049309835,경기도 부천시 길주로 180
122,복권천국,소매,기타판매업,복권판매,126.815065253344,37.5282213162359,경기도 부천시 고강로92번길 41
134,스페셜파츠,생활서비스,자동차/이륜차,자동차정비/카센타,126.757244228021,37.5157784379977,경기도 부천시 평천로 597
136,푸마골프홈플러스상동점,소매,종합소매점,수퍼마켓,126.755014008019,37.5043118464915,경기도 부천시 길주로 118
171,모모치킨부천여월점,음식,닭/오리요리,후라이드/양념치킨,126.804271712196,37.5098125059004,경기도 부천시 길주로573번길 37
178,경인모터펌프,소매,철물/난방/건설자재소매,보일러/냉난방용품,126.78085140328,37.5199710088533,경기도 부천시 삼작로 176
223,원모텔,숙박,모텔/여관/여인숙,모텔/여관/여인숙,126.770969346686,37.4844849664952,경기도 부천시 경인로137번길 10
283,하토끼,음식,분식,라면김밥분식,126.798989820859,37.4737804578174,경기도 부천시 은성로76번길 32
296,대성보일러,소매,철물/난방/건설자재소매,건축백화점,126.791997611237,37.4923787019905,경기도 부천시 조종로 66-1
331,엘레판테,음식,커피점/카페,커피전문점/카페/다방,126.770368950007,37.5017966224649,경기도 부천시 중동로248번길 31
333,신도리코,소매,사무/문구/컴퓨터,사무용기기소매,126.790077534746,37.496440749866,경기도 부천시 원미로155번길 37
368,허브의꿈,소매,건강/미용식품,건강식품판매,126.764303289595,37.5061393766782,경기도 부천시 석천로 216
381,신선원,소매,음/식료품소매,청과물소매,126.760687092015,37.488846686918,경기도 부천시 부일로275번길 14
431,영마트,소매,종합소매점,수퍼마켓,126.800817729102,37.4690505361037,경기도 부천시 소사로102번길 59
481,우노메디칼,소매,의약/의료품소매,의료용품소매,126.804970536915,37.4844193174568,경기도 부천시 지봉로 27
523,웅진씽크빅,학문/교육,학문교육기타,학습지보급,126.757249759526,37.4908829569638,경기도 부천시 부일로237번길 56
547,던킨도너츠,음식,패스트푸드,도너츠전문,126.776723758244,37.4990964274881,경기도 부천시 신흥로 173
551,가람,음식,분식,라면김밥분식,126.78263424711,37.4840290791579,경기도 부천시 부천로 1
566,부천상동홈플러스트레몰로중간점,소매,의복의류,맞춤양장/양장점,126.755014008019,37.5043118464915,경기도 부천시 길주로 118
587,OK,소매,사진/광학/정밀기기소매,핸드폰소매,126.752784809867,37.4907818390301,경기도 부천시 상일로94번길 15
593,리원미용실,생활서비스,이/미용/건강,여성미용실,126.784581203639,37.4964564081735,경기도 부천시 조마루로372번길 38
603,전이랑육회랑,음식,한식,한식/백반/한정식,126.753491616306,37.4904378958384,경기도 부천시 부일로205번길 46
635,샘물세탁소,생활서비스,세탁/가사서비스,세탁소/빨래방,126.772009849338,37.5003540168753,경기도 부천시 조마루로285번길 47
