시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
부천시,KCC스위첸아파트.한신아파트,"KCC Switzen Apartment, Hanshin Apartment ",211000062,12097.0,노변정류장,경기도 부천시,,37.4752667,126.7996667
부천시,KEB하나은행도당동지점,KEB Hana Bank Dodang Branch ,212000004,13292.0,노변정류장,경기도 부천시,,37.5168167,126.7797
부천시,KEB하나은행도당동지점,KEB Hana Bank Dodang Branch ,210000373,11256.0,노변정류장,경기도 부천시,,37.5166,126.7798167
부천시,KT부천지사,KT Bucheon Branch,210000101,11231.0,노변정류장,경기도 부천시,,37.4869667,126.7762
부천시,KT부천지사,KT Bucheon Branch,210000365,11222.0,노변정류장,경기도 부천시,,37.4868667,126.77525
부천시,KT부천지사사거리,KT Bucheon Branch Sageori,210000013,11234.0,노변정류장,경기도 부천시,,37.48575,126.7767333
부천시,KT부천지사사거리,KT Bucheon Branch Sageori ,210000003,11236.0,노변정류장,경기도 부천시,,37.4859333,126.7764667
부천시,KT북부천지사.365안전교육장,"kT Bukbucheon Branch, ",210000353,11342.0,노변정류장,경기도 부천시,,37.5200833,126.7928167
부천시,KT북부천지사.365안전교육장,"KT Bukbucheon Branch, ",210000351,11348.0,노변정류장,경기도 부천시,,37.5202167,126.7935667
부천시,KT중동지사,KT Jungdong Branch ,210000525,11497.0,노변정류장,경기도 부천시,,37.5024667,126.7607
부천시,KT중동지사,KT Jungdong Branch ,210000551,11534.0,노변정류장,경기도 부천시,,37.5021833,126.7608
부천시,SB마트,SB Mart,210000433,11415.0,노변정류장,경기도 부천시,,37.48755,126.8062
부천시,SK뷰아파트,SK Skyview Apartment ,211000266,12500.0,노변정류장,경기도 부천시,,37.4787167,126.7998667
부천시,SK뷰아파트,SK View Apartment ,211000238,12469.0,노변정류장,경기도 부천시,,37.47845,126.7994
부천시,e편한세상1.3차아파트,E-pyeonhansesang Apartment 1 & 3-cha,210000582,11564.0,노변정류장,경기도 부천시,,37.4897167,126.8145333
부천시,e편한세상1.3차아파트,"E-pyeonhansesang Apartment 1 & 3-cha, Woolim Lumiart",210000584,11023.0,,경기도 부천시,,37.48965,126.8147167
부천시,e편한세상1차아파트,E-pyeonhansesang Apartment 1-cha,210000593,11483.0,노변정류장,경기도 부천시,,37.4893667,126.8146833
부천시,e편한세상2차.예원아파트,"E-pyeonhansesang Apartment 2-cha, Yewon Apartment ",210000583,11004.0,,경기도 부천시,,37.4905833,126.8142333
부천시,e편한세상2차.예원아파트,"E-pyeonhansesang Apartment 2-cha, Yewon Apartment ",210000599,11526.0,노변정류장,경기도 부천시,,37.4906667,126.8141
부천시,e편한세상4차아파트,E-pyeonhansesang Apartment 1 & 3-cha,210000589,11093.0,,경기도 부천시,,37.48835,126.8153833
부천시,가구전시장,Furniture Exhibition ,212000358,13270.0,노변정류장,경기도 부천시,,37.5242167,126.8235833
부천시,가구전시장,Furniture Exhibition ,212000325,13281.0,노변정류장,경기도 부천시,,37.52435,126.8236833
부천시,가톨릭대학교,The Catholic University of Korea,210000421,11416.0,,경기도 부천시,,37.4858333,126.8046
부천시,가톨릭대학교입구.보람쉬움아파트,"The Catholic University of Korea, Boram Shium Apartment ",210000036,11377.0,노변정류장,경기도 부천시,,37.4836333,126.8043833
부천시,가톨릭대학교입구.보람쉬움아파트,"The Catholic University of Korea, Boram Shium Apartment ",210000309,11380.0,노변정류장,경기도 부천시,,37.4836333,126.8049833
부천시,가톨릭대학교정문,The Catholic University of Korea Main Gate,210000422,11426.0,노변정류장,경기도 부천시,,37.4855667,126.8048667
부천시,강남시장,Gangnam Market,210000273,11261.0,노변정류장,경기도 부천시,,37.50605,126.78015
부천시,강남시장,Gangnam Market,210000269,11260.0,노변정류장,경기도 부천시,,37.5059,126.7804
부천시,경기국제통상고.포도마을뉴서울.중앙공원,"Gyeonggi International Trade High School (GITRA), Podo Maeul New Seoul, Central Park",210000044,11126.0,노변정류장,경기도 부천시,,37.5010167,126.7626
부천시,경기국제통상고.포도마을뉴서울.중앙공원,"Gyeonggi International Trade High School (GITRA), Podo Maeul New Seoul, Central Park",210000289,11131.0,노변정류장,경기도 부천시,,37.5009167,126.7621833
부천시,경남아파트,Keangnam Apartment ,210000552,11541.0,노변정류장,경기도 부천시,,37.4974,126.75435
부천시,경원여객차고지(경유),,277102363,,,,,37.4828167,126.78305
부천시,계남고교,Gyenam High School ,210000116,11186.0,노변정류장,경기도 부천시,,37.4953167,126.76965
부천시,계남고교,Gyenam High School,210000162,11527.0,노변정류장,경기도 부천시,,37.49485,126.7703333
부천시,계남고교,Gyenam High School,210000534,11484.0,노변정류장,경기도 부천시,,37.4947,126.77065
부천시,계남고교,Gyenam High School ,210000129,11192.0,노변정류장,경기도 부천시,,37.4955833,126.7701333
부천시,계남중학교,Kyenam Middle School,210000118,11214.0,노변정류장,경기도 부천시,,37.4978,126.7745
부천시,계남중학교,Kyenam Middle School,210000127,11210.0,노변정류장,경기도 부천시,,37.49775,126.7731
부천시,계룡리슈빌,Kyeryong Richeville Apartment ,210000218,11434.0,노변정류장,경기도 부천시,,37.5036333,126.7699
부천시,계수농협,Gyesu Nonghyup,211000030,12155.0,노변정류장,경기도 부천시,,37.4661167,126.8104167
부천시,계수농협,Gyesu Nonghyup,211000142,12157.0,노변정류장,경기도 부천시,,37.4658833,126.8102333
부천시,고강1동주민센터.수주어린이공원,"Gogang 1-dong Community Center, Suju Children Park",212000078,13139.0,노변정류장,경기도 부천시,,37.52965,126.8124667
부천시,고강1동주민센터.수주어린이공원,"Gogang 1-dong Community Center, Suju Children Park",212000092,13138.0,노변정류장,경기도 부천시,,37.5298167,126.8124
부천시,고강공영차고지,Gogang Public Garage,212000379,13335.0,노변정류장,경기도 부천시,,37.5376167,126.8190167
부천시,고강공영차고지,Gogang Public Garage,212000380,13336.0,노변정류장,경기도 부천시,,37.5377667,126.8190333
부천시,고강공영차고지(경유),,277102744,,,,,37.53675,126.8171667
부천시,고강동.국민은행,"Gogang-dong, KB Bank",212000160,13157.0,노변정류장,경기도 부천시,,37.5270333,126.8162
부천시,고강동.국민은행,"Gogang-dong, KB Bank",212000053,13150.0,노변정류장,경기도 부천시,,37.5270833,126.8159
부천시,고강동우체국,Gogang-dong Post Office ,212000071,13161.0,노변정류장,경기도 부천시,,37.5266,126.8172667
부천시,고강동우체국,Gogang-dong Post Office ,212000098,13160.0,노변정류장,경기도 부천시,,37.5265333,126.8170667
부천시,고강동철탑,Gogang-dong Cheoltop (Steel Tower),212000401,13344.0,노변정류장,경기도 부천시,,37.5349667,126.8214
부천시,고강동철탑,Gogang-dong Cheoltop (Steel Tower),212000400,13343.0,노변정류장,경기도 부천시,,37.5347333,126.8213
부천시,고강동철탑(시계지점),Gogang-dong Cheoltop (Steel Tower),212000246,13230.0,노변정류장,경기도 부천시,,37.5343,126.8219833
부천시,고강동철탑(시계지점),Gogang-dong Cheoltop (Steel Tower),212000244,13228.0,노변정류장,경기도 부천시,,37.5341667,126.8217667
부천시,고강선사유적공원앞,Gogang Prehistory Relics Park,212000099,13151.0,노변정류장,경기도 부천시,,37.5248833,126.8158833
부천시,고강선사유적공원앞,Gogang Prehistory Relics Park,212000070,13152.0,노변정류장,경기도 부천시,,37.5249667,126.8156333
부천시,고강수영장,Gogang Swimming Pool,212000328,13283.0,노변정류장,경기도 부천시,,37.5287333,126.8221
부천시,고강수영장,Gogang Swimming Pool ,212000361,13288.0,노변정류장,경기도 부천시,,37.5287667,126.8219333
부천시,고강시장입구,Gogang Market,212000199,13178.0,노변정류장,경기도 부천시,,37.5282667,126.8113167
부천시,고강시장입구,Gogang Market,212000190,13177.0,노변정류장,경기도 부천시,,37.5283667,126.8111167
부천시,고강아파트,Gogang Apartment ,212000362,13287.0,노변정류장,경기도 부천시,,37.5303833,126.8220167
부천시,고강아파트,Gogang Apartment ,212000329,13284.0,노변정류장,경기도 부천시,,37.5304,126.8222167
부천시,고강차고지(경유),,277102365,,,,,37.5360333,126.8215667
부천시,고개,Gogae,210000428,11465.0,노변정류장,경기도 부천시,,37.4850167,126.8034333
부천시,공구상가.부천천문과학관,"Industrial Tools Complex, Bucheon Astronomical Science Center",210000357,11304.0,노변정류장,경기도 부천시,,37.5089333,126.7855333
부천시,공구상가.부천천문과학관,"Industrial Tools Complex, Bucheon Astronomical Science Center",210000346,11305.0,노변정류장,경기도 부천시,,37.5082333,126.78535
부천시,괴안동입구,Goean-dong,211000131,12113.0,노변정류장,경기도 부천시,,37.481,126.8046833
부천시,괴안동입구,Goean-dong,211000134,12114.0,노변정류장,경기도 부천시,,37.4807833,126.80545
부천시,괴안동입구.성심고가,"Goean-dong, Seongsim Overpass",211000122,12110.0,노변정류장,경기도 부천시,,37.48215,126.8049
부천시,괴안동입구.성심고가,"Goean-dong, Seongsim Overpass",211000119,12112.0,노변정류장,경기도 부천시,,37.48185,126.8053167
부천시,괴안동행정복지센터,Goean-dong Community Service Center,211000156,12200.0,노변정류장,경기도 부천시,,37.4781667,126.8073333
부천시,괴안동행정복지센터,Goean-dong Community Service Center,211000138,12118.0,노변정류장,경기도 부천시,,37.4782,126.8074667
부천시,괴안사거리.괴안우체국,"Goean Sageori, Goean Post Office",211000161,12168.0,노변정류장,경기도 부천시,,37.47945,126.8068667
부천시,괴안사거리.괴안우체국,"Goean Sageori, Goean Post Office ",211000133,12117.0,노변정류장,경기도 부천시,,37.47935,126.8068
부천시,괴안사거리.삼오유치원,"Goean Sageori, Samo Kindergarten ",211000078,12120.0,노변정류장,경기도 부천시,,37.4790833,126.80765
부천시,괴안사거리.삼오유치원,"Goean Sageori, Samo Kindergarten ",211000065,12119.0,노변정류장,경기도 부천시,,37.4792667,126.8074167
부천시,구산사거리(경유),,277103550,,,,,37.4841167,126.7534167
부천시,국립과학수사연구소,Korea Crime Scene Investigation (KCSI),212000372,13279.0,노변정류장,경기도 부천시,,37.5237,126.8257167
