,gid,val,geometry,경도,위도
17,다사353426,871.0,"MULTIPOLYGON (((126.7682140934924 37.48037051526339, 126.7682053033608 37.48127181115471, 126.7693362773798 37.48127881093128, 126.7693450539293 37.48037751481337, 126.7682140934924 37.48037051526339)))",126.7687751820467,37.48082466394286
95,다사343428,907.0,"MULTIPOLYGON (((126.756886658455 37.4821025114996, 126.7568777317091 37.48300380482635, 126.7580087289514 37.48301091330946, 126.7580176421143 37.48210961975261, 126.756886658455 37.4821025114996)))",126.75744769031367,37.48255671324923
112,다사361447,787.0,"MULTIPOLYGON (((126.7770793957036 37.49935343085342, 126.7770707061051 37.50025472561683, 126.7782019685995 37.50026164349647, 126.7782106446032 37.49936034850915, 126.7770793957036 37.49935343085342)))",126.77764067875887,37.49980753802176
115,다사383416,865.0,"MULTIPOLYGON (((126.8022268802737 37.47156276008811, 126.8022185013432 37.47246406401932, 126.8033493510274 37.47247073688941, 126.8033577163813 37.47156943274216, 126.8022268802737 37.47156276008811)))",126.80278811226226,37.47201674933665
116,다사376442,849.0,"MULTIPOLYGON (((126.7940905921941 37.49494956582686, 126.7940821084102 37.49585086460958, 126.7952133086679 37.49585761891261, 126.7952217788597 37.49495631991127, 126.7940905921941 37.49494956582686)))",126.7946519470389,37.49540359321774
160,다사336450,1433.0,"MULTIPOLYGON (((126.7487712109696 37.50188083589597, 126.7487621802986 37.50278212452861, 126.7498934737223 37.50278931390624, 126.7499024907971 37.50188802504091, 126.7487712109696 37.50188083589597)))",126.7493323389532,37.502335075745805
196,다사339440,1474.0,"MULTIPOLYGON (((126.7522549284605 37.49288946985317, 126.7522459425814 37.49379076057978, 126.7533771012725 37.49379791514252, 126.7533860735615 37.49289662418433, 126.7522549284605 37.49288946985317)))",126.75281601147522,37.493343693342524
202,다사346455,1283.0,"MULTIPOLYGON (((126.7600395497431 37.5064586932009, 126.7600306530542 37.50735998344634, 126.7611620184581 37.50736706564033, 126.7611709015476 37.5064657751657, 126.7600395497431 37.5064586932009)))",126.7606007807069,37.506912880266334
235,다사387414,805.0,"MULTIPOLYGON (((126.8067668750735 37.46978677577244, 126.8067585511907 37.4706880808445, 126.8078893752089 37.47069470999914, 126.8078976855164 37.46979340471245, 126.8067668750735 37.46978677577244)))",126.80732812175319,37.47024074373397
262,다사353455,1825.0,"MULTIPOLYGON (((126.7679590206618 37.50650803943105, 126.7679502191694 37.50740933127356, 126.7690815873302 37.50741633762387, 126.7690903752231 37.50651504555458, 126.7679590206618 37.50650803943105)))",126.76852030060223,37.50696218937379
